Tissue	Dataset	OR	P-value	FDR	Direction	Method
Caudate	PSY_ASD	6.319070904645477	0.16195837370865007	0.3443614357430954	Up	TWAS
Caudate	PSY_BD	0.0	1.0	1.0	Up	TWAS
Caudate	Alzheimers	0.0	1.0	1.0	Up	TWAS
DLPFC	BS_Caudate_SZ	1.879839047698885	0.0565704103573481	0.3443614357430954	Up	TWAS
DLPFC	BS_DLPFC_SZ	1.7575824337225527	0.1308964521825976	0.3443614357430954	Up	TWAS
DLPFC	BS_Hippocampus_SZ	2.0283353010625738	0.10953334675703855	0.3443614357430954	Up	TWAS
DLPFC	BS_sACC_BD		1.0	1.0	Up	TWAS
DLPFC	BS_Amyg_BD		1.0	1.0	Up	TWAS
DLPFC	PSY_SZ	0.0	0.17855778149641982	0.3443614357430954	Up	TWAS
DLPFC	PSY_ASD	8.322516025641026	0.1259096221308228	0.3443614357430954	Up	TWAS
DLPFC	PSY_BD	0.0	1.0	1.0	Up	TWAS
DLPFC	Alzheimers	0.0	1.0	1.0	Up	TWAS
Hippocampus	BS_Caudate_SZ	1.879839047698885	0.0565704103573481	0.3443614357430954	Up	TWAS
Hippocampus	BS_DLPFC_SZ	1.7575824337225527	0.1308964521825976	0.3443614357430954	Up	TWAS
Hippocampus	BS_Hippocampus_SZ	2.0283353010625738	0.10953334675703855	0.3443614357430954	Up	TWAS
Hippocampus	BS_sACC_BD		1.0	1.0	Up	TWAS
Hippocampus	BS_Amyg_BD		1.0	1.0	Up	TWAS
Hippocampus	PSY_SZ	0.0	0.17855778149641982	0.3443614357430954	Up	TWAS
Hippocampus	PSY_ASD	8.322516025641026	0.1259096221308228	0.3443614357430954	Up	TWAS
Hippocampus	PSY_BD	0.0	1.0	1.0	Up	TWAS
Hippocampus	Alzheimers	0.0	1.0	1.0	Up	TWAS
Caudate	BS_Caudate_SZ	1.8366912776873983	0.054771032507607245	0.16431309752282175	Down	TWAS
Caudate	BS_DLPFC_SZ	2.5525303159514943	0.004171780533185182	0.017855827177218158	Down	TWAS
Caudate	BS_Hippocampus_SZ	3.481537940379404	0.001039281292212633	0.017855827177218158	Down	TWAS
Caudate	BS_sACC_BD		1.0	1.0	Down	TWAS
Caudate	BS_Amyg_BD		1.0	1.0	Down	TWAS
Caudate	PSY_SZ	0.3626984126984127	0.5303705478349453	1.0	Down	TWAS
Caudate	PSY_ASD	0.0	1.0	1.0	Down	TWAS
Caudate	PSY_BD	0.0	1.0	1.0	Down	TWAS
Caudate	Alzheimers	9.130952380952381	0.11920658383945207	0.3218577763665206	Down	TWAS
DLPFC	BS_Caudate_SZ	2.4109778262450017	0.004666301021765844	0.017855827177218158	Down	TWAS
DLPFC	BS_DLPFC_SZ	2.748822143698469	0.005168120058308171	0.017855827177218158	Down	TWAS
DLPFC	BS_Hippocampus_SZ	3.5761750054147714	0.002656463620043097	0.017855827177218158	Down	TWAS
DLPFC	BS_sACC_BD		1.0	1.0	Down	TWAS
DLPFC	BS_Amyg_BD		1.0	1.0	Down	TWAS
DLPFC	PSY_SZ	0.4714840182648402	0.7272269546375858	1.0	Down	TWAS
DLPFC	PSY_ASD	0.0	1.0	1.0	Down	TWAS
DLPFC	PSY_BD	0.0	1.0	1.0	Down	TWAS
DLPFC	Alzheimers	0.0	1.0	1.0	Down	TWAS
Hippocampus	BS_Caudate_SZ	2.4022801155451723	0.004799637935074052	0.017855827177218158	Down	TWAS
Hippocampus	BS_DLPFC_SZ	2.739009816474605	0.0052906154599164906	0.017855827177218158	Down	TWAS
Hippocampus	BS_Hippocampus_SZ	3.563498230164897	0.0027124471439685556	0.017855827177218158	Down	TWAS
Hippocampus	BS_sACC_BD		1.0	1.0	Down	TWAS
Hippocampus	BS_Amyg_BD		1.0	1.0	Down	TWAS
Hippocampus	PSY_SZ	0.46985210466439137	0.7273259343020215	1.0	Down	TWAS
Hippocampus	PSY_ASD	0.0	1.0	1.0	Down	TWAS
Hippocampus	PSY_BD	0.0	1.0	1.0	Down	TWAS
Hippocampus	Alzheimers	0.0	1.0	1.0	Down	TWAS
