,Length,gencodeID,ensemblID,gene_type,Symbol,EntrezID,Class,meanExprs,NumTx,gencodeTx,logFC,AveExpr,t,P.Value,adj.P.Val,B,SE,Permutation
ENSG00000186081.11,4292,ENSG00000186081.11,ENSG00000186081,protein_coding,KRT5,3852.0,InGen,0.0703446846649866,11,ENST00000252242.8|ENST00000552952.1|ENST00000549511.5|ENST00000548409.5|ENST00000552629.5|ENST00000547890.5|ENST00000551013.1|ENST00000551188.5|ENST00000549420.1|ENST00000551275.1|ENST00000546577.1,-0.682112822939833,-0.886407028902696,-4.72131478704177,6.81012436196499e-06,0.0104859942488901,2.79762845090842,0.144475184076261,02
ENSG00000149418.10,4350,ENSG00000149418.10,ENSG00000149418,protein_coding,ST14,6768.0,InGen,0.0548022564052783,4,ENST00000278742.5|ENST00000530532.5|ENST00000524718.5|ENST00000530376.1,1.28852461729554,-1.86654464429651,4.70783286638774,7.196914900097e-06,0.0104859942488901,2.46150708063826,0.273698037688455,02
ENSG00000253762.1,566,ENSG00000253762.1,ENSG00000253762,lincRNA,,,InGen,0.405026444792409,1,ENST00000522857.1,-0.801585779534464,-1.34468328353916,-4.70292918852593,7.34281185094498e-06,0.0104859942488901,2.51831388625738,0.170443939808864,02
ENSG00000184860.9,11911,ENSG00000184860.9,ENSG00000184860,protein_coding,SDR42E1,93517.0,InGen,0.0628780862742346,3,ENST00000328945.6|ENST00000532128.5|ENST00000534209.1,0.72776954316371,0.411393018332922,4.65979845696375,8.75569487366548e-06,0.0106943076480965,3.11191141774279,0.156180476448742,02
ENSG00000116194.12,3403,ENSG00000116194.12,ENSG00000116194,protein_coding,ANGPTL1,9068.0,InGen,0.435747722004452,3,ENST00000234816.6|ENST00000367629.1|ENST00000444255.1,-0.581145680894359,1.51750309512903,-4.6580585864723,8.81789297961963e-06,0.0106943076480965,3.24546507370207,0.124761350701362,02
ENSG00000182957.15,9948,ENSG00000182957.15,ENSG00000182957,protein_coding,SPATA13,221178.0,InGen,4.28791752855118,12,ENST00000424834.6|ENST00000382108.7|ENST00000466831.2|ENST00000382095.8|ENST00000474317.1|ENST00000434675.5|ENST00000494772.5|ENST00000343003.10|ENST00000399949.6|ENST00000409126.5|ENST00000454083.1|ENST00000488060.1,0.18979468533863,6.44676586542316,4.65597860142174,8.89281129650459e-06,0.0106943076480965,3.30616130164029,0.040763650692182,02
ENSG00000119138.4,5175,ENSG00000119138.4,ENSG00000119138,protein_coding,KLF9,687.0,InGen,11.1060792264614,1,ENST00000377126.3,0.313962204131812,6.82975284968956,4.61698391628883,1.04169171496038e-05,0.0115734480329309,3.16344361146262,0.0680015806475188,02
ENSG00000188730.4,11299,ENSG00000188730.4,ENSG00000188730,protein_coding,VWC2,375567.0,InGen,0.390848552204626,1,ENST00000340652.4,0.435219577702042,2.99827448271177,4.61181764423379,1.06368947740185e-05,0.0115734480329309,3.19996183858832,0.0943705088266448,02
ENSG00000148082.9,9929,ENSG00000148082.9,ENSG00000148082,protein_coding,SHC3,53358.0,InGen,10.1705024195543,2,ENST00000375835.8|ENST00000375831.1,-0.435680092396711,7.57036814231761,-4.58275185896239,1.19607993986728e-05,0.0120454155452073,3.0440728708545,0.0950695359044284,02
ENSG00000188681.11,2309,ENSG00000188681.11,ENSG00000188681,transcribed_unprocessed_pseudogene,TEKT4P2,100132288.0,InGen,0.349066411956556,2,ENST00000416067.5|ENST00000559466.1,-0.98771873511221,0.300939961650729,-4.57628145298412,1.22765021715834e-05,0.0120454155452073,2.736623750994,0.215834350500478,02
ENSG00000066032.18,7535,ENSG00000066032.18,ENSG00000066032,protein_coding,CTNNA2,1496.0,InGen,11.0714161719623,19,ENST00000466387.5|ENST00000496251.5|ENST00000467488.1|ENST00000497804.1|ENST00000496558.5|ENST00000451966.5|ENST00000629316.2|ENST00000409971.6|ENST00000409266.5|ENST00000402739.8|ENST00000508970.1|ENST00000541047.5|ENST00000493024.5|ENST00000343114.7|ENST00000361291.8|ENST00000540488.5|ENST00000409550.2|ENST00000465616.1|ENST00000467892.1,-0.26095781918572,7.36833805234409,-4.568788022278,1.26521936664614e-05,0.0120454155452073,2.98843794646283,0.0571175151732268,02
ENSG00000231185.6,1811,ENSG00000231185.6,ENSG00000231185,antisense,,101926941.0,InGen,0.461765632966313,6,ENST00000510311.5|ENST00000515288.1|ENST00000514303.1|ENST00000443800.5|ENST00000425963.1|ENST00000414314.1,-0.427617284434083,0.629645909230112,-4.41725516311553,2.31239250338007e-05,0.0211343425238925,2.28925971784767,0.0968061089168507,02
ENSG00000203900.2,3410,ENSG00000203900.2,ENSG00000203900,antisense,,100130587.0,InGen,0.0981995164680526,2,ENST00000370257.1|ENST00000428531.1,-0.606820051198956,-0.764776440629528,-4.39068108219483,2.56699551409305e-05,0.0225589540390432,1.82412320789271,0.13820636020679,02
ENSG00000135469.13,3243,ENSG00000135469.13,ENSG00000135469,protein_coding,COQ10A,93058.0,InGen,1.53860005928501,10,ENST00000308197.9|ENST00000551566.1|ENST00000551911.5|ENST00000433805.6|ENST00000550071.1|ENST00000546614.1|ENST00000546544.5|ENST00000553234.1|ENST00000549545.1|ENST00000551814.1,-0.212582053735548,3.32120412139148,-4.36906309413423,2.79384420637484e-05,0.0236431652857255,2.31669557430415,0.0486562105319455,02
ENSG00000241962.9,1993,ENSG00000241962.9,ENSG00000241962,protein_coding,,,InGen,0.667033245070628,2,ENST00000424491.5|ENST00000465095.1,-0.401075035894593,1.35208781252583,-4.3394497950372,3.13614670833232e-05,0.0255920771923876,2.13511491405539,0.0924253199917836,02
ENSG00000099385.11,4398,ENSG00000099385.11,ENSG00000099385,protein_coding,BCL7C,9274.0,InGen,1.47631963107836,5,ENST00000380317.8|ENST00000574418.5|ENST00000576194.1|ENST00000572628.5|ENST00000215115.4,-0.170800202285254,3.70642038554926,-4.32674650543822,3.29505404033996e-05,0.0258885880242131,2.15087642585785,0.0394754354271918,02
ENSG00000164088.17,3571,ENSG00000164088.17,ENSG00000164088,protein_coding,PPM1M,132160.0,InGen,1.87414671006171,9,ENST00000323588.8|ENST00000457454.5|ENST00000467471.5|ENST00000296487.8|ENST00000409502.7|ENST00000489606.5|ENST00000472955.1|ENST00000482724.1|ENST00000443681.1,-0.259174717099255,3.75626288858054,-4.31874548784889,3.39908810331478e-05,0.0258885880242131,2.1212004169046,0.0600115746177823,02
ENSG00000257126.5,874,ENSG00000257126.5,ENSG00000257126,antisense,FOXG1-AS1,,InGen,2.48258490570625,3,ENST00000551395.5|ENST00000546560.5|ENST00000549487.1,-0.275213618944111,2.09747437638554,-4.22819688564831,4.81990277929422e-05,0.0355257930980947,1.81671508740191,0.0650900670870515,02
ENSG00000180758.11,5372,ENSG00000180758.11,ENSG00000180758,protein_coding,GPR157,80045.0,InGen,0.101663278693351,3,ENST00000377411.4|ENST00000465853.1|ENST00000466131.1,0.430677524348672,0.0537624603587187,4.21524732953145,5.06480399413067e-05,0.0361642832693412,1.56085657788217,0.102171353346553,02
ENSG00000178403.3,2287,ENSG00000178403.3,ENSG00000178403,protein_coding,NEUROG2,63973.0,InGen,0.25985184962206,1,ENST00000313341.3,-0.785128748345507,0.0323274765961414,-4.16896326796902,6.04156102475254e-05,0.041831402380173,1.36150793006561,0.188327096661611,02
ENSG00000171502.14,9568,ENSG00000171502.14,ENSG00000171502,protein_coding,COL24A1,255631.0,InGen,0.605755207831924,5,ENST00000370571.6|ENST00000426639.5|ENST00000473734.1|ENST00000496682.2|ENST00000485434.1,-0.430535887200969,3.42191139964353,-4.14818960874737,6.53652566029701e-05,0.0439273749447431,1.53795051768568,0.10378886401265,02
ENSG00000188011.5,2606,ENSG00000188011.5,ENSG00000188011,protein_coding,RTP5,285093.0,InGen,1.64087171905264,2,ENST00000419912.1|ENST00000343216.3,-0.581849759616968,2.98271850960187,-4.11528247569097,7.4010557842977e-05,0.0483162067472623,1.44138373996761,0.141387562835349,02
ENSG00000171621.13,3403,ENSG00000171621.13,ENSG00000171621,protein_coding,SPSB1,80176.0,InGen,1.89128095935753,4,ENST00000328089.10|ENST00000450402.1|ENST00000357898.3|ENST00000377399.2,0.337443416565186,3.66253870051108,4.10457376949871,7.70529523569623e-05,0.0489050807890064,1.36892485745064,0.0822115609354484,02
ENSG00000101665.8,3692,ENSG00000101665.8,ENSG00000101665,protein_coding,SMAD7,4092.0,InGen,2.29160250135505,8,ENST00000262158.6|ENST00000545051.2|ENST00000591805.5|ENST00000589634.1|ENST00000587336.1|ENST00000585986.1|ENST00000586093.1|ENST00000588190.1,0.255575619316004,4.09933612709293,4.09313729457296,8.04343083056684e-05,0.0490550065880829,1.30316400313504,0.0624400309402932,02
ENSG00000263528.7,3791,ENSG00000263528.7,ENSG00000263528,protein_coding,IKBKE,9641.0,InGen,1.60465921240576,6,ENST00000605818.5|ENST00000578328.6|ENST00000584998.5|ENST00000581977.6|ENST00000579827.6|ENST00000605726.1,-0.423750665499401,3.59929796557328,-4.08935673343653,8.15830124008556e-05,0.0490550065880829,1.32699898642061,0.103622817259892,02
ENSG00000248587.7,9873,ENSG00000248587.7,ENSG00000248587,antisense,GDNF-AS1,100861519.0,InGen,0.182646793980359,5,ENST00000637595.1|ENST00000637926.1|ENST00000503382.6|ENST00000514532.2|ENST00000510986.2,0.883770025238968,1.55999249678728,6.6605490910117,1.0572554213272502e-09,2.39595223581182e-05,11.1524567184858,0.13268726244081,04
ENSG00000155090.14,4003,ENSG00000155090.14,ENSG00000155090,protein_coding,KLF10,7071.0,InGen,1.371162729396,2,ENST00000285407.10|ENST00000395884.3,0.662038104307463,3.22715096320171,6.40625395017512,3.6163381106205104e-09,4.0976727131441e-05,10.5497673457114,0.103342469633032,04
ENSG00000140015.19,12320,ENSG00000140015.19,ENSG00000140015,protein_coding,KCNH5,27133.0,InGen,0.274956672052334,4,ENST00000322893.11|ENST00000420622.6|ENST00000394968.2|ENST00000394964.3,0.546359920071964,2.15239647140582,5.88860834006544,4.14232704911083e-08,0.0003129113852898,8.09982619794782,0.0927825198280876,04
ENSG00000106133.17,2576,ENSG00000106133.17,ENSG00000106133,transcribed_unprocessed_pseudogene,NSUN5P2,155400.0,InGen,1.16421523177671,5,ENST00000602348.5|ENST00000444583.6|ENST00000485741.6|ENST00000388955.8|ENST00000457352.3,-0.304411132242839,2.52902529651305,-5.31163082095407,5.57034130971977e-07,0.0031558768690217,5.80889875320965,0.0573102955578078,04
ENSG00000101849.15,7009,ENSG00000101849.15,ENSG00000101849,protein_coding,TBL1X,6907.0,InGen,3.50808428323068,9,ENST00000407597.6|ENST00000424279.5|ENST00000441088.5|ENST00000380961.5|ENST00000415293.5|ENST00000217964.11|ENST00000422314.5|ENST00000452824.5|ENST00000497555.1,0.167365349878082,5.58216700608947,5.19585607023741,9.224574855566e-07,0.0035193353254572,5.44112875233771,0.0322113137114737,04
ENSG00000186081.11,4292,ENSG00000186081.11,ENSG00000186081,protein_coding,KRT5,3852.0,InGen,0.0703446846649866,11,ENST00000252242.8|ENST00000552952.1|ENST00000549511.5|ENST00000548409.5|ENST00000552629.5|ENST00000547890.5|ENST00000551013.1|ENST00000551188.5|ENST00000549420.1|ENST00000551275.1|ENST00000546577.1,-0.719183070968892,-0.804756655444538,-5.19353369767975,9.31780599803348e-07,0.0035193353254572,4.1595000911474,0.138476635145391,04
ENSG00000233427.1,1085,ENSG00000233427.1,ENSG00000233427,antisense,,,InGen,0.191191305922188,1,ENST00000418471.1,-0.768304000015867,-1.33524994553564,-5.12472893386643,1.2537575987467e-06,0.0040589506718282,3.56181691314072,0.14992090507238,04
ENSG00000136603.13,7782,ENSG00000136603.13,ENSG00000136603,protein_coding,SKIL,6498.0,InGen,6.61781465699337,10,ENST00000477216.1|ENST00000465590.1|ENST00000476188.5|ENST00000259119.8|ENST00000426052.6|ENST00000490989.1|ENST00000413427.6|ENST00000458537.7|ENST00000470571.1|ENST00000490894.1,0.206740594118001,6.6850260348002,5.09333025631139,1.43455936037598e-06,0.004063748028105,5.03086804069812,0.0405904553041341,04
ENSG00000168621.14,4273,ENSG00000168621.14,ENSG00000168621,protein_coding,GDNF,2668.0,InGen,0.121417786606978,8,ENST00000620847.1|ENST00000344622.8|ENST00000326524.6|ENST00000381826.8|ENST00000427982.5|ENST00000515058.5|ENST00000510177.5|ENST00000502572.1,0.723093604213596,-0.299879079891952,5.01549648746027,1.99927867834656e-06,0.0050341837120766,3.9746912928535,0.144171889267887,04
ENSG00000182752.9,11573,ENSG00000182752.9,ENSG00000182752,protein_coding,PAPPA,5069.0,InGen,0.0454069613666399,3,ENST00000328252.3|ENST00000460463.1|ENST00000483254.1,0.619846099414588,-0.395793682351353,4.90967303938174,3.12489927985677e-06,0.0070816467480114,3.58078866148987,0.126249975190332,04
ENSG00000121316.10,2841,ENSG00000121316.10,ENSG00000121316,protein_coding,PLBD1,79887.0,InGen,0.471241288846318,4,ENST00000240617.9|ENST00000541800.6|ENST00000541618.1|ENST00000540572.1,0.386554004364554,1.45113488576062,4.85761038348816,3.88494300169231e-06,0.0080036889367592,3.93679511495127,0.079576988240662,04
ENSG00000256980.4,953,ENSG00000256980.4,ENSG00000256980,protein_coding,KHDC1L,100129128.0,InGen,0.45294930832834,2,ENST00000370388.3|ENST00000471312.1,-0.638959074373486,-0.44421415878618,-4.81897507396303,4.56214091604994e-06,0.0086156031199603,3.17810005130908,0.132592317778481,04
ENSG00000188522.14,7876,ENSG00000188522.14,ENSG00000188522,protein_coding,FAM83G,644815.0,InGen,0.0811647825605774,4,ENST00000388995.10|ENST00000345041.4|ENST00000399096.2|ENST00000580115.1,0.519410698857946,0.0221657586546987,4.75158637469115,6.02702997698785e-06,0.009942565921627,3.19134295366215,0.109313113116187,04
ENSG00000122641.10,8302,ENSG00000122641.10,ENSG00000122641,protein_coding,INHBA,3624.0,InGen,1.11548602313573,5,ENST00000416150.1|ENST00000242208.4|ENST00000464515.1|ENST00000442711.1|ENST00000638023.1,0.622473473059663,4.00804573414462,4.74698271917767,6.1422611818365e-06,0.009942565921627,3.69539147769205,0.131130343185133,04
ENSG00000105619.13,1240,ENSG00000105619.13,ENSG00000105619,protein_coding,TFPT,29844.0,InGen,5.48033207801165,4,ENST00000391759.5|ENST00000391758.5|ENST00000420715.6|ENST00000391757.1,-0.18288555477881,3.76956104600739,-4.69643824501553,7.55648098349849e-06,0.0114163314698695,3.5110549714855,0.0389413306930868,04
ENSG00000138448.11,8211,ENSG00000138448.11,ENSG00000138448,protein_coding,ITGAV,3685.0,InGen,18.0481434367172,8,ENST00000261023.7|ENST00000374907.7|ENST00000433736.6|ENST00000460641.1|ENST00000496477.1|ENST00000496854.1|ENST00000474571.1|ENST00000430709.1,0.162372380174123,8.27041584058707,4.57725503859684,1.22524613755643e-05,0.0168206641159158,3.04696734411372,0.0354737454664309,04
ENSG00000275023.4,13315,ENSG00000275023.4,ENSG00000275023,protein_coding,MLLT6,4302.0,InGen,5.1468090951124,11,ENST00000620609.4|ENST00000621332.4|ENST00000620482.4|ENST00000611305.4|ENST00000614769.1|ENST00000618652.1|ENST00000615858.1|ENST00000612066.1|ENST00000619356.1|ENST00000615741.1|ENST00000615441.1,-0.158028382235553,7.08747887513309,-4.56994357137845,1.26180959302166e-05,0.0168206641159158,2.99978477668694,0.0345799416923404,04
ENSG00000178188.14,7145,ENSG00000178188.14,ENSG00000178188,protein_coding,SH2B1,25970.0,InGen,2.63680300997693,16,ENST00000563591.5|ENST00000567536.5|ENST00000322610.12|ENST00000337120.9|ENST00000566209.1|ENST00000545570.5|ENST00000618521.4|ENST00000359285.9|ENST00000538342.5|ENST00000563674.1|ENST00000395532.8|ENST00000566176.5|ENST00000561629.1|ENST00000569471.1|ENST00000569651.1|ENST00000568868.1,-0.140985082840094,5.23014257999956,-4.49987508937961,1.6701097553121e-05,0.0200102643922719,2.72986900838857,0.0313308880890584,04
ENSG00000173511.9,1545,ENSG00000173511.9,ENSG00000173511,protein_coding,VEGFB,7423.0,InGen,7.76287987261048,4,ENST00000309422.6|ENST00000426086.2|ENST00000543462.1|ENST00000541681.1,-0.237270937802662,4.48674691786023,-4.49873980427673,1.67767638978539e-05,0.0200102643922719,2.75098898856961,0.0527416450218127,04
ENSG00000135469.13,3243,ENSG00000135469.13,ENSG00000135469,protein_coding,COQ10A,93058.0,InGen,1.53860005928501,10,ENST00000308197.9|ENST00000551566.1|ENST00000551911.5|ENST00000433805.6|ENST00000550071.1|ENST00000546614.1|ENST00000546544.5|ENST00000553234.1|ENST00000549545.1|ENST00000551814.1,-0.194456696402749,3.31706189974133,-4.41501023809796,2.33696556223723e-05,0.0255930853534661,2.48300753146304,0.044044449710387,04
ENSG00000054803.3,3024,ENSG00000054803.3,ENSG00000054803,protein_coding,CBLN4,140689.0,InGen,0.245793883893939,1,ENST00000064571.2,-0.835523344760249,0.0329606938816388,-4.41126972249588,2.37161235735058e-05,0.0255930853534661,2.04661243210472,0.189406542179768,04
ENSG00000141456.14,6577,ENSG00000141456.14,ENSG00000141456,protein_coding,PELP1,27043.0,InGen,3.19986404192817,15,ENST00000572293.5|ENST00000574876.5|ENST00000301396.8|ENST00000436683.6|ENST00000573523.5|ENST00000575329.5|ENST00000573242.1|ENST00000575534.1|ENST00000570571.5|ENST00000573506.1|ENST00000570387.5|ENST00000575101.1|ENST00000571170.1|ENST00000570823.5|ENST00000571347.1,-0.135387603925838,5.41161989889032,-4.39228376217823,2.5552468488982e-05,0.0263213654953323,2.33049740999638,0.0308239656762742,04
ENSG00000138944.7,6751,ENSG00000138944.7,ENSG00000138944,protein_coding,KIAA1644,85352.0,InGen,2.55423994402271,1,ENST00000381176.4,0.465650850284145,4.81854271243854,4.37023383865936,2.78573344540346e-05,0.0274479527564057,2.2634136182026,0.106550557126936,04
ENSG00000003989.16,7905,ENSG00000003989.16,ENSG00000003989,protein_coding,SLC7A2,6542.0,InGen,1.71595084727194,5,ENST00000494857.5|ENST00000522656.5|ENST00000470360.5|ENST00000004531.14|ENST00000398090.3,0.491753280966772,4.64363077405295,4.32025353329755,3.38467714073759e-05,0.0312692833940021,2.08818638807634,0.113825097804255,04
ENSG00000253762.1,566,ENSG00000253762.1,ENSG00000253762,lincRNA,,,InGen,0.405026444792409,1,ENST00000522857.1,-0.742604061480762,-1.32958119338644,-4.31535982303763,3.44957513651132e-05,0.0312692833940021,1.22670546615259,0.172083926238632,04
ENSG00000273259.2,3067,ENSG00000273259.2,ENSG00000273259,protein_coding,,12.0,InGen,0.0799679191562059,2,ENST00000553947.1|ENST00000393078.4,1.26282490372371,-2.19845785626881,4.28843197423004,3.82866215439637e-05,0.0312692833940021,1.02375070887172,0.294472411201169,04
ENSG00000089902.9,6202,ENSG00000089902.9,ENSG00000089902,protein_coding,RCOR1,23186.0,InGen,1.35167534933787,4,ENST00000262241.6|ENST00000558495.1|ENST00000559597.1|ENST00000560472.1,0.126042683625988,4.0421879833889,4.28093023016441,3.94121351122539e-05,0.0312692833940021,1.97727233248298,0.0294428259395266,04
ENSG00000168672.3,5404,ENSG00000168672.3,ENSG00000168672,protein_coding,FAM84B,157638.0,InGen,2.91836374150776,2,ENST00000304916.3|ENST00000517458.1,0.279435809308353,5.00652704154006,4.2786557273692,3.97596275024254e-05,0.0312692833940021,1.92670156656524,0.065309252978895,04
ENSG00000150687.11,11725,ENSG00000150687.11,ENSG00000150687,protein_coding,PRSS23,11098.0,InGen,0.522064096381554,9,ENST00000527521.1|ENST00000280258.5|ENST00000532234.5|ENST00000533902.2|ENST00000531475.5|ENST00000533880.1|ENST00000532572.1|ENST00000528769.5|ENST00000531521.1,0.301003839844686,3.45797760203721,4.27699940932302,4.00145273332478e-05,0.0312692833940021,1.98813999968083,0.0703773395873181,04
ENSG00000268940.5,1325,ENSG00000268940.5,ENSG00000268940,protein_coding,CT45A1,541466.0,InGen,0.744839014939053,2,ENST00000594565.5|ENST00000594117.4,1.0669888538939,0.147922475087169,4.25361860482287,4.37847332736641e-05,0.0316442028356116,1.66474952053539,0.250842624367903,04
ENSG00000140522.11,1985,ENSG00000140522.11,ENSG00000140522,protein_coding,RLBP1,6017.0,InGen,1.74738803092423,4,ENST00000268125.9|ENST00000563254.1|ENST00000567787.1|ENST00000564388.1,-0.490486672537771,2.70863113661077,-4.24863501269689,4.46313797304398e-05,0.0316442028356116,1.89456622912707,0.115445706932219,04
ENSG00000155850.7,8606,ENSG00000155850.7,ENSG00000155850,protein_coding,SLC26A2,1836.0,InGen,0.950512626939561,3,ENST00000286298.4|ENST00000433184.1|ENST00000503336.1,0.325212112447217,3.88221316329439,4.23433303554427,4.71493667291227e-05,0.0316442028356116,1.81881781355034,0.0768036216606695,04
ENSG00000240521.1,1414,ENSG00000240521.1,ENSG00000240521,antisense,,,InGen,0.159981413633623,1,ENST00000488190.1,0.912726492156471,-1.49656465043309,4.23142501054464,4.76777880529587e-05,0.0316442028356116,1.0671554443503,0.215701918356576,04
ENSG00000114626.17,6149,ENSG00000114626.17,ENSG00000114626,protein_coding,ABTB1,80325.0,InGen,2.98856210295436,15,ENST00000483857.5|ENST00000232744.12|ENST00000475265.5|ENST00000493365.5|ENST00000453791.6|ENST00000475042.5|ENST00000466612.5|ENST00000479280.5|ENST00000467179.5|ENST00000468137.5|ENST00000464431.1|ENST00000491633.5|ENST00000478298.5|ENST00000474129.1|ENST00000497162.1,-0.210925187346074,5.2132920564388,-4.22393453329869,4.9065225770512e-05,0.0316442028356116,1.72851266579454,0.0499357141270254,04
ENSG00000131584.18,8809,ENSG00000131584.18,ENSG00000131584,protein_coding,ACAP3,116983.0,InGen,6.55962122307284,13,ENST00000354700.9|ENST00000492936.5|ENST00000467278.5|ENST00000353662.4|ENST00000470659.1|ENST00000379037.6|ENST00000476572.1|ENST00000493992.1|ENST00000472541.5|ENST00000354980.7|ENST00000478065.5|ENST00000479108.5|ENST00000438966.1,-0.217449750202889,6.75088517260379,-4.22121759704444,4.95779960401216e-05,0.0316442028356116,1.72105270958583,0.0515135136258175,04
ENSG00000172059.10,4589,ENSG00000172059.10,ENSG00000172059,protein_coding,KLF11,8462.0,InGen,0.524066419507259,6,ENST00000401510.5|ENST00000305883.5|ENST00000448523.5|ENST00000540845.5|ENST00000440320.5|ENST00000535335.1,0.347582970676064,2.07587630931278,4.21759976384317,5.02687892543473e-05,0.0316442028356116,1.77057451951112,0.0824125071458507,04
ENSG00000100116.16,2104,ENSG00000100116.16,ENSG00000100116,protein_coding,GCAT,23464.0,InGen,2.41876599440001,7,ENST00000323205.10|ENST00000248924.10|ENST00000445195.5|ENST00000415371.1|ENST00000478203.1|ENST00000426858.1|ENST00000451984.1,-0.192470357018691,3.30734005430074,-4.1664846796784,6.10733323007678e-05,0.0367323757900182,1.61116714690572,0.0461949033336054,04
