clusterID	N	coord	gene	annotation	FDR
clu_58679_+	6	chr1:22639161-22647227	C1QC	cryptic	0.00766
clu_95091_-	5	chr17:15239611-15265154	PMP22	cryptic	0.00787
clu_19170_-	3	chr3:25601225-25606043	TOP2B	cryptic	0.00791
clu_66576_+	5	chrX:153777688-153778396	PLXNB3	cryptic	0.00799
clu_55552_-	10	chr2:127050912-127059011	BIN1	annotated	0.00825
clu_90182_+	4	chr3:52332394-52344490	DNAH1	cryptic	0.00825
clu_22374_-	7	chr3:196939432-196942426	NCBP2	cryptic	0.0101
clu_20252_-	2	chr3:58565956-58566142	.	annotated	0.0117
clu_31983_+	4	chr20:37521403-37522667	NNAT	cryptic	0.0137
clu_125199_-	2	chr12:8940869-8942416	M6PR	annotated	0.0138
clu_162592_+	4	chr17:7015156-7016495	C17orf49	cryptic	0.0144
clu_21298_-	3	chr3:130723587-130728463	PIK3R4	annotated	0.0152
clu_76828_+	7	chr5:80408153-80434109	ZFYVE16	cryptic	0.0152
clu_65921_+	4	chrX:103310981-103330984	TCEAL7	cryptic	0.0152
clu_50498_+	11	chr12:95252071-95266357	VEZT	annotated	0.016
clu_53724_-	3	chr2:38746747-38748056	SRSF7	annotated	0.016
clu_174269_+	3	chr16:24804319-24805014	TNRC6A	annotated	0.0162
clu_147917_+	7	chr2:97190650-97211220	.	annotated	0.0162
clu_118276_+	2	chr6:135201749-135203217	MYB	annotated	0.0173
clu_31634_+	3	chr20:30388578-30393551	FRG1BP	cryptic	0.018
clu_48080_-	3	chr9:137023052-137024143	ABCA2	annotated	0.018
clu_171134_-	5	chr4:103141104-103144331	CENPE	cryptic	0.019
clu_184663_+	10	chr7:2242256-2250829	NUDT1	cryptic	0.0195
clu_76389_+	3	chr5:64598435-64609161	RGS7BP	annotated	0.0201
clu_139359_+	4	chr10:5429229-5453295	NET1	cryptic	0.0218
clu_170006_-	6	chr4:15971082-15980422	PROM1	cryptic	0.0219
clu_170670_-	5	chr4:76144473-76148308	NUP54	annotated	0.0227
clu_157444_+	3	chr11:61779423-61779842	MYRF	cryptic	0.0228
clu_32201_+	6	chr20:44885886-44901531	YWHAB	cryptic	0.0228
clu_169925_-	5	chr4:9223887-9247616	.	annotated	0.0228
clu_50041_+	2	chr12:62556192-62560491	MON2	cryptic	0.0233
clu_82563_-	3	chr14:104770847-104772365	AKT1	annotated	0.0233
clu_19055_-	3	chr3:15415942-15426287	METTL6	annotated	0.0233
clu_133029_-	5	chr1:1299905-1300158	ACAP3	cryptic	0.0234
clu_175494_+	4	chr16:69340332-69381505	NIP7	cryptic	0.0234
clu_16873_-	3	chr8:119570841-119580116	ENPP2	annotated	0.0241
clu_146956_+	10	chr2:61145196-61163052	C2orf74	cryptic	0.0249
clu_76900_+	3	chr5:87379850-87383713	RASA1	cryptic	0.025
clu_120027_+	3	chr4:53377923-53379225	FIP1L1	annotated	0.0252
clu_154849_+	3	chr14:74494152-74494826	ISCA2	annotated	0.0261
clu_19829_-	2	chr3:49375591-49411820	RHOA	cryptic	0.0261
clu_129581_+	4	chr19:16862559-16863680	SIN3B	annotated	0.0276
clu_164951_+	6	chr17:63632802-63646034	MAP3K3	cryptic	0.028
clu_141267_+	3	chr10:102645187-102655080	TRIM8	annotated	0.0285
clu_143345_+	3	chr15:63589011-63590661	USP3	cryptic	0.0285
clu_46458_-	3	chr9:74739929-74742561	TRPM6	cryptic	0.0285
clu_133666_-	5	chr1:11256192-11258485	MTOR	cryptic	0.0297
clu_137039_-	3	chr1:151709318-151709743	CELF3	cryptic	0.031
clu_71951_+	4	chr22:38065130-38069033	PICK1	annotated	0.0315
clu_78296_+	2	chr5:170055386-170056684	DOCK2	cryptic	0.032
clu_23312_-	3	chr10:34360259-34374874	PARD3	annotated	0.0349
clu_125368_-	3	chr12:14947946-14949802	ARHGDIB	annotated	0.0349
clu_50575_+	9	chr12:98537572-98547573	TMPO	cryptic	0.0349
clu_62006_+	3	chr1:151224279-151227320	PIP5K1A	annotated	0.0353
clu_102184_+	6	chr13:72931267-72965274	PIBF1	cryptic	0.0353
clu_164442_+	2	chr17:47971309-47973519	CDK5RAP3	annotated	0.0353
clu_90200_+	2	chr3:52388330-52388418	DNAH1	cryptic	0.0353
clu_152314_-	3	chr6:90008856-90088961	BACH2	cryptic	0.0353
clu_187231_+	6	chr7:128739432-128758871	CALU	cryptic	0.0353
clu_58135_+	3	chr1:10324895-10334520	KIF1B	cryptic	0.0355
clu_148859_+	8	chr2:153944639-154242030	GALNT13	cryptic	0.0361
clu_84980_+	3	chr9:130101223-130107496	GPR107	cryptic	0.0361
clu_77013_+	3	chr5:96742756-96747345	CAST	annotated	0.0376
clu_157789_+	10	chr11:65295990-65320544	POLA2	cryptic	0.0379
clu_34460_-	5	chr16:47459175-47463952	ITFG1	cryptic	0.0381
clu_100810_-	12	chr18:23377671-23437781	TMEM241	cryptic	0.0389
clu_23106_-	5	chr10:24635103-24666985	ARHGAP21	cryptic	0.0391
clu_101602_+	3	chr13:25301880-25307806	NUP58	annotated	0.0391
clu_168912_-	3	chr7:140749418-140776912	BRAF	cryptic	0.0394
clu_48029_-	3	chr9:136849539-136862906	EDF1	cryptic	0.0395
clu_22700_-	5	chr10:3782214-3784913	KLF6	cryptic	0.0403
clu_96736_-	3	chr17:58307941-58309967	TSPOAP1	annotated	0.0403
clu_55534_-	3	chr2:121425306-121430073	CLASP1	annotated	0.0403
clu_58030_+	4	chr1:7803848-7809893	PER3	cryptic	0.0405
clu_11779_-	3	chr15:74417969-74418801	SEMA7A	annotated	0.0405
clu_142323_+	6	chr15:28641581-28648880	HERC2P9	cryptic	0.0405
clu_131611_+	3	chr19:44914489-44914872	APOC1	annotated	0.0405
clu_148080_+	7	chr2:101859864-101864930	MAP4K4	cryptic	0.0405
clu_56298_-	3	chr2:175181462-175181656	ATP5G3	cryptic	0.0405
clu_81816_-	6	chr14:74011150-74019250	ENTPD5	cryptic	0.0444
clu_88892_+	5	chr3:9435906-9440456	SETD5	cryptic	0.0444
clu_171822_-	4	chr4:175701767-176002988	GPM6A	cryptic	0.0444
clu_32215_+	3	chr20:45025130-45075018	STK4	annotated	0.0455
clu_153482_-	7	chr6:166330247-166342419	SFT2D1	cryptic	0.0455
clu_22429_-	5	chr3:197624187-197627780	AC024560.3	annotated	0.0491
clu_164511_+	2	chr17:49222225-49224273	ABI3	cryptic	0.0495
clu_56834_-	7	chr2:212124903-212538449	ERBB4	cryptic	0.0495
