"","module"
"TSPAN6|ENSG00000000003.15","brown"
"DHX33|ENSG00000005100.13","grey"
"THSD7A|ENSG00000005108.17","grey"
"LIG3|ENSG00000005156.12","grey"
"RPAP3|ENSG00000005175.10","lightyellow"
"ACSM3|ENSG00000005187.12","grey"
"REXO5|ENSG00000005189.20","grey"
"CIAPIN1|ENSG00000005194.15","grey"
"SPPL2B|ENSG00000005206.17","lightgreen"
"FAM214B|ENSG00000005238.20","royalblue"
"COPZ2|ENSG00000005243.10","grey"
"PRKAR2B|ENSG00000005249.13","blue"
"MSL3|ENSG00000005302.19","grey"
"CREBBP|ENSG00000005339.15","orange"
"TSPOAP1|ENSG00000005379.17","red"
"MPO|ENSG00000005381.9","grey"
"PON1|ENSG00000005421.9","grey"
"GCFC2|ENSG00000005436.14","greenyellow"
"WDR54|ENSG00000005448.17","orange"
"CROT|ENSG00000005469.12","cyan"
"ABCB4|ENSG00000005471.19","grey"
"KMT2E|ENSG00000005483.23","darkred"
"RHBDD2|ENSG00000005486.17","tan"
"SOX8|ENSG00000005513.10","turquoise"
"IBTK|ENSG00000005700.15","greenyellow"
"ZNF195|ENSG00000005801.18","magenta"
"MYCBP2|ENSG00000005810.20","blue"
"FBXL3|ENSG00000005812.11","magenta"
"ITGAL|ENSG00000005844.19","purple"
"PDK2|ENSG00000005882.12","royalblue"
"ITGA3|ENSG00000005884.18","darkgreen"
"ZFX|ENSG00000005889.16","grey"
"LAMP2|ENSG00000005893.16","turquoise"
"ITGA2B|ENSG00000005961.19","grey"
"ASB4|ENSG00000005981.13","brown"
"GDE1|ENSG00000006007.12","turquoise"
"REX1BD|ENSG00000006015.18","white"
"CRLF1|ENSG00000006016.12","grey"
"OSBPL7|ENSG00000006025.12","darkgrey"
"TMEM98|ENSG00000006042.12","turquoise"
"MAP3K14|ENSG00000006062.18","royalblue"
"ABCC8|ENSG00000006071.16","grey"
"CACNG3|ENSG00000006116.4","blue"
"TMEM132A|ENSG00000006118.15","darkgreen"
"AP2B1|ENSG00000006125.18","tan"
"TAC1|ENSG00000006128.12","blue"
"ZNF263|ENSG00000006194.10","grey"
"CX3CL1|ENSG00000006210.7","darkturquoise"
"SPATA20|ENSG00000006282.21","grey60"
"CACNA1G|ENSG00000006283.18","black"
"TNFRSF12A|ENSG00000006327.14","green"
"DLX6|ENSG00000006377.11","blue"
"MAP3K9|ENSG00000006432.16","darkturquoise"
"RALA|ENSG00000006451.8","lightyellow"
"BAIAP2L1|ENSG00000006453.14","salmon"
"KDM7A|ENSG00000006459.11","lightyellow"
"ETV1|ENSG00000006468.14","grey"
"AGK|ENSG00000006530.18","pink"
"ALDH3B1|ENSG00000006534.17","grey"
"TTC22|ENSG00000006555.11","lightcyan"
"PHTF2|ENSG00000006576.17","pink"
"FARP2|ENSG00000006607.14","turquoise"
"USH1C|ENSG00000006611.17","turquoise"
"GGCT|ENSG00000006625.18","lightcyan"
"DBF4|ENSG00000006634.8","blue"
"TBXA2R|ENSG00000006638.13","grey"
"IFRD1|ENSG00000006652.15","skyblue"
"COX10|ENSG00000006695.12","grey"
"GTF2IRD1|ENSG00000006704.11","royalblue"
"PAF1|ENSG00000006712.15","tan"
"VPS41|ENSG00000006715.16","grey"
"ARHGAP44|ENSG00000006740.18","blue"
"ELAC2|ENSG00000006744.19","tan"
"SCIN|ENSG00000006747.15","blue"
"ARSD|ENSG00000006756.16","salmon"
"PNPLA4|ENSG00000006757.12","grey"
"ADIPOR2|ENSG00000006831.10","turquoise"
"CDKL3|ENSG00000006837.12","midnightblue"
"UPP2|ENSG00000007001.13","lightcyan"
"PRSS21|ENSG00000007038.11","grey"
"MARK4|ENSG00000007047.16","darkturquoise"
"PROM1|ENSG00000007062.12","grey"
"CCDC124|ENSG00000007080.11","red"
"CEACAM21|ENSG00000007129.18","purple"
"PAFAH1B1|ENSG00000007168.14","pink"
"NOS2|ENSG00000007171.19","grey"
"DNAH9|ENSG00000007174.18","steelblue"
"KIAA0100|ENSG00000007202.15","black"
"GAS7|ENSG00000007237.19","orange"
"TRAPPC6A|ENSG00000007255.10","lightgreen"
"MATK|ENSG00000007264.15","red"
"CD79B|ENSG00000007312.14","grey"
"SCN4A|ENSG00000007314.12","grey"
"ST7L|ENSG00000007341.19","midnightblue"
"TKTL1|ENSG00000007350.17","grey"
"PAX6|ENSG00000007372.25","brown"
"RPUSD1|ENSG00000007376.8","black"
"RHBDF1|ENSG00000007384.15","salmon"
"LUC7L|ENSG00000007392.17","darkgrey"
"CACNA2D2|ENSG00000007402.12","darkturquoise"
"BAIAP3|ENSG00000007516.14","grey"
"TSR3|ENSG00000007520.4","white"
"PIGQ|ENSG00000007541.17","black"
"CRAMP1|ENSG00000007545.16","lightgreen"
"TEAD3|ENSG00000007866.22","darkgreen"
"SELE|ENSG00000007908.16","green"
"DNAJC11|ENSG00000007923.17","black"
"FMO3|ENSG00000007933.13","grey"
"MYLIP|ENSG00000007944.15","turquoise"
"PSMB1|ENSG00000008018.9","yellow"
"SYN1|ENSG00000008056.14","blue"
"JARID2|ENSG00000008083.14","grey"
"CDKL5|ENSG00000008086.13","blue"
"CAMK1G|ENSG00000008118.10","violet"
"CDK11A|ENSG00000008128.23","grey"
"NADK|ENSG00000008130.15","black"
"DLEC1|ENSG00000008226.20","violet"
"CYTH3|ENSG00000008256.16","salmon"
"ADAM22|ENSG00000008277.15","blue"
"SYPL1|ENSG00000008282.9","magenta"
"CYB561|ENSG00000008283.16","tan"
"SPAG9|ENSG00000008294.22","magenta"
"CELSR3|ENSG00000008300.17","red"
"AASS|ENSG00000008311.16","greenyellow"
"SS18L2|ENSG00000008324.12","yellow"
"MPND|ENSG00000008382.16","red"
"MGST1|ENSG00000008394.13","brown"
"CRY1|ENSG00000008405.12","grey"
"NFIX|ENSG00000008441.19","lightgreen"
"ST3GAL1|ENSG00000008513.16","green"
"MMP25|ENSG00000008516.18","green"
"IL32|ENSG00000008517.19","green"
"PKD1|ENSG00000008710.20","black"
"MAPK8IP2|ENSG00000008735.14","red"
"MED24|ENSG00000008838.21","royalblue"
"RHOBTB2|ENSG00000008853.18","red"
"HEATR5B|ENSG00000008869.12","blue"
"SEC62|ENSG00000008952.17","cyan"
"RPS20|ENSG00000008988.11","saddlebrown"
"CSDE1|ENSG00000009307.17","darkred"
"UBE3C|ENSG00000009335.18","blue"
"REV3L|ENSG00000009413.16","darkred"
"TENM1|ENSG00000009694.14","steelblue"
"PAX7|ENSG00000009709.12","grey"
"FAM76A|ENSG00000009780.16","turquoise"
"TRAF3IP3|ENSG00000009790.15","purple"
"POMT2|ENSG00000009830.13","turquoise"
"VTA1|ENSG00000009844.16","blue"
"MLXIPL|ENSG00000009950.16","purple"
"BAZ1B|ENSG00000009954.11","lightyellow"
"RANBP9|ENSG00000010017.13","midnightblue"
"ETV7|ENSG00000010030.14","grey"
"SPRTN|ENSG00000010072.16","magenta"
"METTL13|ENSG00000010165.20","tan"
"DYRK4|ENSG00000010219.14","grey"
"ZNF207|ENSG00000010244.19","pink"
"UQCRC1|ENSG00000010256.11","lightgreen"
"STARD3NL|ENSG00000010270.14","darkorange"
"CD9|ENSG00000010278.15","turquoise"
"HHATL|ENSG00000010282.15","turquoise"
"NCAPD2|ENSG00000010292.13","turquoise"
"IFFO1|ENSG00000010295.20","lightgreen"
"GIPR|ENSG00000010310.9","turquoise"
"PHF7|ENSG00000010318.22","greenyellow"
"SEMA3G|ENSG00000010319.7","salmon"
"NISCH|ENSG00000010322.16","royalblue"
"STAB1|ENSG00000010327.10","purple"
"FUZ|ENSG00000010361.14","lightgreen"
"SLC6A13|ENSG00000010379.16","salmon"
"IDS|ENSG00000010404.18","blue"
"PRSS3|ENSG00000010438.17","grey"
"ZNF200|ENSG00000010539.12","darkred"
"CD4|ENSG00000010610.10","purple"
"LRRC23|ENSG00000010626.15","grey"
"BTK|ENSG00000010671.18","purple"
"HFE|ENSG00000010704.19","brown"
"SCMH1|ENSG00000010803.17","grey60"
"FYN|ENSG00000010810.17","brown"
"HIVEP2|ENSG00000010818.10","tan"
"ELOA|ENSG00000011007.13","grey"
"LYPLA2|ENSG00000011009.11","white"
"CLCN6|ENSG00000011021.23","tan"
"MRC2|ENSG00000011028.14","grey60"
"SLC6A7|ENSG00000011083.9","grey"
"TSPAN9|ENSG00000011105.14","salmon"
"BTBD7|ENSG00000011114.15","cyan"
"APBA3|ENSG00000011132.12","black"
"MKS1|ENSG00000011143.19","darkgrey"
"ABHD5|ENSG00000011198.10","cyan"
"ANOS1|ENSG00000011201.12","brown"
"AKAP8L|ENSG00000011243.19","tan"
"MBTD1|ENSG00000011258.16","turquoise"
"UTP18|ENSG00000011260.14","midnightblue"
"RNF216|ENSG00000011275.19","grey"
"TTC19|ENSG00000011295.16","greenyellow"
"PTBP1|ENSG00000011304.22","darkgreen"
"DPF1|ENSG00000011332.22","darkturquoise"
"SYT7|ENSG00000011347.10","darkturquoise"
"LARS2|ENSG00000011376.12","grey"
"PIK3C2A|ENSG00000011405.14","brown"
"PLAUR|ENSG00000011422.12","green"
"ANLN|ENSG00000011426.11","turquoise"
"WIZ|ENSG00000011451.21","red"
"RABGAP1|ENSG00000011454.18","cyan"
"DCN|ENSG00000011465.18","salmon"
"QPCTL|ENSG00000011478.13","tan"
"PPP5C|ENSG00000011485.15","tan"
"CEP68|ENSG00000011523.14","grey"
"MAP4K3|ENSG00000011566.15","darkred"
"TYROBP|ENSG00000011600.12","purple"
"LDAF1|ENSG00000011638.11","grey"
"GABRA3|ENSG00000011677.13","blue"
"BRCA1|ENSG00000012048.24","turquoise"
"ERCC1|ENSG00000012061.16","black"
"CD22|ENSG00000012124.17","turquoise"
"SEMA3B|ENSG00000012171.20","turquoise"
"MBTPS2|ENSG00000012174.12","pink"
"PRICKLE3|ENSG00000012211.13","grey"
"LTF|ENSG00000012223.13","lightcyan"
"EXTL3|ENSG00000012232.10","royalblue"
"ELOVL5|ENSG00000012660.14","magenta"
"ALOX5|ENSG00000012779.12","purple"
"KDM5D|ENSG00000012817.16","turquoise"
"CALCOCO1|ENSG00000012822.16","tan"
"UBR7|ENSG00000012963.15","blue"
"MAP4K5|ENSG00000012983.12","turquoise"
"EHD3|ENSG00000013016.16","grey"
"PSMC4|ENSG00000013275.8","orange"
"MAN2B2|ENSG00000013288.9","tan"
"SLC7A14|ENSG00000013293.6","blue"
"CLDN11|ENSG00000013297.12","turquoise"
"SLC25A39|ENSG00000013306.16","red"
"MVP|ENSG00000013364.19","darkgreen"
"NUB1|ENSG00000013374.17","magenta"
"PGM3|ENSG00000013375.17","cyan"
"RWDD2A|ENSG00000013392.8","grey"
"CLK1|ENSG00000013441.17","skyblue"
"POLR3B|ENSG00000013503.10","blue"
"ANGEL1|ENSG00000013523.11","turquoise"
"RNF14|ENSG00000013561.18","greenyellow"
"DNASE1L1|ENSG00000013563.14","grey60"
"DDX11|ENSG00000013573.17","grey"
"HEBP1|ENSG00000013583.10","grey"
"GPRC5A|ENSG00000013588.9","green"
"MAMLD1|ENSG00000013619.15","royalblue"
"CD6|ENSG00000013725.14","grey"
"TACC3|ENSG00000013810.21","grey"
"UFL1|ENSG00000014123.10","magenta"
"POLA2|ENSG00000014138.9","turquoise"
"ZC3H3|ENSG00000014164.7","royalblue"
"CAPN1|ENSG00000014216.16","royalblue"
"ACP3|ENSG00000014257.16","grey"
"MDH1|ENSG00000014641.21","blue"
"SLC30A9|ENSG00000014824.14","pink"
"MTMR11|ENSG00000014914.21","green"
"COX15|ENSG00000014919.13","cyan"
"CCDC88C|ENSG00000015133.20","darkturquoise"
"YAF2|ENSG00000015153.15","cyan"
"ZMYND11|ENSG00000015171.20","darkred"
"WAS|ENSG00000015285.12","purple"
"BID|ENSG00000015475.19","yellow"
"MATR3|ENSG00000015479.20","blue"
"NPC1L1|ENSG00000015520.15","skyblue"
"XYLT2|ENSG00000015532.10","salmon"
"RGPD5|ENSG00000015568.13","grey"
"STMN4|ENSG00000015592.17","turquoise"
"NUDCD3|ENSG00000015676.18","grey"
"ISL1|ENSG00000016082.15","grey"
"CHDH|ENSG00000016391.11","grey60"
"IL20RA|ENSG00000016402.14","brown"
"CLCA4|ENSG00000016602.9","turquoise"
"GLT8D1|ENSG00000016864.19","grey"
"ATP2C1|ENSG00000017260.20","lightyellow"
"IGF1|ENSG00000017427.17","blue"
"SLC38A5|ENSG00000017483.16","salmon"
"RALBP1|ENSG00000017797.13","cyan"
"RUFY3|ENSG00000018189.13","pink"
"CNTN1|ENSG00000018236.15","pink"
"SLC11A1|ENSG00000018280.17","lightcyan"
"WWTR1|ENSG00000018408.15","green"
"AGPS|ENSG00000018510.18","magenta"
"ZNF285CP|ENSG00000018607.8","grey"
"STEEP1|ENSG00000018610.15","yellow"
"ATP1A2|ENSG00000018625.15","grey60"
"TTC27|ENSG00000018699.13","turquoise"
"ZNF582|ENSG00000018869.18","turquoise"
"VSIG2|ENSG00000019102.12","grey"
"PHLDB1|ENSG00000019144.20","turquoise"
"MARCO|ENSG00000019169.11","grey"
"CYP24A1|ENSG00000019186.10","grey"
"PRDM11|ENSG00000019485.14","red"
"SYT13|ENSG00000019505.8","blue"
"SNAI2|ENSG00000019549.13","grey"
"CD74|ENSG00000019582.17","purple"
"HGF|ENSG00000019991.18","green"
"ZRANB1|ENSG00000019995.6","darkred"
"NCDN|ENSG00000020129.16","darkturquoise"
"ADGRA2|ENSG00000020181.18","salmon"
"ZFP64|ENSG00000020256.20","orange"
"MNAT1|ENSG00000020426.11","midnightblue"
"SAMD4A|ENSG00000020577.14","green"
"RUNX3|ENSG00000020633.19","green"
"MRE11|ENSG00000020922.13","greenyellow"
"PLEKHB1|ENSG00000021300.14","turquoise"
"SERPINB1|ENSG00000021355.13","green"
"CYP3A43|ENSG00000021461.18","grey"
"SLC7A9|ENSG00000021488.13","grey"
"SPAST|ENSG00000021574.13","magenta"
"NRXN3|ENSG00000021645.20","blue"
"OSBPL5|ENSG00000021762.20","lightgreen"
"AQR|ENSG00000021776.11","darkred"
"CPS1|ENSG00000021826.18","grey"
"FHL1|ENSG00000022267.19","brown"
"RTF2|ENSG00000022277.13","turquoise"
"GABRA1|ENSG00000022355.18","blue"
"NLRP2|ENSG00000022556.16","grey"
"SLC45A4|ENSG00000022567.10","midnightblue"
"RNF10|ENSG00000022840.17","grey"
"ZNF839|ENSG00000022976.16","grey"
"ZDHHC6|ENSG00000023041.12","grey"
"GRAMD1B|ENSG00000023171.20","darkgreen"
"RNH1|ENSG00000023191.17","lightgreen"
"NDUFS1|ENSG00000023228.14","blue"
"RB1CC1|ENSG00000023287.13","midnightblue"
"ERP44|ENSG00000023318.9","lightyellow"
"ALAS1|ENSG00000023330.15","tan"
"BIRC3|ENSG00000023445.16","lightcyan"
"AKAP11|ENSG00000023516.9","blue"
"GLRX2|ENSG00000023572.10","darkorange"
"SNAPC1|ENSG00000023608.5","darkred"
"DERA|ENSG00000023697.13","cyan"
"STRAP|ENSG00000023734.11","blue"
"ABCC2|ENSG00000023839.12","grey"
"DEF6|ENSG00000023892.12","purple"
"PLEKHO1|ENSG00000023902.14","green"
"GCLM|ENSG00000023909.10","green"
"UBR2|ENSG00000024048.11","lightyellow"
"EHD2|ENSG00000024422.12","salmon"
"DEPDC1|ENSG00000024526.17","grey"
"CCDC28A|ENSG00000024862.18","yellow"
"RRAGD|ENSG00000025039.15","darkorange"
"HSF2|ENSG00000025156.13","pink"
"PHF20|ENSG00000025293.17","lightyellow"
"HSD17B6|ENSG00000025423.11","brown"
"NR1H3|ENSG00000025434.19","grey"
"TYMP|ENSG00000025708.14","lightcyan"
"NCAPH2|ENSG00000025770.19","black"
"TOMM34|ENSG00000025772.8","blue"
"SEC63|ENSG00000025796.14","lightyellow"
"KPNA6|ENSG00000025800.14","lightyellow"
"VIM|ENSG00000026025.16","brown"
"RTEL1-TNFRSF6B|ENSG00000026036.23","grey"
"FAS|ENSG00000026103.25","green"
"RNASET2|ENSG00000026297.17","purple"
"CD44|ENSG00000026508.21","lightcyan"
"KCNG1|ENSG00000026559.14","grey"
"AGPAT4|ENSG00000026652.15","turquoise"
"BTN3A1|ENSG00000026950.17","brown"
"MIPEP|ENSG00000027001.10","turquoise"
"PRKCH|ENSG00000027075.17","green"
"INSRR|ENSG00000027644.5","grey"
"IFNGR1|ENSG00000027697.16","grey"
"B4GALT7|ENSG00000027847.14","black"
"SH2D2A|ENSG00000027869.12","grey"
"VRK2|ENSG00000028116.18","turquoise"
"TNFRSF1B|ENSG00000028137.19","green"
"VEZT|ENSG00000028203.19","darkred"
"POU2F2|ENSG00000028277.22","purple"
"BRD9|ENSG00000028310.18","darkgrey"
"SNX1|ENSG00000028528.15","turquoise"
"TBPL1|ENSG00000028839.10","darkorange"
"ARNTL2|ENSG00000029153.15","grey"
"BCLAF1|ENSG00000029363.17","lightyellow"
"SLC39A9|ENSG00000029364.12","cyan"
"ANK1|ENSG00000029534.21","grey"
"TFB1M|ENSG00000029639.11","turquoise"
"RABEP1|ENSG00000029725.17","darkred"
"HMGB3|ENSG00000029993.15","brown"
"NUP160|ENSG00000030066.14","magenta"
"BAK1|ENSG00000030110.14","black"
"MUSK|ENSG00000030304.15","grey"
"IKZF2|ENSG00000030419.17","violet"
"GRN|ENSG00000030582.18","tan"
"FAM13B|ENSG00000031003.11","blue"
"ARHGAP31|ENSG00000031081.11","brown"
"CENPQ|ENSG00000031691.7","magenta"
"SARS1|ENSG00000031698.13","blue"
"RANBP3|ENSG00000031823.14","royalblue"
"ARID4A|ENSG00000032219.19","darkred"
"EIPR1|ENSG00000032389.13","black"
"PNPLA6|ENSG00000032444.17","black"
"IFT88|ENSG00000032742.18","turquoise"
"ALG1|ENSG00000033011.14","grey"
"ZCCHC8|ENSG00000033030.15","grey"
"ABCF2|ENSG00000033050.9","tan"
"CHPF2|ENSG00000033100.17","black"
"LRRC7|ENSG00000033122.21","blue"
"FUT8|ENSG00000033170.17","turquoise"
"UBA6|ENSG00000033178.13","magenta"
"GAB2|ENSG00000033327.13","turquoise"
"ATP6V0A1|ENSG00000033627.17","blue"
"PIAS1|ENSG00000033800.14","lightyellow"
"SLC4A7|ENSG00000033867.17","yellow"
"APBA2|ENSG00000034053.15","black"
"MAP2K3|ENSG00000034152.19","green"
"CLXN|ENSG00000034239.11","grey"
"TMSB10|ENSG00000034510.6","yellow"
"ASTE1|ENSG00000034533.12","turquoise"
"RNF19A|ENSG00000034677.13","green"
"PEX3|ENSG00000034693.15","greenyellow"
"GABARAPL2|ENSG00000034713.8","yellow"
"SH3YL1|ENSG00000035115.22","darkorange"
"FAM136A|ENSG00000035141.8","yellow"
"VCL|ENSG00000035403.18","green"
"DEPDC1B|ENSG00000035499.13","grey"
"DAPK2|ENSG00000035664.11","turquoise"
"NSMAF|ENSG00000035681.9","blue"
"ADSS2|ENSG00000035687.10","pink"
"TIMP2|ENSG00000035862.12","turquoise"
"RFC1|ENSG00000035928.17","pink"
"TBC1D23|ENSG00000036054.13","magenta"
"CUL3|ENSG00000036257.14","lightyellow"
"MYOM2|ENSG00000036448.10","grey"
"OTC|ENSG00000036473.8","grey"
"CYP46A1|ENSG00000036530.9","darkturquoise"
"ZZZ3|ENSG00000036549.13","midnightblue"
"USP2|ENSG00000036672.16","orange"
"TUBG2|ENSG00000037042.9","orange"
"RPL26L1|ENSG00000037241.7","yellow"
"FLT4|ENSG00000037280.16","grey"
"NSUN2|ENSG00000037474.15","pink"
"FBXO42|ENSG00000037637.11","grey"
"MFAP3|ENSG00000037749.13","brown"
"MRI1|ENSG00000037757.14","grey"
"METTL1|ENSG00000037897.17","grey"
"AGA|ENSG00000038002.9","turquoise"
"PI4K2B|ENSG00000038210.14","cyan"
"BOD1L1|ENSG00000038219.13","darkred"
"MAT2B|ENSG00000038274.18","yellow"
"TLL1|ENSG00000038295.8","midnightblue"
"EDC4|ENSG00000038358.15","royalblue"
"TRIO|ENSG00000038382.22","steelblue"
"VCAN|ENSG00000038427.16","grey"
"CLEC16A|ENSG00000038532.17","darkgreen"
"MSR1|ENSG00000038945.15","lightcyan"
"CDH1|ENSG00000039068.20","turquoise"
"MTREX|ENSG00000039123.16","pink"
"DNAH5|ENSG00000039139.11","steelblue"
"ZFYVE16|ENSG00000039319.17","turquoise"
"RIPOR1|ENSG00000039523.20","red"
"C6|ENSG00000039537.15","grey"
"RAI14|ENSG00000039560.14","grey"
"SOX30|ENSG00000039600.11","grey"
"PNKP|ENSG00000039650.12","darkgrey"
"PHLPP2|ENSG00000040199.18","steelblue"
"SPDL1|ENSG00000040275.17","greenyellow"
"STAU2|ENSG00000040341.18","darkorange"
"SLC66A1|ENSG00000040487.13","black"
"CTNS|ENSG00000040531.16","lightgreen"
"RTN4R|ENSG00000040608.14","black"
"PHF23|ENSG00000040633.13","grey"
"CDH10|ENSG00000040731.10","brown"
"INPP4A|ENSG00000040933.16","blue"
"RAB27B|ENSG00000041353.10","blue"
"PSMA4|ENSG00000041357.16","pink"
"MYO16|ENSG00000041515.16","grey"
"LSG1|ENSG00000041802.11","steelblue"
"PARP3|ENSG00000041880.15","grey"
"TNC|ENSG00000041982.16","darkturquoise"
"THAP3|ENSG00000041988.16","red"
"RIPOR3|ENSG00000042062.13","salmon"
"TDP1|ENSG00000042088.14","turquoise"
"AIFM2|ENSG00000042286.15","grey"
"C2orf83|ENSG00000042304.13","grey"
"SPATA7|ENSG00000042317.17","grey"
"MED17|ENSG00000042429.12","pink"
"RETSAT|ENSG00000042445.14","grey"
"CAPG|ENSG00000042493.16","purple"
"AP2S1|ENSG00000042753.12","white"
"USH2A|ENSG00000042781.14","grey"
"TG|ENSG00000042832.12","grey"
"ADAM28|ENSG00000042980.14","purple"
"BARX2|ENSG00000043039.7","grey"
"DCUN1D1|ENSG00000043093.15","cyan"
"JADE2|ENSG00000043143.22","tan"
"ZIC2|ENSG00000043355.12","grey"
"LCP2|ENSG00000043462.13","lightcyan"
"TRIT1|ENSG00000043514.17","greenyellow"
"ADRB1|ENSG00000043591.6","grey"
"CUL7|ENSG00000044090.13","royalblue"
"CTNNA1|ENSG00000044115.21","turquoise"
"PHKA2|ENSG00000044446.12","turquoise"
"CNTLN|ENSG00000044459.15","darkred"
"EPHA3|ENSG00000044524.11","grey"
"HSPA5|ENSG00000044574.9","skyblue"
"DSG2|ENSG00000046604.14","blue"
"GEMIN8|ENSG00000046647.14","turquoise"
"OFD1|ENSG00000046651.16","pink"
"GPM6B|ENSG00000046653.15","magenta"
"PREX2|ENSG00000046889.19","brown"
"WDR37|ENSG00000047056.17","steelblue"
"YTHDC2|ENSG00000047188.16","pink"
"CTPS2|ENSG00000047230.15","pink"
"ATP6V1H|ENSG00000047249.18","blue"
"POLR2B|ENSG00000047315.17","pink"
"FAM214A|ENSG00000047346.13","greenyellow"
"ARAP2|ENSG00000047365.13","pink"
"TPR|ENSG00000047410.14","darkred"
"CP|ENSG00000047457.14","lightcyan"
"KATNIP|ENSG00000047578.14","black"
"DTNBP1|ENSG00000047579.20","yellow"
"XK|ENSG00000047597.7","blue"
"ANO2|ENSG00000047617.17","green"
"C12orf4|ENSG00000047621.12","blue"
"SCML1|ENSG00000047634.15","grey"
"WWC3|ENSG00000047644.20","grey60"
"ARHGAP6|ENSG00000047648.23","grey"
"FAM184B|ENSG00000047662.5","grey"
"MAP4|ENSG00000047849.22","red"
"GOPC|ENSG00000047932.14","lightyellow"
"USP28|ENSG00000048028.12","grey"
"HDAC9|ENSG00000048052.24","turquoise"
"TSPAN17|ENSG00000048140.18","darkgreen"
"NOP16|ENSG00000048162.22","skyblue"
"CC2D2A|ENSG00000048342.18","brown"
"RRM2B|ENSG00000048392.13","cyan"
"ZNF800|ENSG00000048405.11","midnightblue"
"TNFRSF17|ENSG00000048462.11","grey"
"SNX29|ENSG00000048471.14","turquoise"
"LMO3|ENSG00000048540.16","blue"
"MRPS10|ENSG00000048544.6","yellow"
"GUCA1A|ENSG00000048545.18","yellow"
"RSF1|ENSG00000048649.14","darkred"
"VPS13D|ENSG00000048707.15","lightyellow"
"CELF2|ENSG00000048740.19","blue"
"FAM120A|ENSG00000048828.18","grey"
"R3HDM1|ENSG00000048991.17","blue"
"COL9A2|ENSG00000049089.15","turquoise"
"KITLG|ENSG00000049130.16","blue"
"ERCC8|ENSG00000049167.16","greenyellow"
"ADAMTS6|ENSG00000049192.15","grey"
"H6PD|ENSG00000049239.13","black"
"VAMP3|ENSG00000049245.13","magenta"
"PER3|ENSG00000049246.15","grey"
"EPN3|ENSG00000049283.19","grey"
