clusterID	N	coord	gene	annotation	FDR
clu_50099_-	6	chr2:54987698-55049745	RTN4	annotated	2.3e-07
clu_118466_-	7	chr12:81281432-81294835	PPFIA2	cryptic	5.13e-07
clu_92411_-	4	chr17:69140748-69149033	ABCA10	cryptic	5.21e-07
clu_124431_-	4	chr1:1336515-1337977	DVL1	cryptic	6.03e-07
clu_111668_+	5	chr4:70705294-70762519	RUFY3	cryptic	6.06e-07
clu_78923_+	6	chr9:36204179-36211603	CLTA	annotated	6.9e-07
clu_134160_+	12	chr15:42403777-42409303	CAPN3	cryptic	1.03e-06
clu_114878_+	9	chr8:38728671-38825308	TACC1	annotated	1.03e-06
clu_133039_+	5	chr10:122427031-122429624	PLEKHA1	cryptic	1.07e-06
clu_62916_+	5	chrX:153777688-153778396	PLXNB3	cryptic	1.14e-06
clu_151207_+	11	chr11:85628688-85635667	TMEM126B	cryptic	1.37e-06
clu_50520_-	3	chr2:74363427-74365075	DCTN1	annotated	1.68e-06
clu_20318_-	4	chr3:150452438-150546052	SERP1	cryptic	1.72e-06
clu_29997_+	3	chr20:30388578-30393551	FRG1BP	cryptic	3.47e-06
clu_140439_+	3	chr2:190497719-190500015	MFSD6	annotated	3.51e-06
clu_62431_+	3	chrX:115636978-115640408	PLS3	annotated	7.28e-06
clu_144610_+	3	chr14:20357149-20357638	PARP2	annotated	7.66e-06
clu_78167_-	5	chr14:102086378-102139250	HSP90AA1	annotated	7.66e-06
clu_176561_+	3	chr7:74189918-74194741	EIF4H	annotated	9.77e-06
clu_59912_+	8	chr1:204988806-205009557	NFASC	annotated	1.12e-05
clu_142340_-	2	chr6:32662085-32664798	HLA-DQB1	annotated	1.14e-05
clu_75300_-	8	chr20:28600461-28602609	FRG1CP	cryptic	1.24e-05
clu_77935_-	3	chr14:92015861-92017682	TRIP11	cryptic	1.29e-05
clu_25950_-	4	chr5:132752178-132760802	SEPT8	annotated	1.58e-05
clu_139875_+	3	chr2:152619718-152625438	FMNL2	annotated	2.09e-05
clu_159950_-	7	chr7:94585515-94598775	SGCE	cryptic	3.36e-05
clu_115677_+	7	chr8:97691188-97713662	MTDH	cryptic	3.36e-05
clu_111541_+	7	chr4:55396396-55424538	TMEM165	annotated	3.54e-05
clu_30006_+	8	chr20:31561736-31569120	HM13	annotated	4.11e-05
clu_146363_+	3	chr14:99865646-99878485	EML1	annotated	4.65e-05
clu_116719_-	2	chr12:8940869-8942416	M6PR	annotated	5.33e-05
clu_41552_+	6	chr21:46635763-46636896	PRMT2	cryptic	5.33e-05
clu_56584_+	12	chr1:84078371-84179177	PRKACB	annotated	5.71e-05
clu_87056_+	5	chr3:149009402-149026760	GYG1	annotated	5.99e-05
clu_25449_-	3	chr5:88729347-88731729	MEF2C	annotated	7.5e-05
clu_85179_+	4	chr3:44111412-44114167	.	annotated	7.81e-05
clu_140153_+	5	chr2:171707377-171715328	DYNC1I2	cryptic	8.79e-05
clu_55786_+	3	chr1:43598913-43603416	PTPRF	annotated	8.8e-05
clu_54267_+	3	chr1:10272306-10275428	KIF1B	annotated	9.99e-05
clu_6891_-	2	chr11:118166544-118166694	.	annotated	0.000112
clu_156247_+	3	chr17:42507627-42513861	ATP6V0A1	annotated	0.000124
clu_146826_+	4	chr14:105384987-105389961	PACS2	cryptic	0.000131
clu_30259_+	3	chr20:35548865-35555044	ERGIC3	annotated	0.000133
clu_261_-	11	chrX:15825984-15845379	AP1S2	cryptic	0.000137
clu_18288_-	9	chr3:47928350-47998638	MAP4	cryptic	0.000143
clu_59264_+	3	chr1:172308839-172379018	DNM3	annotated	0.000146
clu_17951_-	3	chr3:33573354-33576169	CLASP2	annotated	0.000153
clu_206_-	5	chrX:13785808-13938507	GPM6B	annotated	0.000153
clu_59909_+	5	chr1:204982020-204987425	NFASC	cryptic	0.000156
clu_127145_-	8	chr1:88962145-88964829	KYAT3	cryptic	0.000162
clu_83798_-	3	chr13:77225554-77243059	MYCBP2	cryptic	0.000162
clu_120769_+	5	chr19:10795439-10798486	DNM2	cryptic	0.000169
clu_6390_-	4	chr11:85983973-85996826	PICALM	annotated	0.000188
clu_145547_+	3	chr14:66922938-66965191	GPHN	annotated	0.000194
clu_126085_-	7	chr1:37493814-37501804	MEAF6	annotated	0.000212
clu_21802_-	3	chr10:24589302-24591225	ARHGAP21	annotated	0.000212
clu_15153_-	5	chr8:80042668-80051527	TPD52	annotated	0.000212
clu_55866_+	5	chr1:44626398-44632343	RNF220	cryptic	0.00025
clu_92402_-	3	chr17:69250621-69253573	ABCA5	annotated	0.000273
clu_10337_-	3	chr15:52336556-52340196	MYO5A	annotated	0.000341
clu_92184_-	8	chr17:63714108-63728358	STRADA	cryptic	0.000348
clu_138912_+	3	chr2:97209709-97211546	ANKRD36	cryptic	0.000352
clu_149792_+	6	chr11:47324577-47328658	MADD	annotated	0.00042
clu_135847_+	3	chr15:99690428-99706729	MEF2A	annotated	0.00042
clu_73069_+	4	chr5:103173972-103177667	PPIP5K2	cryptic	0.00042
clu_76432_-	7	chr14:20326793-20343278	CCNB1IP1	cryptic	0.000426
clu_162387_-	3	chr4:42556040-42574619	ATP8A1	annotated	0.000441
clu_49124_-	4	chr2:8736999-8750112	KIDINS220	annotated	0.000451
clu_112848_+	3	chr4:165317969-165322032	KLHL2	annotated	0.000497
clu_26738_-	3	chr5:176392945-176397607	CLTB	annotated	0.000509
clu_44399_+	8	chr12:900670-907847	WNK1	cryptic	0.000554
clu_159884_-	3	chr7:88210925-88217122	SRI	annotated	0.000559
clu_54268_+	5	chr1:10278128-10282400	KIF1B	annotated	0.000634
clu_35906_+	5	chr13:26671989-26681054	WASF3	cryptic	0.000643
clu_15070_-	3	chr8:70141399-70148273	NCOA2	annotated	0.000698
clu_41685_-	4	chr9:8449837-8460411	PTPRD	annotated	0.000775
clu_1841_-	9	chrX:154032557-154097604	MECP2	cryptic	0.000914
clu_112574_+	4	chr4:145104515-145119968	ABCE1	cryptic	0.00101
clu_22556_-	3	chr10:71822007-71825837	PSAP	annotated	0.00108
clu_75085_-	8	chr20:14327558-14337404	FLRT3	cryptic	0.00113
clu_83961_-	3	chr13:98794748-98797115	DOCK9	annotated	0.0012
clu_31036_+	6	chr20:63275622-63286372	ARFGAP1	cryptic	0.00128
clu_166448_+	2	chr16:29847271-29847762	MVP	cryptic	0.00131
clu_99381_?	4	chr17:19064046-19190156	.	annotated	0.00131
clu_139878_+	7	chr2:152640914-152647796	FMNL2	cryptic	0.00131
clu_140152_+	4	chr2:171692894-171707287	DYNC1I2	annotated	0.00144
clu_95537_-	3	chr18:6978378-6980521	LAMA1	cryptic	0.00149
clu_24332_-	3	chr5:14769191-14871352	ANKH	cryptic	0.00156
clu_22299_-	3	chr10:60059430-60063111	ANK3	annotated	0.00159
clu_90753_-	3	chr17:29578779-29581338	GIT1	annotated	0.00179
clu_125000_-	5	chr1:11256192-11258485	MTOR	cryptic	0.00181
clu_138260_+	5	chr2:65239962-65246524	ACTR2	cryptic	0.00185
clu_1482_-	3	chrX:120428626-120441730	LAMP2	annotated	0.00194
clu_126605_-	3	chr1:52446667-52461134	ZCCHC11	annotated	0.00206
clu_83016_-	4	chr13:21381546-21382920	ZDHHC20	annotated	0.00209
clu_64704_-	4	chr19:18532795-18537601	FKBP8	annotated	0.00224
clu_17955_-	3	chr3:33644903-33663445	CLASP2	annotated	0.00229
clu_123958_+	4	chr19:55287299-55289480	BRSK1	cryptic	0.00238
clu_126696_-	3	chr1:55107430-55120596	USP24	cryptic	0.00249
clu_21092_-	7	chr3:197142768-197194425	DLG1	cryptic	0.00267
clu_177771_+	3	chr7:128739432-128748573	CALU	annotated	0.00269
clu_52634_-	3	chr2:183023916-183037992	NCKAP1	annotated	0.00282
clu_21142_-	5	chr3:197624187-197627780	AC024560.3	annotated	0.00288
clu_114390_+	15	chr8:22004030-22025436	NPM2	cryptic	0.00288
clu_158855_-	3	chr7:36895017-37013299	ELMO1	annotated	0.0029
clu_128840_-	12	chr1:155969300-155983107	ARHGEF2	cryptic	0.00294
clu_50232_-	3	chr2:61522683-61526420	XPO1	cryptic	0.00294
clu_83964_-	5	chr13:98845372-98848592	DOCK9	annotated	0.00306
clu_49940_-	15	chr2:46897109-46941572	MCFD2	cryptic	0.00313
clu_42136_-	5	chr9:35684550-35685269	TPM2	cryptic	0.00347
clu_162464_-	4	chr4:48535827-48540353	FRYL	cryptic	0.00351
clu_79838_+	3	chr9:105385502-105438281	SLC44A1	cryptic	0.00351
clu_139938_+	3	chr2:159065971-159097637	TANC1	cryptic	0.00392
clu_63614_-	5	chr19:5258127-5265008	PTPRS	cryptic	0.00399
clu_126501_-	3	chr1:48385349-48395267	SPATA6	cryptic	0.00427
clu_3400_-	6	chr22:38216714-38224785	TMEM184B	cryptic	0.00456
clu_141939_-	5	chr6:7289931-7297923	SSR1	cryptic	0.00456
clu_77140_-	3	chr14:50729723-50735516	NIN	annotated	0.00467
clu_133194_+	5	chr10:132117574-132135047	JAKMIP3	cryptic	0.00495
clu_129004_-	8	chr1:161001353-161038880	TSTD1	cryptic	0.0051
clu_34751_?	3	chr10:71822007-71825837	PSAP	annotated	0.0051
clu_162840_-	5	chr4:82894847-82900077	THAP9-AS1	annotated	0.0051
clu_6347_-	4	chr11:83472777-83484129	DLG2	annotated	0.00517
clu_131616_+	3	chr10:63599283-63610187	REEP3	annotated	0.00588
clu_140733_+	5	chr2:203366996-203402576	ABI2	annotated	0.00588
clu_121293_+	3	chr19:18121922-18122673	MAST3	cryptic	0.00631
clu_17111_+	11	chr18:54718139-54877567	RAB27B	cryptic	0.00633
clu_110978_+	3	chr4:6864183-6871574	KIAA0232	cryptic	0.00653
clu_113851_+	3	chr8:463150-468715	FBXO25	annotated	0.00678
clu_148131_?	6	chr8:80042668-80051527	TPD52	annotated	0.00693
clu_143951_-	3	chr6:131598761-131600038	MED23	cryptic	0.00709
clu_150850_+	4	chr11:68603492-68609904	PPP6R3	annotated	0.00783
clu_138886_+	4	chr2:96799648-96808561	CNNM4	cryptic	0.00818
clu_40899_+	2	chr21:21477471-21508851	NCAM2	cryptic	0.00825
clu_140946_+	3	chr2:210016112-210016507	RPE	annotated	0.00849
clu_36658_+	3	chr13:102636392-102637082	TPP2	cryptic	0.00868
clu_60959_+	9	chrX:2861722-2910874	GYG2	cryptic	0.00868
clu_62906_+	5	chrX:153772287-153773230	PLXNB3	cryptic	0.00868
clu_92362_-	3	chr17:69128804-69133641	ABCA6	cryptic	0.00882
clu_25281_-	8	chr5:78003055-78020692	AP3B1	cryptic	0.00882
clu_160552_-	3	chr7:108234688-108239959	NRCAM	annotated	0.00882
clu_42657_-	3	chr9:76638288-76644739	PRUNE2	annotated	0.00882
clu_22304_-	3	chr10:60139087-60166824	ANK3	annotated	0.00895
clu_112658_+	9	chr4:153152612-153275943	TRIM2	cryptic	0.00895
clu_117632_-	5	chr12:50248774-50283420	LIMA1	cryptic	0.00905
clu_74049_+	7	chr5:153770415-153802356	GRIA1	cryptic	0.00982
clu_151001_+	2	chr11:73661791-73661972	.	annotated	0.00991
clu_140813_+	11	chr2:208271691-208285726	PIKFYVE	cryptic	0.0102
clu_11278_-	9	chr15:84670069-84691535	SEC11A	annotated	0.0103
clu_22201_-	3	chr10:49154965-49161599	C10orf128	cryptic	0.0104
clu_36586_+	6	chr13:97357635-97391322	MBNL2	annotated	0.0104
clu_3961_-	11	chr22:50290597-50307553	PLXNB2	cryptic	0.0104
clu_72214_+	3	chr5:62366481-62373687	KIF2A	annotated	0.0105
clu_108293_+	5	chr6:36883352-36899426	C6orf89	cryptic	0.0105
clu_142229_-	2	chr6:28911718-28920012	TRIM27	annotated	0.0109
clu_62231_+	4	chrX:103310981-103330984	TCEAL7	cryptic	0.0114
clu_52438_-	3	chr2:173918785-173954873	SP3	cryptic	0.0123
clu_480_-	3	chrX:41610025-41626604	CASK	annotated	0.0123
clu_31120_+	7	chr20:63882820-63889190	TPD52L2	cryptic	0.0126
clu_177430_+	3	chr7:103083830-103086630	ARMC10	annotated	0.0126
clu_55490_+	3	chr1:39435761-39437777	MACF1	annotated	0.0128
clu_47012_+	3	chr12:108567268-108568831	ISCU	annotated	0.0128
clu_140345_+	8	chr2:183071875-183095431	DUSP19	cryptic	0.0128
clu_56420_+	5	chr1:70039793-70076077	LRRC7	cryptic	0.013
clu_115971_+	3	chr8:123787750-123789613	FAM91A1	cryptic	0.013
clu_46582_+	6	chr12:81199444-81216901	ACSS3	cryptic	0.0133
clu_21093_-	3	chr3:197194589-197282679	DLG1	annotated	0.0133
clu_112776_+	3	chr4:158240418-158241509	TMEM144	cryptic	0.0133
clu_150980_+	11	chr11:72822543-72828359	ATG16L2	cryptic	0.0135
clu_130136_-	3	chr1:227005111-227016080	CDC42BPA	annotated	0.014
clu_149831_+	3	chr11:48145124-48149447	PTPRJ	cryptic	0.0141
clu_21996_-	5	chr10:34360259-34377967	PARD3	cryptic	0.0144
clu_130137_-	8	chr1:227048010-227069777	CDC42BPA	cryptic	0.0145
clu_35391_?	4	chr10:103617314-103627089	SH3PXD2A	cryptic	0.0146
clu_9560_-	5	chr15:28233540-28234070	HERC2	cryptic	0.0146
clu_94587_?	3	chr5:131976721-131986822	ACSL6	cryptic	0.0146
clu_14888_-	3	chr8:53801896-53814662	ATP6V1H	annotated	0.0149
clu_21803_-	3	chr10:24621369-24629996	ARHGAP21	annotated	0.0151
clu_74342_+	6	chr5:173910604-173944967	CPEB4	annotated	0.0166
clu_11343_-	4	chr15:89317476-89318541	POLG	annotated	0.0167
clu_162389_-	2	chr4:42590884-42600478	ATP8A1	annotated	0.0167
clu_131902_+	3	chr10:73791176-73791859	ZSWIM8	cryptic	0.017
clu_144257_-	9	chr6:151366892-151391420	ZBTB2	cryptic	0.017
clu_12601_?	4	chrX:120428626-120441730	LAMP2	cryptic	0.017
clu_85552_+	8	chr3:50273646-50274392	SEMA3B	cryptic	0.0179
clu_142642_-	3	chr6:41689811-41691001	TFEB	annotated	0.0179
clu_116059_+	2	chr8:131996497-132001759	EFR3A	annotated	0.0181
clu_165913_+	3	chr16:19548014-19551196	CCP110	annotated	0.0183
clu_141541_+	3	chr2:235968623-236036561	AGAP1	annotated	0.0183
clu_76467_-	5	chr14:20802093-20802797	RNASE1	cryptic	0.0185
clu_162559_-	3	chr4:56353511-56354039	AASDH	cryptic	0.0186
clu_83127_-	3	chr13:27440449-27445088	MTIF3	annotated	0.0187
clu_162388_-	2	chr4:42588329-42594289	ATP8A1	annotated	0.0187
clu_60645_+	3	chr1:237723262-237727087	RYR2	annotated	0.0188
clu_108051_+	3	chr6:31992232-31992796	C4A	cryptic	0.0188
clu_150258_+	8	chr11:64227132-64229478	NUDT22	cryptic	0.0189
clu_76110_-	9	chr20:53953695-53985287	BCAS1	cryptic	0.0191
clu_87491_+	6	chr3:180604309-180605766	TTC14	cryptic	0.0194
clu_149216_+	3	chr11:10760321-10763431	CTR9	annotated	0.0199
clu_156621_+	3	chr17:48856187-48860314	CALCOCO2	annotated	0.02
clu_136536_?	6	chr20:37426424-37527793	BLCAP	cryptic	0.02
clu_54952_+	3	chr1:26761473-26762973	ARID1A	cryptic	0.0204
clu_138911_+	5	chr2:97204096-97209681	ANKRD36	cryptic	0.0205
clu_126559_-	2	chr1:51447105-51448046	EPS15	cryptic	0.0206
clu_22688_-	5	chr10:73517747-73523583	USP54	annotated	0.0206
clu_146772_+	7	chr14:104714856-104718795	INF2	cryptic	0.0206
clu_166019_+	2	chr16:22325266-22325761	POLR3E	cryptic	0.0206
clu_155307_+	5	chr17:19661268-19663333	ALDH3A2	cryptic	0.0206
clu_111816_+	3	chr4:78871906-78872647	BMP2K	cryptic	0.0206
clu_176223_+	5	chr7:65873565-65954074	VKORC1L1	cryptic	0.0206
clu_59539_+	4	chr1:183742289-183847566	RGL1	cryptic	0.0207
clu_7175_-	4	chr11:126266081-126266476	SRPRA	cryptic	0.0207
clu_112189_+	3	chr4:113350249-113360823	ANK2	annotated	0.0208
clu_45089_+	9	chr12:19287556-19320562	PLEKHA5	cryptic	0.0212
clu_63613_-	4	chr19:5246045-5258017	PTPRS	cryptic	0.0213
clu_75684_-	5	chr20:36930875-36941039	SAMHD1	cryptic	0.0213
clu_91856_-	6	chr17:51007326-51014232	SPAG9	cryptic	0.0214
clu_144064_-	3	chr6:136377868-136388393	MAP7	annotated	0.0216
clu_107685_+	6	chr6:15374252-15452006	JARID2	cryptic	0.0222
clu_49676_-	3	chr2:33592214-33595489	FAM98A	cryptic	0.0224
clu_163098_-	3	chr4:99892034-99894335	LAMTOR3	annotated	0.0225
clu_73258_+	3	chr5:123604830-123614342	CSNK1G3	annotated	0.0225
clu_59265_+	2	chr1:172388809-172407772	DNM3	cryptic	0.0227
clu_2799_-	3	chr22:21476160-21477790	PI4KAP2	annotated	0.0227
clu_110328_+	3	chr6:158093104-158095618	SYNJ2	cryptic	0.0227
clu_51711_-	11	chr2:127050912-127059011	BIN1	annotated	0.0229
clu_26639_-	4	chr5:168561494-168563889	PANK3	cryptic	0.0231
clu_91198_-	7	chr17:40637572-40645796	SMARCE1	annotated	0.0233
clu_172711_?	6	chr3:33644903-33663445	CLASP2	annotated	0.0233
clu_130979_+	3	chr10:13597535-13600244	PRPF18	annotated	0.0243
clu_167225_+	3	chr16:67571264-67616745	CTCF	annotated	0.0243
clu_3919_-	4	chr22:50220015-50222028	TUBGCP6	cryptic	0.0243
clu_49254_-	3	chr2:17678964-17683638	SMC6	cryptic	0.0244
clu_44149_-	20	chr9:136802786-136803262	CCDC183	cryptic	0.0244
clu_73586_+	4	chr5:138827718-138886212	CTNNA1	annotated	0.0249
clu_87747_+	3	chr3:186784696-186785883	EIF4A2	annotated	0.0253
clu_55782_+	3	chr1:43609498-43613618	PTPRF	annotated	0.0257
clu_152160_+	4	chr11:131911648-132212022	NTM	annotated	0.0262
clu_45057_+	3	chr12:15882819-15889928	STRAP	annotated	0.0265
clu_43534_-	6	chr9:123757822-123878951	DENND1A	cryptic	0.0265
clu_111543_+	3	chr4:55417247-55418048	TMEM165	cryptic	0.0266
clu_6348_-	2	chr11:83483298-83532708	DLG2	annotated	0.0267
clu_24260_-	3	chr5:11565056-11732136	CTNND2	annotated	0.0267
clu_62948_+	5	chrX:154399941-154400702	RPL10	cryptic	0.0273
clu_138908_+	3	chr2:97196788-97204068	ANKRD36	cryptic	0.0275
clu_158875_-	4	chr7:38869253-38929472	VPS41	annotated	0.0275
clu_157358_+	4	chr17:69526709-69536115	MAP2K6	cryptic	0.0293
clu_151601_+	2	chr11:113260323-113270188	NCAM1	annotated	0.0301
clu_154399_+	5	chr17:2041875-2043049	DPH1	cryptic	0.0302
clu_123144_+	2	chr19:45522581-45522721	VASP	cryptic	0.0302
clu_149893_+	3	chr11:57806035-57806915	CTNND1	annotated	0.0303
clu_23056_-	7	chr10:95322021-95339133	SORBS1	cryptic	0.0307
clu_145503_+	4	chr14:64415739-64424804	MTHFD1	cryptic	0.0309
clu_61084_+	6	chrX:13735220-13736656	OFD1	cryptic	0.0309
clu_127000_-	4	chr1:77718641-77721172	USP33	cryptic	0.0313
clu_164576_-	3	chr21:39280248-39293811	BRWD1	cryptic	0.0314
clu_26902_-	5	chr5:178605382-178612416	CLK4	annotated	0.0316
clu_124709_-	4	chr1:5887466-5904617	NPHP4	cryptic	0.0324
clu_82353_?	2	chr15:72200655-72203022	PKM	annotated	0.0324
clu_124267_+	5	chr19:58467183-58469728	ZNF324	cryptic	0.0325
clu_117463_-	4	chr12:49129722-49188977	TUBA1A	cryptic	0.0331
clu_157009_+	3	chr17:59685808-59690636	CLTC	annotated	0.0333
clu_10331_-	2	chr15:52340394-52346361	MYO5A	annotated	0.0337
clu_159780_-	3	chr7:81982627-81984635	CACNA2D1	annotated	0.0339
clu_17669_-	2	chr3:12924742-12935448	IQSEC1	cryptic	0.0342
clu_59900_+	3	chr1:204944406-204952011	NFASC	annotated	0.0345
clu_90648_-	3	chr17:28635609-28636965	KIAA0100	cryptic	0.0345
clu_138666_+	3	chr2:86136562-86136985	PTCD3	cryptic	0.035
clu_112276_+	7	chr4:118278792-118279624	SNHG8	cryptic	0.035
clu_144016_-	6	chr6:135002833-135039573	HBS1L	cryptic	0.035
clu_109063_+	3	chr6:70482154-70491034	FAM135A	annotated	0.0351
clu_118672_-	2	chr12:98832136-99053157	ANKS1B	annotated	0.0354
clu_86193_+	9	chr3:91517198-91553100	.	annotated	0.0354
clu_153101_?	4	chr16:19872846-19885203	GPRC5B	annotated	0.0356
clu_51222_-	2	chr2:96864880-96864994	SEMA4C	cryptic	0.0356
clu_129663_-	2	chr1:204268312-204273626	PLEKHA6	cryptic	0.0357
clu_30569_+	3	chr20:45025130-45075018	STK4	annotated	0.036
clu_144740_+	3	chr14:23475308-23476029	NGDN	annotated	0.0366
clu_144813_+	3	chr14:24163508-24164063	IRF9	annotated	0.0366
clu_25904_-	4	chr5:131709272-131716565	FNIP1	cryptic	0.0366
clu_165106_+	3	chr16:1758159-1759958	MAPK8IP3	annotated	0.0375
clu_49426_-	3	chr2:25388361-25427535	DTNB	annotated	0.0375
clu_128836_-	4	chr1:155965412-155966422	ARHGEF2	cryptic	0.0377
clu_46170_+	4	chr12:57783283-57786163	TSFM	annotated	0.0377
clu_52279_-	3	chr2:165890988-165898686	TTC21B	cryptic	0.0377
clu_78668_+	5	chr9:20976548-20981426	FOCAD	cryptic	0.0377
clu_88947_?	3	chr14:75147731-75152032	TMED10	cryptic	0.0384
clu_134742_+	3	chr15:62740769-62750402	TLN2	cryptic	0.0387
clu_79990_+	3	chr9:113591397-113594430	RGS3	cryptic	0.0387
clu_164837_+	2	chr16:173510-177322	.	annotated	0.039
clu_129409_-	5	chr1:184694472-184702811	EDEM3	cryptic	0.041
clu_152138_+	3	chr11:130135715-130140398	APLP2	annotated	0.041
clu_75017_-	2	chr20:5943683-5943948	TRMT6	annotated	0.041
clu_20637_-	16	chr3:179875477-180036579	PEX5L	cryptic	0.041
clu_132554_+	3	chr10:100931078-100937402	SLF2	cryptic	0.0416
clu_119706_-	5	chr12:130791916-130798525	STX2	cryptic	0.0416
clu_35779_+	3	chr13:19960026-19993063	ZMYM2	annotated	0.0416
clu_86821_+	3	chr3:132434618-132447321	DNAJC13	cryptic	0.0416
clu_22362_-	3	chr10:63177856-63184608	JMJD1C	cryptic	0.0419
clu_10967_-	4	chr15:75358344-75358704	MAN2C1	cryptic	0.0419
clu_32407_-	8	chr16:29357743-29509029	.	annotated	0.0419
clu_73546_+	7	chr5:138347207-138372674	KDM3B	cryptic	0.0419
clu_149778_+	3	chr11:47290816-47293883	MADD	annotated	0.0426
clu_21170_-	10	chr3:197705175-197749269	RUBCN	cryptic	0.0427
clu_143192_-	2	chr6:82216189-82217960	IBTK	cryptic	0.0427
clu_91000_-	6	chr17:37339850-37406262	ACACA	annotated	0.0429
clu_67221_+	7	chr22:23150113-23157992	RAB36	cryptic	0.0429
clu_112191_+	3	chr4:113373449-113381457	ANK2	annotated	0.0429
clu_119365_-	2	chr12:121328458-121330583	ANAPC5	annotated	0.044
clu_141585_+	6	chr2:237756187-237760064	LRRFIP1	cryptic	0.0442
clu_75963_-	5	chr20:48745147-48827642	PREX1	cryptic	0.0448
clu_6060_-	3	chr11:72107605-72110088	ANAPC15	annotated	0.0449
clu_160018_-	3	chr7:98848142-98848583	TMEM130	cryptic	0.0449
clu_16361_+	3	chr18:657947-662146	TYMS	cryptic	0.046
clu_62377_+	3	chrX:108584525-108586615	COL4A5	cryptic	0.046
clu_79657_+	5	chr9:94956015-94979367	C9orf3	cryptic	0.0462
clu_117244_-	3	chr12:43797833-43799398	TWF1	annotated	0.047
clu_163744_-	2	chr4:158715668-158717012	PPID	annotated	0.047
clu_152219_+	17	chr11:134277912-134345034	GLB1L3	cryptic	0.0471
clu_131429_+	3	chr10:45729026-45737983	WASHC2C	cryptic	0.0473
clu_74875_-	4	chr20:3203416-3204537	DDRGK1	cryptic	0.0481
clu_54339_+	3	chr1:11018873-11022124	TARDBP	annotated	0.0493
clu_133090_+	5	chr10:124498128-124613264	LHPP	annotated	0.0493
clu_22366_-	7	chr10:63217331-63380318	JMJD1C	cryptic	0.0493
clu_51717_-	3	chr2:127064018-127068924	BIN1	annotated	0.0493
clu_61903_+	2	chrX:71167800-71171654	NLGN3	cryptic	0.0493
clu_3295_-	3	chr22:36306607-36309282	MYH9	cryptic	0.05
clu_160569_-	5	chr7:111783952-111788662	DOCK4	annotated	0.05
