gene_id,Chrom,Symbol,logFC,adj.P.Val
ENSG00000178761.15,15,FAM219B,0.070677783479386,0.0257599984152766
ENSG00000204179.10,10,PTPN20,0.354857437758287,0.0262276881300989
ENSG00000180458.2,19,AC022148.1,-0.396401896799285,0.0275073089651343
ENSG00000169836.5,4,TACR3,-0.311785819296468,0.028644423593667
ENSG00000065621.15,10,GSTO2,0.239330059676379,0.0287734364802188
ENSG00000153902.14,19,LGI4,-0.128841532863191,0.0294043380547703
ENSG00000188672.18,1,RHCE,-0.269979914692747,0.0303146626116834
ENSG00000214960.10,7,ISPD,-0.0769543931402975,0.0303146626116834
ENSG00000141682.11,18,PMAIP1,0.573444491335003,0.0303146626116834
ENSG00000140284.11,15,SLC27A2,-0.175035982013468,0.0303146626116834
ENSG00000119547.6,18,ONECUT2,-0.274269434624454,0.0305829003397264
ENSG00000223865.11,6,HLA-DPB1,-0.2899258003005,0.0309664141949936
ENSG00000163701.19,3,IL17RE,-0.23010147498796,0.0312776600592182
ENSG00000114107.9,3,CEP70,-0.0844492219694359,0.0312776600592182
ENSG00000122971.9,12,ACADS,-0.176301219471888,0.0312776600592182
ENSG00000266338.6,1,NBPF15,0.155646532263996,0.0328629644484019
ENSG00000100412.16,22,ACO2,-0.0621637930404345,0.0329982126228852
ENSG00000239883.8,10,PARGP1,-0.156717343303361,0.0331726920567063
ENSG00000169738.7,17,DCXR,-0.142665755444732,0.0371962637354928
ENSG00000109685.18,4,NSD2,0.0414895973680028,0.0384110999830704
ENSG00000164211.13,5,STARD4,0.143358610764165,0.0384110999830704
ENSG00000075429.8,17,CACNG5,-0.210911525435289,0.0384110999830704
ENSG00000134463.15,10,ECHDC3,-0.315428526216899,0.0384110999830704
ENSG00000275340.1,3,FGD5P1,0.239276114094117,0.0384110999830704
ENSG00000214456.8,19,PLIN5,-0.248085285810125,0.0384110999830704
ENSG00000204568.12,6,MRPS18B,-0.0718866422611488,0.0384126289488483
ENSG00000188013.6,17,MEIS3P2,-0.258945754741997,0.039019369037248
ENSG00000177663.13,22,IL17RA,0.16148024075065,0.0405779777300051
ENSG00000138594.14,15,TMOD3,0.072162044736654,0.0406359961271339
ENSG00000105438.9,19,KDELR1,-0.0644420976281103,0.0428725509774717
ENSG00000104267.10,8,CA2,0.211764176433979,0.0429495373058844
ENSG00000197958.13,9,RPL12,-0.0975469824712758,0.0429495373058844
ENSG00000170745.12,2,KCNS3,0.136343019099259,0.0434274337886848
ENSG00000151474.23,10,FRMD4A,0.0734252553803148,0.0439947875385048
ENSG00000117691.10,1,NENF,-0.10035580602204,0.0441128787155268
ENSG00000113211.5,5,PCDHB6,-0.137286603398175,0.0449836060214604
ENSG00000131849.12,19,ZNF132,0.123130360873154,0.0456942972003594
ENSG00000273203.1,22,AC006946.2,0.202607973564185,0.0471448611000441
ENSG00000136485.15,17,DCAF7,0.0593203504007169,0.0475741057098302
