"","module"
"TSPAN6|ENSG00000000003.15","brown"
"PROM1|ENSG00000007062.12","brown"
"CCDC124|ENSG00000007080.11","black"
"CEACAM21|ENSG00000007129.18","grey"
"PAFAH1B1|ENSG00000007168.14","magenta"
"NOS2|ENSG00000007171.19","purple"
"DNAH9|ENSG00000007174.18","purple"
"KIAA0100|ENSG00000007202.15","purple"
"GAS7|ENSG00000007237.19","orange"
"TRAPPC6A|ENSG00000007255.10","turquoise"
"MATK|ENSG00000007264.15","black"
"SCN4A|ENSG00000007314.12","grey"
"ST7L|ENSG00000007341.19","turquoise"
"PAX6|ENSG00000007372.25","lightgreen"
"RPUSD1|ENSG00000007376.8","black"
"RHBDF1|ENSG00000007384.15","tan"
"LUC7L|ENSG00000007392.17","grey"
"CACNA2D2|ENSG00000007402.12","green"
"BAIAP3|ENSG00000007516.14","black"
"TSR3|ENSG00000007520.4","midnightblue"
"PIGQ|ENSG00000007541.17","black"
"CRAMP1|ENSG00000007545.16","cyan"
"TEAD3|ENSG00000007866.22","darkred"
"SELE|ENSG00000007908.16","darkred"
"DNAJC11|ENSG00000007923.17","black"
"FMO3|ENSG00000007933.13","grey"
"MYLIP|ENSG00000007944.15","brown"
"PSMB1|ENSG00000008018.9","blue"
"SYN1|ENSG00000008056.14","green"
"JARID2|ENSG00000008083.14","blue"
"CDKL5|ENSG00000008086.13","yellow"
"CAMK1G|ENSG00000008118.10","purple"
"CDK11A|ENSG00000008128.23","grey"
"NADK|ENSG00000008130.15","royalblue"
"TFAP2D|ENSG00000008197.5","grey"
"DLEC1|ENSG00000008226.20","green"
"CYTH3|ENSG00000008256.16","green"
"ADAM22|ENSG00000008277.15","yellow"
"SYPL1|ENSG00000008282.9","turquoise"
"CYB561|ENSG00000008283.16","black"
"SPAG9|ENSG00000008294.22","turquoise"
"CELSR3|ENSG00000008300.17","green"
"AASS|ENSG00000008311.16","turquoise"
"SS18L2|ENSG00000008324.12","blue"
"MPND|ENSG00000008382.16","black"
"MGST1|ENSG00000008394.13","darkgreen"
"CRY1|ENSG00000008405.12","tan"
"NFIX|ENSG00000008441.19","lightyellow"
"ST3GAL1|ENSG00000008513.16","green"
"MMP25|ENSG00000008516.18","grey"
"IL32|ENSG00000008517.19","grey"
"PKD1|ENSG00000008710.20","black"
"MAPK8IP2|ENSG00000008735.14","green"
"MED24|ENSG00000008838.21","black"
"RHOBTB2|ENSG00000008853.18","green"
"HEATR5B|ENSG00000008869.12","magenta"
"SEC62|ENSG00000008952.17","blue"
"RPS20|ENSG00000008988.11","blue"
"CSDE1|ENSG00000009307.17","midnightblue"
"UBE3C|ENSG00000009335.18","blue"
"REV3L|ENSG00000009413.16","blue"
"TENM1|ENSG00000009694.14","blue"
"PAX7|ENSG00000009709.12","red"
"FAM76A|ENSG00000009780.16","grey"
"TRAF3IP3|ENSG00000009790.15","greenyellow"
"POMT2|ENSG00000009830.13","turquoise"
"VTA1|ENSG00000009844.16","blue"
"MLXIPL|ENSG00000009950.16","green"
"BAZ1B|ENSG00000009954.11","blue"
"RANBP9|ENSG00000010017.13","blue"
"ETV7|ENSG00000010030.14","grey"
"SPRTN|ENSG00000010072.16","turquoise"
"METTL13|ENSG00000010165.20","darkgrey"
"DYRK4|ENSG00000010219.14","salmon"
"ZNF207|ENSG00000010244.19","turquoise"
"UQCRC1|ENSG00000010256.11","blue"
"STARD3NL|ENSG00000010270.14","blue"
"CD9|ENSG00000010278.15","turquoise"
"HHATL|ENSG00000010282.15","turquoise"
"NCAPD2|ENSG00000010292.13","turquoise"
"IFFO1|ENSG00000010295.20","black"
"GIPR|ENSG00000010310.9","turquoise"
"PHF7|ENSG00000010318.22","brown"
"SEMA3G|ENSG00000010319.7","brown"
"NISCH|ENSG00000010322.16","green"
"STAB1|ENSG00000010327.10","greenyellow"
"FUZ|ENSG00000010361.14","turquoise"
"SLC6A13|ENSG00000010379.16","grey"
"IDS|ENSG00000010404.18","blue"
"PRSS3|ENSG00000010438.17","grey60"
"ZNF200|ENSG00000010539.12","grey"
"CD4|ENSG00000010610.10","greenyellow"
"LRRC23|ENSG00000010626.15","grey"
"BTK|ENSG00000010671.18","greenyellow"
"HFE|ENSG00000010704.19","lightgreen"
"SCMH1|ENSG00000010803.17","black"
"FYN|ENSG00000010810.17","blue"
"HIVEP2|ENSG00000010818.10","blue"
"ELOA|ENSG00000011007.13","grey"
"LYPLA2|ENSG00000011009.11","grey60"
"CLCN6|ENSG00000011021.23","orange"
"MRC2|ENSG00000011028.14","turquoise"
"SLC6A7|ENSG00000011083.9","darkturquoise"
"TSPAN9|ENSG00000011105.14","black"
"BTBD7|ENSG00000011114.15","grey"
"APBA3|ENSG00000011132.12","tan"
"MKS1|ENSG00000011143.19","grey"
"ABHD5|ENSG00000011198.10","brown"
"ANOS1|ENSG00000011201.12","blue"
"AKAP8L|ENSG00000011243.19","royalblue"
"MBTD1|ENSG00000011258.16","turquoise"
"UTP18|ENSG00000011260.14","midnightblue"
"RNF216|ENSG00000011275.19","blue"
"TTC19|ENSG00000011295.16","magenta"
"PTBP1|ENSG00000011304.22","tan"
"DPF1|ENSG00000011332.22","black"
"SYT7|ENSG00000011347.10","purple"
"LARS2|ENSG00000011376.12","blue"
"PIK3C2A|ENSG00000011405.14","darkgreen"
"PLAUR|ENSG00000011422.12","darkred"
"ANLN|ENSG00000011426.11","turquoise"
"WIZ|ENSG00000011451.21","black"
"RABGAP1|ENSG00000011454.18","blue"
"DCN|ENSG00000011465.18","grey"
"QPCTL|ENSG00000011478.13","black"
"PPP5C|ENSG00000011485.15","grey60"
"CEP68|ENSG00000011523.14","red"
"MAP4K3|ENSG00000011566.15","magenta"
"TYROBP|ENSG00000011600.12","greenyellow"
"LDAF1|ENSG00000011638.11","magenta"
"GABRA3|ENSG00000011677.13","yellow"
"BRCA1|ENSG00000012048.24","turquoise"
"ERCC1|ENSG00000012061.16","black"
"CD22|ENSG00000012124.17","turquoise"
"SEMA3B|ENSG00000012171.20","turquoise"
"MBTPS2|ENSG00000012174.12","blue"
"PRICKLE3|ENSG00000012211.13","tan"
"LTF|ENSG00000012223.13","tan"
"EXTL3|ENSG00000012232.10","green"
"ELOVL5|ENSG00000012660.14","brown"
"ALOX5|ENSG00000012779.12","greenyellow"
"KDM5D|ENSG00000012817.16","blue"
"CALCOCO1|ENSG00000012822.16","royalblue"
"UBR7|ENSG00000012963.15","magenta"
"MAP4K5|ENSG00000012983.12","turquoise"
"EHD3|ENSG00000013016.16","red"
"PSMC4|ENSG00000013275.8","midnightblue"
"MAN2B2|ENSG00000013288.9","green"
"SLC7A14|ENSG00000013293.6","blue"
"CLDN11|ENSG00000013297.12","turquoise"
"SLC25A39|ENSG00000013306.16","royalblue"
"MVP|ENSG00000013364.19","turquoise"
"NUB1|ENSG00000013374.17","blue"
"PGM3|ENSG00000013375.17","brown"
"RWDD2A|ENSG00000013392.8","yellow"
"CLK1|ENSG00000013441.17","turquoise"
"POLR3B|ENSG00000013503.10","red"
"ANGEL1|ENSG00000013523.11","grey"
"RNF14|ENSG00000013561.18","blue"
"DNASE1L1|ENSG00000013563.14","green"
"DDX11|ENSG00000013573.17","grey"
"HEBP1|ENSG00000013583.10","turquoise"
"GPRC5A|ENSG00000013588.9","darkred"
"MAMLD1|ENSG00000013619.15","green"
"CD6|ENSG00000013725.14","grey"
"TACC3|ENSG00000013810.21","green"
"UFL1|ENSG00000014123.10","brown"
"POLA2|ENSG00000014138.9","turquoise"
"ZC3H3|ENSG00000014164.7","green"
"CAPN1|ENSG00000014216.16","black"
"ACP3|ENSG00000014257.16","greenyellow"
"MDH1|ENSG00000014641.21","magenta"
"SLC30A9|ENSG00000014824.14","blue"
"MTMR11|ENSG00000014914.21","grey"
"COX15|ENSG00000014919.13","grey"
"CCDC88C|ENSG00000015133.20","black"
"YAF2|ENSG00000015153.15","red"
"ZMYND11|ENSG00000015171.20","salmon"
"WAS|ENSG00000015285.12","greenyellow"
"BID|ENSG00000015475.19","blue"
"MATR3|ENSG00000015479.20","blue"
"XYLT2|ENSG00000015532.10","black"
"RGPD5|ENSG00000015568.13","yellow"
"STMN4|ENSG00000015592.17","brown"
"NUDCD3|ENSG00000015676.18","blue"
"CHDH|ENSG00000016391.11","brown"
"IL20RA|ENSG00000016402.14","darkgreen"
"CLCA4|ENSG00000016602.9","turquoise"
"GLT8D1|ENSG00000016864.19","blue"
"ATP2C1|ENSG00000017260.20","blue"
"IGF1|ENSG00000017427.17","yellow"
"SLC38A5|ENSG00000017483.16","brown"
"RALBP1|ENSG00000017797.13","magenta"
"RUFY3|ENSG00000018189.13","blue"
"CNTN1|ENSG00000018236.15","magenta"
"SLC11A1|ENSG00000018280.17","darkred"
"WWTR1|ENSG00000018408.15","tan"
"AGPS|ENSG00000018510.18","salmon"
"ZNF285CP|ENSG00000018607.8","grey"
"STEEP1|ENSG00000018610.15","blue"
"ATP1A2|ENSG00000018625.15","lightgreen"
"TTC27|ENSG00000018699.13","turquoise"
"ZNF582|ENSG00000018869.18","turquoise"
"VSIG2|ENSG00000019102.12","grey"
"PHLDB1|ENSG00000019144.20","turquoise"
"MARCO|ENSG00000019169.11","grey"
"CYP24A1|ENSG00000019186.10","grey"
"PRDM11|ENSG00000019485.14","purple"
"SYT13|ENSG00000019505.8","red"
"SNAI2|ENSG00000019549.13","grey"
"CD74|ENSG00000019582.17","greenyellow"
"HGF|ENSG00000019991.18","grey"
"ZRANB1|ENSG00000019995.6","magenta"
"NCDN|ENSG00000020129.16","purple"
"ADGRA2|ENSG00000020181.18","green"
"ZFP64|ENSG00000020256.20","purple"
"MNAT1|ENSG00000020426.11","grey"
"SAMD4A|ENSG00000020577.14","tan"
"RUNX3|ENSG00000020633.19","grey"
"MRE11|ENSG00000020922.13","turquoise"
"PLEKHB1|ENSG00000021300.14","turquoise"
"SERPINB1|ENSG00000021355.13","tan"
"CYP3A43|ENSG00000021461.18","grey"
"SLC7A9|ENSG00000021488.13","grey"
"SPAST|ENSG00000021574.13","salmon"
"NRXN3|ENSG00000021645.20","red"
"OSBPL5|ENSG00000021762.20","royalblue"
"AQR|ENSG00000021776.11","magenta"
"CPS1|ENSG00000021826.18","turquoise"
"FHL1|ENSG00000022267.19","blue"
"RTF2|ENSG00000022277.13","lightcyan"
"GABRA1|ENSG00000022355.18","yellow"
"NLRP2|ENSG00000022556.16","grey"
"SLC45A4|ENSG00000022567.10","green"
"RNF10|ENSG00000022840.17","cyan"
"ZNF839|ENSG00000022976.16","grey"
"ZDHHC6|ENSG00000023041.12","midnightblue"
"GRAMD1B|ENSG00000023171.20","purple"
"RNH1|ENSG00000023191.17","turquoise"
"NDUFS1|ENSG00000023228.14","magenta"
"RB1CC1|ENSG00000023287.13","blue"
"ERP44|ENSG00000023318.9","blue"
"ALAS1|ENSG00000023330.15","blue"
"BIRC3|ENSG00000023445.16","grey"
"AKAP11|ENSG00000023516.9","red"
"GLRX2|ENSG00000023572.10","magenta"
"SNAPC1|ENSG00000023608.5","grey"
"DERA|ENSG00000023697.13","turquoise"
"STRAP|ENSG00000023734.11","magenta"
"ABCC2|ENSG00000023839.12","turquoise"
"DEF6|ENSG00000023892.12","greenyellow"
"PLEKHO1|ENSG00000023902.14","grey"
"GCLM|ENSG00000023909.10","midnightblue"
"UBR2|ENSG00000024048.11","blue"
"EHD2|ENSG00000024422.12","royalblue"
"DEPDC1|ENSG00000024526.17","yellow"
"CCDC28A|ENSG00000024862.18","blue"
"RRAGD|ENSG00000025039.15","blue"
"HSF2|ENSG00000025156.13","blue"
"PHF20|ENSG00000025293.17","magenta"
"HSD17B6|ENSG00000025423.11","lightgreen"
"NR1H3|ENSG00000025434.19","grey"
"TYMP|ENSG00000025708.14","darkred"
"NCAPH2|ENSG00000025770.19","blue"
"TOMM34|ENSG00000025772.8","red"
"SEC63|ENSG00000025796.14","blue"
"KPNA6|ENSG00000025800.14","red"
"VIM|ENSG00000026025.16","tan"
"RTEL1-TNFRSF6B|ENSG00000026036.23","grey"
"FAS|ENSG00000026103.25","grey"
"RNASET2|ENSG00000026297.17","blue"
"CD44|ENSG00000026508.21","turquoise"
"KCNG1|ENSG00000026559.14","black"
"AGPAT4|ENSG00000026652.15","brown"
"BTN3A1|ENSG00000026950.17","brown"
"MIPEP|ENSG00000027001.10","turquoise"
"PRKCH|ENSG00000027075.17","tan"
"INSRR|ENSG00000027644.5","grey"
"IFNGR1|ENSG00000027697.16","brown"
"B4GALT7|ENSG00000027847.14","green"
"VRK2|ENSG00000028116.18","turquoise"
"TNFRSF1B|ENSG00000028137.19","darkred"
"VEZT|ENSG00000028203.19","magenta"
"POU2F2|ENSG00000028277.22","cyan"
"BRD9|ENSG00000028310.18","blue"
"SNX1|ENSG00000028528.15","turquoise"
"TBPL1|ENSG00000028839.10","yellow"
"ARNTL2|ENSG00000029153.15","red"
"BCLAF1|ENSG00000029363.17","blue"
"SLC39A9|ENSG00000029364.12","midnightblue"
"ANK1|ENSG00000029534.21","green"
"TFB1M|ENSG00000029639.11","blue"
"RABEP1|ENSG00000029725.17","magenta"
"HMGB3|ENSG00000029993.15","blue"
"NUP160|ENSG00000030066.14","turquoise"
"BAK1|ENSG00000030110.14","blue"
"MUSK|ENSG00000030304.15","turquoise"
"IKZF2|ENSG00000030419.17","turquoise"
"GRN|ENSG00000030582.18","royalblue"
"FAM13B|ENSG00000031003.11","blue"
"ARHGAP31|ENSG00000031081.11","brown"
"CENPQ|ENSG00000031691.7","turquoise"
"SARS1|ENSG00000031698.13","midnightblue"
"RANBP3|ENSG00000031823.14","black"
"ARID4A|ENSG00000032219.19","salmon"
"EIPR1|ENSG00000032389.13","grey60"
"PNPLA6|ENSG00000032444.17","cyan"
"IFT88|ENSG00000032742.18","turquoise"
"ALG1|ENSG00000033011.14","grey"
"ZCCHC8|ENSG00000033030.15","grey"
"ABCF2|ENSG00000033050.9","blue"
"CHPF2|ENSG00000033100.17","green"
"LRRC7|ENSG00000033122.21","pink"
"FUT8|ENSG00000033170.17","turquoise"
"UBA6|ENSG00000033178.13","brown"
"GAB2|ENSG00000033327.13","turquoise"
"ATP6V0A1|ENSG00000033627.17","red"
"PIAS1|ENSG00000033800.14","red"
"SLC4A7|ENSG00000033867.17","blue"
"APBA2|ENSG00000034053.15","black"
"MAP2K3|ENSG00000034152.19","grey"
"CLXN|ENSG00000034239.11","grey"
"TMSB10|ENSG00000034510.6","magenta"
"ASTE1|ENSG00000034533.12","brown"
"RNF19A|ENSG00000034677.13","blue"
"PEX3|ENSG00000034693.15","blue"
"GABARAPL2|ENSG00000034713.8","lightcyan"
"SH3YL1|ENSG00000035115.22","grey"
"FAM136A|ENSG00000035141.8","magenta"
"VCL|ENSG00000035403.18","grey"
"DEPDC1B|ENSG00000035499.13","grey"
"DAPK2|ENSG00000035664.11","turquoise"
"NSMAF|ENSG00000035681.9","blue"
"ADSS2|ENSG00000035687.10","salmon"
"TIMP2|ENSG00000035862.12","turquoise"
"RFC1|ENSG00000035928.17","brown"
"TBC1D23|ENSG00000036054.13","blue"
"CUL3|ENSG00000036257.14","magenta"
"MYOM2|ENSG00000036448.10","green"
"OTC|ENSG00000036473.8","grey"
"CYP46A1|ENSG00000036530.9","purple"
"ZZZ3|ENSG00000036549.13","turquoise"
"USP2|ENSG00000036672.16","orange"
"TUBG2|ENSG00000037042.9","black"
"RPL26L1|ENSG00000037241.7","blue"
"FLT4|ENSG00000037280.16","grey"
"NSUN2|ENSG00000037474.15","blue"
"FBXO42|ENSG00000037637.11","purple"
"MFAP3|ENSG00000037749.13","blue"
"MRI1|ENSG00000037757.14","grey"
"METTL1|ENSG00000037897.17","grey"
"AGA|ENSG00000038002.9","turquoise"
"PI4K2B|ENSG00000038210.14","brown"
"BOD1L1|ENSG00000038219.13","blue"
"MAT2B|ENSG00000038274.18","blue"
"TLL1|ENSG00000038295.8","yellow"
"EDC4|ENSG00000038358.15","cyan"
"TRIO|ENSG00000038382.22","green"
"VCAN|ENSG00000038427.16","brown"
"CLEC16A|ENSG00000038532.17","cyan"
"MSR1|ENSG00000038945.15","greenyellow"
"CDH1|ENSG00000039068.20","turquoise"
"MTREX|ENSG00000039123.16","blue"
"DNAH5|ENSG00000039139.11","yellow"
"ZFYVE16|ENSG00000039319.17","brown"
"RIPOR1|ENSG00000039523.20","cyan"
"RAI14|ENSG00000039560.14","turquoise"
"SOX30|ENSG00000039600.11","grey"
"PNKP|ENSG00000039650.12","grey"
"PHLPP2|ENSG00000040199.18","red"
"SPDL1|ENSG00000040275.17","brown"
"STAU2|ENSG00000040341.18","blue"
"SLC66A1|ENSG00000040487.13","grey"
"CTNS|ENSG00000040531.16","turquoise"
"RTN4R|ENSG00000040608.14","darkturquoise"
"PHF23|ENSG00000040633.13","grey60"
"CDH10|ENSG00000040731.10","yellow"
"INPP4A|ENSG00000040933.16","red"
"RAB27B|ENSG00000041353.10","red"
"PSMA4|ENSG00000041357.16","midnightblue"
"MYO16|ENSG00000041515.16","red"
"LSG1|ENSG00000041802.11","blue"
"PARP3|ENSG00000041880.15","blue"
"TNC|ENSG00000041982.16","turquoise"
"THAP3|ENSG00000041988.16","grey"
"RIPOR3|ENSG00000042062.13","grey"
"TDP1|ENSG00000042088.14","grey"
"AIFM2|ENSG00000042286.15","grey"
"SPATA7|ENSG00000042317.17","grey"
"MED17|ENSG00000042429.12","salmon"
"RETSAT|ENSG00000042445.14","turquoise"
"CAPG|ENSG00000042493.16","greenyellow"
"AP2S1|ENSG00000042753.12","grey60"
"USH2A|ENSG00000042781.14","red"
"TG|ENSG00000042832.12","grey"
"ADAM28|ENSG00000042980.14","greenyellow"
"BARX2|ENSG00000043039.7","grey"
"DCUN1D1|ENSG00000043093.15","brown"
"JADE2|ENSG00000043143.22","green"
"ZIC2|ENSG00000043355.12","lightgreen"
"LCP2|ENSG00000043462.13","darkred"
"TRIT1|ENSG00000043514.17","grey"
"ADRB1|ENSG00000043591.6","black"
"CUL7|ENSG00000044090.13","green"
"CTNNA1|ENSG00000044115.21","brown"
"PHKA2|ENSG00000044446.12","brown"
"CNTLN|ENSG00000044459.15","brown"
"EPHA3|ENSG00000044524.11","yellow"
"HSPA5|ENSG00000044574.9","blue"
"DSG2|ENSG00000046604.14","grey"
"GEMIN8|ENSG00000046647.14","brown"
"OFD1|ENSG00000046651.16","brown"
"GPM6B|ENSG00000046653.15","brown"
"PREX2|ENSG00000046889.19","brown"
"WDR37|ENSG00000047056.17","red"
"YTHDC2|ENSG00000047188.16","blue"
"CTPS2|ENSG00000047230.15","brown"
"ATP6V1H|ENSG00000047249.18","blue"
"POLR2B|ENSG00000047315.17","blue"
"FAM214A|ENSG00000047346.13","turquoise"
"ARAP2|ENSG00000047365.13","brown"
"TPR|ENSG00000047410.14","salmon"
"CP|ENSG00000047457.14","darkred"
"KATNIP|ENSG00000047578.14","royalblue"
"DTNBP1|ENSG00000047579.20","green"
"XK|ENSG00000047597.7","yellow"
"ANO2|ENSG00000047617.17","darkred"
"C12orf4|ENSG00000047621.12","red"
"SCML1|ENSG00000047634.15","brown"
"WWC3|ENSG00000047644.20","brown"
"ARHGAP6|ENSG00000047648.23","brown"
"FAM184B|ENSG00000047662.5","blue"
"MAP4|ENSG00000047849.22","blue"
"GOPC|ENSG00000047932.14","blue"
"ROS1|ENSG00000047936.11","yellow"
"USP28|ENSG00000048028.12","pink"
"HDAC9|ENSG00000048052.24","blue"
"TSPAN17|ENSG00000048140.18","darkturquoise"
"NOP16|ENSG00000048162.22","blue"
"CC2D2A|ENSG00000048342.18","blue"
"RRM2B|ENSG00000048392.13","blue"
"ZNF800|ENSG00000048405.11","brown"
"SNX29|ENSG00000048471.14","turquoise"
"LMO3|ENSG00000048540.16","red"
"MRPS10|ENSG00000048544.6","blue"
"GUCA1A|ENSG00000048545.18","grey"
"RSF1|ENSG00000048649.14","salmon"
"VPS13D|ENSG00000048707.15","orange"
"CELF2|ENSG00000048740.19","purple"
"FAM120A|ENSG00000048828.18","blue"
"R3HDM1|ENSG00000048991.17","purple"
"COL9A2|ENSG00000049089.15","turquoise"
"KITLG|ENSG00000049130.16","red"
"ERCC8|ENSG00000049167.16","blue"
"ADAMTS6|ENSG00000049192.15","blue"
"H6PD|ENSG00000049239.13","turquoise"
"VAMP3|ENSG00000049245.13","turquoise"
"PER3|ENSG00000049246.15","grey"
"EPN3|ENSG00000049283.19","purple"
"LTBP1|ENSG00000049323.16","turquoise"
"RCN1|ENSG00000049449.10","grey"
"ELN|ENSG00000049540.19","brown"
"RFC2|ENSG00000049541.11","blue"
"ARID1B|ENSG00000049618.24","blue"
"CLPTM1L|ENSG00000049656.14","blue"
"NEDD4L|ENSG00000049759.20","purple"
"FOXP3|ENSG00000049768.17","grey"
"PPP1R3F|ENSG00000049769.14","blue"
"HEXB|ENSG00000049860.14","blue"
"PTCD2|ENSG00000049883.15","blue"
"NEXMIF|ENSG00000050030.16","yellow"
"JKAMP|ENSG00000050130.18","salmon"
"DKK3|ENSG00000050165.19","red"
