"","module"
"ENSG00000238260.1","grey"
"ENSG00000158109.14","darkorange"
"ENSG00000116213.15","red"
"ENSG00000078900.14","pink"
"ENSG00000227372.11","lightyellow"
"ENSG00000130764.9","turquoise"
"ENSG00000116198.12","brown"
"ENSG00000169598.15","turquoise"
"ENSG00000198912.10","grey"
"ENSG00000236423.5","grey"
"ENSG00000233304.6","skyblue"
"ENSG00000196581.10","greenyellow"
"ENSG00000131697.17","black"
"ENSG00000069424.14","black"
"ENSG00000116254.17","turquoise"
"ENSG00000116251.9","yellow"
"ENSG00000226944.1","turquoise"
"ENSG00000158286.12","turquoise"
"ENSG00000116237.15","grey"
"ENSG00000158292.6","black"
"ENSG00000097021.19","darkorange"
"ENSG00000215788.9","black"
"ENSG00000171680.20","black"
"ENSG00000162408.10","black"
"ENSG00000204859.12","red"
"ENSG00000162413.16","darkred"
"ENSG00000116273.5","grey"
"ENSG00000041988.15","red"
"ENSG00000007923.15","turquoise"
"ENSG00000171735.18","purple"
"ENSG00000237402.1","turquoise"
"ENSG00000270171.1","brown"
"ENSG00000269978.1","brown"
"ENSG00000049245.12","magenta"
"ENSG00000269925.1","grey"
"ENSG00000049246.14","brown"
"ENSG00000116288.12","blue"
"ENSG00000116285.12","grey60"
"ENSG00000162426.14","turquoise"
"ENSG00000142599.17","violet"
"ENSG00000224315.2","brown"
"ENSG00000222511.2","brown"
"ENSG00000228423.2","brown"
"ENSG00000074800.13","black"
"ENSG00000236269.1","grey"
"ENSG00000142583.17","lightcyan"
"ENSG00000180758.11","lightgreen"
"ENSG00000228526.5","grey"
"ENSG00000281937.1","green"
"ENSG00000049239.12","darkgreen"
"ENSG00000171621.13","brown"
"ENSG00000171612.6","tan"
"ENSG00000231181.1","grey"
"ENSG00000188807.12","red"
"ENSG00000171608.15","turquoise"
"ENSG00000171603.16","darkorange"
"ENSG00000178585.14","turquoise"
"ENSG00000162441.11","royalblue"
"ENSG00000173614.13","cyan"
"ENSG00000202415.1","lightyellow"
"ENSG00000162444.11","magenta"
"ENSG00000130939.18","turquoise"
"ENSG00000233623.2","lightyellow"
"ENSG00000054523.17","purple"
"ENSG00000199562.1","grey"
"ENSG00000142657.20","grey"
"ENSG00000175279.21","blue"
"ENSG00000241563.3","green"
"ENSG00000160049.11","brown"
"ENSG00000142655.12","turquoise"
"ENSG00000130940.14","grey60"
"ENSG00000120948.15","yellow"
"ENSG00000271895.2","grey"
"ENSG00000116649.9","turquoise"
"ENSG00000171824.13","lightyellow"
"ENSG00000226849.1","grey"
"ENSG00000198793.12","turquoise"
"ENSG00000120942.13","brown"
"ENSG00000204624.7","paleturquoise"
"ENSG00000116661.9","turquoise"
"ENSG00000132879.13","turquoise"
"ENSG00000116663.10","turquoise"
"ENSG00000116670.14","red"
"ENSG00000162490.6","green"
"ENSG00000177674.15","midnightblue"
"ENSG00000177000.10","turquoise"
"ENSG00000011021.21","turquoise"
"ENSG00000175206.10","darkorange"
"ENSG00000199347.1","yellow"
"ENSG00000116685.15","red"
"ENSG00000083444.16","darkgreen"
"ENSG00000116688.16","turquoise"
"ENSG00000116691.10","red"
"ENSG00000028137.17","grey60"
"ENSG00000048707.13","purple"
"ENSG00000239149.1","grey"
"ENSG00000162496.8","midnightblue"
"ENSG00000157330.9","pink"
"ENSG00000162493.16","grey60"
"ENSG00000116731.22","green"
"ENSG00000189337.16","lightyellow"
"ENSG00000175147.11","grey"
"ENSG00000171729.13","grey"
"ENSG00000142621.19","pink"
"ENSG00000228140.1","grey"
"ENSG00000142634.12","green"
"ENSG00000132906.17","turquoise"
"ENSG00000116138.12","salmon"
"ENSG00000116771.5","purple"
"ENSG00000237301.1","grey"
"ENSG00000235084.3","grey"
"ENSG00000197312.11","blue"
"ENSG00000116786.11","turquoise"
"ENSG00000162461.7","turquoise"
"ENSG00000162458.12","saddlebrown"
"ENSG00000233954.6","darkgrey"
"ENSG00000179743.4","brown"
"ENSG00000065526.10","grey"
"ENSG00000116809.11","red"
"ENSG00000183888.4","grey"
"ENSG00000173641.17","saddlebrown"
"ENSG00000186510.11","lightgreen"
"ENSG00000185519.8","red"
"ENSG00000142627.12","grey60"
"ENSG00000142632.16","midnightblue"
"ENSG00000237276.8","turquoise"
"ENSG00000132881.11","turquoise"
"ENSG00000037637.10","darkgrey"
"ENSG00000055070.16","midnightblue"
"ENSG00000157191.19","midnightblue"
"ENSG00000226029.1","magenta"
"ENSG00000080947.14","red"
"ENSG00000261135.1","grey"
"ENSG00000233421.4","grey"
"ENSG00000219481.10","brown"
"ENSG00000215908.9","red"
"ENSG00000186301.8","grey"
"ENSG00000236698.1","yellow"
"ENSG00000058453.16","darkred"
"ENSG00000207389.1","grey"
"ENSG00000186715.10","grey"
"ENSG00000228549.3","grey"
"ENSG00000238142.1","grey"
"ENSG00000207005.1","grey"
"ENSG00000159363.17","turquoise"
"ENSG00000117118.9","blue"
"ENSG00000117115.12","brown"
"ENSG00000179051.13","grey"
"ENSG00000074964.16","red"
"ENSG00000117154.11","turquoise"
"ENSG00000280222.1","turquoise"
"ENSG00000179023.8","lightgreen"
"ENSG00000009709.11","darkorange"
"ENSG00000159423.16","darkred"
"ENSG00000169991.10","turquoise"
"ENSG00000272084.1","turquoise"
"ENSG00000127481.14","turquoise"
"ENSG00000230424.1","darkgreen"
"ENSG00000127463.13","darkorange"
"ENSG00000053372.4","darkgrey"
"ENSG00000211454.13","grey"
"ENSG00000162482.4","lightgreen"
"ENSG00000053371.12","darkred"
"ENSG00000040487.12","red"
"ENSG00000077549.17","darkturquoise"
"ENSG00000173436.13","blue"
"ENSG00000226396.1","grey"
"ENSG00000158747.13","turquoise"
"ENSG00000158748.3","turquoise"
"ENSG00000162542.13","lightgreen"
"ENSG00000169914.5","purple"
"ENSG00000127472.10","lightgreen"
"ENSG00000225986.1","darkturquoise"
"ENSG00000162543.5","steelblue"
"ENSG00000158816.15","pink"
"ENSG00000236963.6","lightcyan"
"ENSG00000162545.5","skyblue"
"ENSG00000090432.6","grey"
"ENSG00000183114.7","turquoise"
"ENSG00000158828.6","darkgrey"
"ENSG00000117242.7","midnightblue"
"ENSG00000244038.9","darkred"
"ENSG00000117245.12","turquoise"
"ENSG00000189410.11","darkorange"
"ENSG00000127483.17","royalblue"
"ENSG00000075151.20","darkorange"
"ENSG00000221808.1","grey"
"ENSG00000233072.1","grey"
"ENSG00000236073.2","grey"
"ENSG00000117298.14","darkgreen"
"ENSG00000227001.3","grey"
"ENSG00000187952.9","grey"
"ENSG00000142794.18","turquoise"
"ENSG00000162551.13","grey"
"ENSG00000076864.19","turquoise"
"ENSG00000090686.15","yellow"
"ENSG00000187942.11","pink"
"ENSG00000142798.17","saddlebrown"
"ENSG00000218510.6","grey"
"ENSG00000070831.15","yellow"
"ENSG00000230068.2","grey"
"ENSG00000271840.1","grey"
"ENSG00000162552.14","grey"
"ENSG00000184677.16","darkgreen"
"ENSG00000237200.1","grey"
"ENSG00000070886.11","darkred"
"ENSG00000173372.16","lightcyan"
"ENSG00000159189.11","lightcyan"
"ENSG00000173369.15","lightcyan"
"ENSG00000133216.16","black"
"ENSG00000004487.15","salmon"
"ENSG00000169641.13","darkgrey"
"ENSG00000179546.4","green"
"ENSG00000261326.2","tan"
"ENSG00000125944.18","yellow"
"ENSG00000125945.14","orange"
"ENSG00000249087.6","grey"
"ENSG00000204219.9","lightgreen"
"ENSG00000088280.18","midnightblue"
"ENSG00000117318.8","midnightblue"
"ENSG00000142676.12","magenta"
"ENSG00000011007.12","grey"
"ENSG00000236810.5","grey"
"ENSG00000057757.9","purple"
"ENSG00000011009.10","darkred"
"ENSG00000117308.14","turquoise"
"ENSG00000117305.14","midnightblue"
"ENSG00000179163.11","lightgreen"
"ENSG00000189266.11","tan"
"ENSG00000188529.14","yellow"
"ENSG00000185436.11","midnightblue"
"ENSG00000158055.15","grey60"
"ENSG00000001460.17","grey"
"ENSG00000001461.16","brown"
"ENSG00000117602.11","magenta"
"ENSG00000184454.6","magenta"
"ENSG00000133226.16","brown"
"ENSG00000169504.14","magenta"
"ENSG00000020633.18","grey60"
"ENSG00000117614.9","tan"
"ENSG00000117616.17","magenta"
"ENSG00000261349.1","grey"
"ENSG00000224183.1","grey"
"ENSG00000183726.10","yellow"
"ENSG00000188672.17","grey"
"ENSG00000204178.9","yellow"
"ENSG00000157978.11","brown"
"ENSG00000117643.14","darkred"
"ENSG00000162430.16","darkred"
"ENSG00000228172.5","grey"
"ENSG00000117640.17","turquoise"
"ENSG00000127423.10","purple"
"ENSG00000182749.5","grey"
"ENSG00000117632.21","green"
"ENSG00000158006.13","midnightblue"
"ENSG00000158008.9","turquoise"
"ENSG00000175087.9","blue"
"ENSG00000197245.5","grey"
"ENSG00000142684.8","turquoise"
"ENSG00000142675.17","turquoise"
"ENSG00000236155.6","grey"
"ENSG00000130695.13","brown"
"ENSG00000142669.14","turquoise"
"ENSG00000158062.20","darkred"
"ENSG00000169442.8","green"
"ENSG00000117682.16","turquoise"
"ENSG00000225891.1","brown"
"ENSG00000198830.10","tan"
"ENSG00000117676.13","midnightblue"
"ENSG00000117713.18","red"
"ENSG00000060642.10","midnightblue"
"ENSG00000204160.11","turquoise"
"ENSG00000142751.14","grey"
"ENSG00000198746.12","lightyellow"
"ENSG00000090273.13","turquoise"
"ENSG00000253368.3","green"
"ENSG00000158246.7","saddlebrown"
"ENSG00000090020.10","turquoise"
"ENSG00000214973.3","grey"
"ENSG00000142784.15","turquoise"
"ENSG00000243659.1","grey"
"ENSG00000186501.14","red"
"ENSG00000241547.1","grey"
"ENSG00000142765.17","pink"
"ENSG00000142733.14","grey60"
"ENSG00000181773.6","turquoise"
"ENSG00000158195.10","magenta"
"ENSG00000237429.1","black"
"ENSG00000126705.13","turquoise"
"ENSG00000000938.12","grey60"
"ENSG00000235912.1","grey"
"ENSG00000126709.14","steelblue"
"ENSG00000009780.15","yellow"
"ENSG00000230833.1","grey"
"ENSG00000117758.13","blue"
"ENSG00000269971.1","grey"
"ENSG00000270031.1","blue"
"ENSG00000117751.17","yellow"
"ENSG00000252947.1","yellow"
"ENSG00000130775.15","brown"
"ENSG00000117748.9","salmon"
"ENSG00000130768.14","green"
"ENSG00000158156.7","darkgreen"
"ENSG00000158161.15","grey"
"ENSG00000240750.3","grey"
"ENSG00000228589.3","grey"
"ENSG00000169403.11","lightcyan"
"ENSG00000126698.10","blue"
"ENSG00000130770.17","darkgrey"
"ENSG00000270605.1","grey"
"ENSG00000130766.4","turquoise"
"ENSG00000130772.13","grey"
"ENSG00000204138.12","magenta"
"ENSG00000229820.2","grey"
"ENSG00000180198.15","grey"
"ENSG00000242125.3","grey60"
"ENSG00000200087.1","grey"
"ENSG00000180098.9","grey"
"ENSG00000197989.13","tan"
"ENSG00000120656.11","magenta"
"ENSG00000229388.1","brown"
"ENSG00000162419.12","greenyellow"
"ENSG00000198492.15","blue"
"ENSG00000116329.10","skyblue"
"ENSG00000159023.19","magenta"
"ENSG00000253304.1","lightgreen"
"ENSG00000116350.16","cyan"
"ENSG00000116353.15","black"
"ENSG00000060656.19","black"
"ENSG00000186056.9","brown"
"ENSG00000162511.7","lightcyan"
"ENSG00000162512.15","turquoise"
"ENSG00000134644.15","orange"
"ENSG00000084628.9","grey"
"ENSG00000060688.12","magenta"
"ENSG00000229447.2","magenta"
"ENSG00000121766.15","blue"
"ENSG00000229044.1","grey"
"ENSG00000121769.7","darkgrey"
"ENSG00000168528.11","pink"
"ENSG00000142910.15","saddlebrown"
"ENSG00000121764.11","turquoise"
"ENSG00000162517.12","darkgrey"
"ENSG00000084636.17","brown"
"ENSG00000121753.12","black"
"ENSG00000134668.12","grey60"
"ENSG00000269967.1","magenta"
"ENSG00000184007.18","royalblue"
"ENSG00000121774.17","blue"
"ENSG00000121775.17","turquoise"
"ENSG00000025800.13","darkgrey"
"ENSG00000084652.15","darkred"
"ENSG00000160050.14","turquoise"
"ENSG00000224066.1","darkred"
"ENSG00000160051.11","turquoise"
"ENSG00000160055.19","darkred"
"ENSG00000084623.11","grey"
"ENSG00000220785.7","darkgreen"
"ENSG00000182866.16","grey"
"ENSG00000116478.11","midnightblue"
"ENSG00000175130.6","brown"
"ENSG00000162526.6","brown"
"ENSG00000225828.1","darkgreen"
"ENSG00000160058.18","turquoise"
"ENSG00000273274.1","green"
"ENSG00000160062.14","yellow"
"ENSG00000176261.15","yellow"
"ENSG00000162521.18","yellow"
"ENSG00000162520.14","white"
"ENSG00000162522.10","darkred"
"ENSG00000134684.10","black"
"ENSG00000116497.17","magenta"
"ENSG00000160097.15","darkred"
"ENSG00000121905.9","darkturquoise"
"ENSG00000121900.18","red"
"ENSG00000116514.16","darkgrey"
"ENSG00000004455.16","magenta"
"ENSG00000142920.16","lightyellow"
"ENSG00000278997.1","brown"
"ENSG00000116525.13","red"
"ENSG00000279179.1","turquoise"
"ENSG00000160094.14","red"
"ENSG00000270115.1","grey"
"ENSG00000134686.17","darkgreen"
"ENSG00000222112.1","grey"
"ENSG00000121903.14","lightyellow"
"ENSG00000121904.17","turquoise"
"ENSG00000142698.14","grey"
"ENSG00000163866.8","darkgrey"
"ENSG00000189280.3","darkturquoise"
"ENSG00000187513.8","grey60"
"ENSG00000116544.11","black"
"ENSG00000241014.1","grey"
"ENSG00000163867.16","yellow"
"ENSG00000197056.9","tan"
"ENSG00000116560.10","yellow"
"ENSG00000146463.11","blue"
"ENSG00000229994.1","grey"
"ENSG00000142687.17","turquoise"
"ENSG00000020129.15","black"
"ENSG00000116819.6","turquoise"
"ENSG00000126067.11","darkgrey"
"ENSG00000142686.7","darkgrey"
"ENSG00000092853.13","greenyellow"
"ENSG00000134698.10","magenta"
"ENSG00000092847.11","turquoise"
"ENSG00000126070.19","royalblue"
"ENSG00000232862.5","pink"
"ENSG00000092850.11","pink"
"ENSG00000116863.10","darkgreen"
"ENSG00000171812.11","lightgreen"
"ENSG00000054116.11","grey"
"ENSG00000116871.15","red"
"ENSG00000054118.13","grey"
"ENSG00000214193.9","green"
"ENSG00000142694.6","midnightblue"
"ENSG00000116883.8","turquoise"
"ENSG00000196182.10","turquoise"
"ENSG00000181817.5","turquoise"
"ENSG00000116885.18","pink"
"ENSG00000201448.1","blue"
"ENSG00000116898.11","grey"
"ENSG00000119535.17","lightcyan"
"ENSG00000163873.9","green"
"ENSG00000233621.1","magenta"
"ENSG00000163874.9","grey60"
"ENSG00000163875.15","blue"
"ENSG00000263675.1","grey"
"ENSG00000163877.9","blue"
"ENSG00000163879.10","pink"
"ENSG00000134697.12","tan"
"ENSG00000116922.14","blue"
"ENSG00000134690.10","brown"
"ENSG00000183317.16","green"
"ENSG00000185090.14","darkorange"
"ENSG00000196449.3","blue"
"ENSG00000197982.13","grey"
"ENSG00000188786.9","brown"
"ENSG00000204084.12","lightyellow"
"ENSG00000183431.11","blue"
"ENSG00000183386.9","darkgreen"
"ENSG00000183520.11","blue"
"ENSG00000185668.7","darkolivegreen"
"ENSG00000224592.5","darkolivegreen"
"ENSG00000275350.1","greenyellow"
"ENSG00000116954.7","yellow"
"ENSG00000228436.2","lightyellow"
"ENSG00000214114.8","pink"
"ENSG00000158315.10","brown"
"ENSG00000174574.15","blue"
"ENSG00000168653.10","blue"
"ENSG00000127603.23","brown"
"ENSG00000270040.1","yellow"
"ENSG00000183682.7","turquoise"
"ENSG00000237624.1","grey"
"ENSG00000182109.7","lightyellow"
"ENSG00000243970.1","grey"
"ENSG00000090621.13","grey"
"ENSG00000201457.1","grey"
"ENSG00000163909.7","grey"
"ENSG00000116981.3","turquoise"
"ENSG00000116983.12","orange"
"ENSG00000084072.16","grey"
"ENSG00000116985.11","brown"
"ENSG00000198754.5","green"
"ENSG00000043514.15","blue"
"ENSG00000202222.1","grey"
"ENSG00000116990.10","darkturquoise"
"ENSG00000168389.17","grey"
"ENSG00000228477.1","grey"
"ENSG00000131236.16","grey"
"ENSG00000131238.16","blue"
"ENSG00000117000.8","blue"
"ENSG00000259943.1","yellow"
"ENSG00000084073.8","tan"
"ENSG00000049089.13","brown"
"ENSG00000084070.11","darkorange"
"ENSG00000187801.14","darkolivegreen"
"ENSG00000260920.2","darkolivegreen"
"ENSG00000279667.1","black"
"ENSG00000187815.9","grey"
"ENSG00000238287.1","grey"
"ENSG00000164002.11","purple"
"ENSG00000117010.15","tan"
"ENSG00000117016.9","green"
"ENSG00000272145.1","brown"
"ENSG00000066136.20","darkred"
"ENSG00000117013.14","darkred"
"ENSG00000179862.6","grey"
"ENSG00000171793.13","greenyellow"
"ENSG00000281207.1","grey"
"ENSG00000171790.15","grey"
"ENSG00000010803.16","turquoise"
"ENSG00000204060.6","black"
"ENSG00000127124.14","turquoise"
"ENSG00000198815.8","greenyellow"
"ENSG00000177181.14","darkgrey"
"ENSG00000066185.12","pink"
"ENSG00000127125.8","tan"
"ENSG00000186409.14","pink"
"ENSG00000230116.1","pink"
"ENSG00000236876.3","yellow"
"ENSG00000171960.10","purple"
"ENSG00000234917.2","blue"
"ENSG00000065978.18","midnightblue"
"ENSG00000164007.10","lightgreen"
"ENSG00000117385.15","grey"
"ENSG00000164008.14","blue"
"ENSG00000274386.5","grey"
"ENSG00000177868.11","grey"
"ENSG00000164010.13","magenta"
"ENSG00000228192.7","magenta"
"ENSG00000164011.17","lightyellow"
"ENSG00000225099.1","grey"
"ENSG00000117394.19","midnightblue"
"ENSG00000227533.5","pink"
"ENSG00000186973.10","pink"
"ENSG00000117395.11","purple"
"ENSG00000243710.7","pink"
"ENSG00000179178.10","brown"
"ENSG00000066056.13","darkgreen"
"ENSG00000234694.1","brown"
"ENSG00000117399.13","brown"
"ENSG00000066322.13","brown"
"ENSG00000159479.16","darkgrey"
"ENSG00000198198.14","red"
"ENSG00000178922.16","darkgreen"
"ENSG00000229348.1","grey"
"ENSG00000142949.16","green"
"ENSG00000066135.12","turquoise"
"ENSG00000126091.19","turquoise"
"ENSG00000233674.2","grey"
"ENSG00000117407.16","grey"
"ENSG00000237950.1","brown"
"ENSG00000117408.10","red"
"ENSG00000132768.13","turquoise"
"ENSG00000117410.13","grey"
"ENSG00000117411.16","turquoise"
"ENSG00000159214.12","turquoise"
"ENSG00000196517.11","brown"
"ENSG00000230615.6","brown"
"ENSG00000178028.13","turquoise"
"ENSG00000117419.14","darkgrey"
"ENSG00000233602.1","grey"
"ENSG00000187147.17","brown"
"ENSG00000126106.13","turquoise"
"ENSG00000198520.10","pink"
"ENSG00000199377.1","yellow"
"ENSG00000200169.1","tan"
"ENSG00000142945.12","lightgreen"
"ENSG00000142937.11","cyan"
"ENSG00000200913.1","grey"
"ENSG00000142959.4","pink"
"ENSG00000173846.12","grey60"
"ENSG00000222009.8","lightgreen"
"ENSG00000117425.13","turquoise"
"ENSG00000070785.16","blue"
"ENSG00000126107.14","red"
"ENSG00000126088.13","grey"
"ENSG00000162415.6","turquoise"
"ENSG00000281912.1","brown"
"ENSG00000186603.5","grey"
"ENSG00000132781.17","lightyellow"
"ENSG00000132773.11","grey"
"ENSG00000070759.16","brown"
"ENSG00000280670.2","white"
"ENSG00000132763.14","grey"
"ENSG00000117450.13","tan"
"ENSG00000117448.13","midnightblue"
"ENSG00000132780.16","brown"
"ENSG00000159588.14","darkgreen"
"ENSG00000159592.10","royalblue"
"ENSG00000225447.1","magenta"
"ENSG00000234329.1","magenta"
"ENSG00000159596.6","grey"
"ENSG00000197429.10","tan"
"ENSG00000230896.1","grey"
"ENSG00000086015.20","turquoise"
"ENSG00000117461.14","grey"
"ENSG00000117472.9","midnightblue"
"ENSG00000085998.13","red"
"ENSG00000171357.5","lightyellow"
"ENSG00000085999.11","turquoise"
"ENSG00000132128.16","turquoise"
"ENSG00000173660.11","blue"
"ENSG00000117481.10","brown"
"ENSG00000117480.15","darkgreen"
"ENSG00000232022.7","grey"
"ENSG00000282881.1","green"
"ENSG00000162456.9","violet"
"ENSG00000079277.19","grey"
"ENSG00000142961.14","lightcyan"
"ENSG00000123472.12","blue"
"ENSG00000233647.2","grey"
"ENSG00000159658.10","magenta"
"ENSG00000186377.7","purple"
"ENSG00000186160.4","green"
"ENSG00000225506.2","purple"
"ENSG00000162367.11","lightcyan"
"ENSG00000123473.15","salmon"
"ENSG00000162368.13","yellow"
"ENSG00000242267.6","grey"
"ENSG00000272491.1","brown"
"ENSG00000132122.11","magenta"
"ENSG00000224986.2","brown"
"ENSG00000235105.1","grey"
"ENSG00000186094.16","darkorange"
"ENSG00000162373.12","green"
"ENSG00000225623.1","grey"
"ENSG00000237478.2","turquoise"
"ENSG00000162374.16","purple"
"ENSG00000142700.11","brown"
"ENSG00000185104.19","blue"
"ENSG00000123080.10","magenta"
"ENSG00000203356.2","grey"
"ENSG00000123091.4","blue"
"ENSG00000085831.15","green"
"ENSG00000085832.16","blue"
"ENSG00000117859.18","magenta"
"ENSG00000078618.20","blue"
"ENSG00000266993.3","magenta"
"ENSG00000169213.6","purple"
"ENSG00000117862.11","yellow"
"ENSG00000198841.3","greenyellow"
"ENSG00000134717.17","blue"
"ENSG00000157077.14","blue"
"ENSG00000224255.2","grey"
"ENSG00000213735.2","grey"
"ENSG00000154222.14","darkgreen"
"ENSG00000085840.12","grey"
"ENSG00000134748.12","tan"
"ENSG00000134744.13","yellow"
"ENSG00000116157.5","lightgreen"
"ENSG00000182183.14","lightcyan"
"ENSG00000162377.5","purple"
"ENSG00000162378.12","blue"
"ENSG00000228929.1","tan"
"ENSG00000121310.16","lightgreen"
"ENSG00000116171.16","tan"
"ENSG00000236360.2","grey"
"ENSG00000174348.13","saddlebrown"
"ENSG00000162383.11","grey"
"ENSG00000157184.6","midnightblue"
"ENSG00000236723.2","grey"
"ENSG00000162384.13","brown"
"ENSG00000162385.10","yellow"
"ENSG00000226754.1","brown"
"ENSG00000157193.15","green"
"ENSG00000225675.2","green"
"ENSG00000174332.5","turquoise"
"ENSG00000058804.11","blue"
"ENSG00000058799.13","grey"
"ENSG00000081870.11","yellow"
"ENSG00000116212.14","grey"
"ENSG00000116209.11","cyan"
"ENSG00000280378.1","brown"
"ENSG00000116205.11","magenta"
"ENSG00000215883.10","darkgreen"
"ENSG00000116221.15","darkred"
"ENSG00000157216.15","green"
"ENSG00000162390.17","pink"
"ENSG00000184313.19","pink"
"ENSG00000271723.5","grey"
"ENSG00000243725.6","grey"
"ENSG00000162396.5","darkred"
"ENSG00000006555.10","darkred"
"ENSG00000116133.11","darkturquoise"
"ENSG00000143001.4","grey"
"ENSG00000169174.10","green"
"ENSG00000162402.13","yellow"
"ENSG00000234810.2","pink"
"ENSG00000162407.8","white"
"ENSG00000162409.10","blue"
"ENSG00000187889.12","lightgreen"
"ENSG00000173406.15","greenyellow"
"ENSG00000236888.1","greenyellow"
"ENSG00000229887.4","black"
"ENSG00000223416.3","black"
"ENSG00000233216.1","black"
"ENSG00000162600.11","tan"
"ENSG00000185839.3","grey"
"ENSG00000162601.9","yellow"
"ENSG00000283445.1","orange"
"ENSG00000177606.6","grey"
"ENSG00000234807.5","lightyellow"
"ENSG00000232453.6","grey"
"ENSG00000237352.3","skyblue"
"ENSG00000172456.17","cyan"
"ENSG00000134709.10","blue"
"ENSG00000134716.9","brown"
"ENSG00000162598.13","pink"
"ENSG00000226476.3","darkmagenta"
"ENSG00000231252.2","white"
"ENSG00000162599.15","white"
"ENSG00000237928.5","white"
"ENSG00000270742.1","midnightblue"
"ENSG00000162604.12","yellow"
"ENSG00000271200.1","grey"
"ENSG00000132849.19","lightgreen"
"ENSG00000132854.18","brown"
"ENSG00000162607.12","yellow"
"ENSG00000116641.17","white"
"ENSG00000213703.2","grey"
"ENSG00000235545.1","grey"
"ENSG00000125703.14","royalblue"
"ENSG00000088035.15","yellow"
"ENSG00000142856.16","grey"
"ENSG00000203965.12","blue"
"ENSG00000116652.6","grey"
"ENSG00000079739.15","lightgreen"
"ENSG00000185483.11","midnightblue"
"ENSG00000158966.13","pink"
"ENSG00000162437.14","greenyellow"
"ENSG00000162434.11","grey"
"ENSG00000226891.7","grey"
"ENSG00000185031.6","grey"
"ENSG00000272506.1","grey"
"ENSG00000212257.1","grey"
"ENSG00000265996.1","brown"
"ENSG00000231485.1","grey"
"ENSG00000162433.14","darkmagenta"
"ENSG00000116675.15","purple"
"ENSG00000213625.8","cyan"
"ENSG00000116678.18","lightgreen"
"ENSG00000184588.17","brown"
"ENSG00000118473.21","salmon"
"ENSG00000264720.3","blue"
"ENSG00000152760.9","pink"
"ENSG00000152763.16","pink"
"ENSG00000198160.14","yellow"
"ENSG00000116704.7","cyan"
"ENSG00000203963.11","pink"
"ENSG00000275678.1","pink"
