,Length,gencodeID,ensemblID,gene_type,Symbol,EntrezID,Class,meanExprs,NumTx,gencodeTx,logFC,AveExpr,t,P.Value,adj.P.Val,B,SE,Permutation
ENSG00000280237.2,5164,ENSG00000280237.2,ENSG00000280237,TEC,MIR4697HG,283174.0,InGen,1.32879460220379,2,ENST00000624667.1|ENST00000582977.1,0.400694742742545,3.42219946352892,4.45629857165324,1.98840247665273e-05,0.0408797472813651,2.62179242303983,0.0899164937671336,02
ENSG00000278982.1,1869,ENSG00000278982.1,ENSG00000278982,TEC,,,InGen,0.0972206287344873,1,ENST00000623134.1,-0.836075454492831,-1.6415077847109,-4.38818244033148,2.60022063273204e-05,0.0490033246743626,1.7221653468204,0.190528872912968,02
ENSG00000157303.10,1263,ENSG00000157303.10,ENSG00000157303,protein_coding,SUSD3,203328.0,InGen,0.364104255328971,5,ENST00000617293.4|ENST00000375472.7|ENST00000465709.5|ENST00000375469.5|ENST00000471462.2,-0.954137014179377,-0.311499868095082,-5.74277971080094,8.07094077035787e-08,0.0015612014992499,6.9961636606625,0.166145501347518,04
ENSG00000107099.15,13784,ENSG00000107099.15,ENSG00000107099,protein_coding,DOCK8,81704.0,InGen,0.784014064780339,17,ENST00000469197.5|ENST00000524396.5|ENST00000432829.6|ENST00000454469.6|ENST00000479404.5|ENST00000453981.5|ENST00000487230.5|ENST00000382341.5|ENST00000483757.5|ENST00000478380.5|ENST00000469391.5|ENST00000495184.5|ENST00000474772.1|ENST00000382331.5|ENST00000382329.1|ENST00000493666.2|ENST00000462618.1,-0.625888554788129,4.34396708304098,-5.58113849774708,1.67910229790149e-07,0.0015612014992499,7.05100461116015,0.112143526816398,04
ENSG00000164010.13,4631,ENSG00000164010.13,ENSG00000164010,protein_coding,ERMAP,114625.0,InGen,0.746901100076408,5,ENST00000487556.5|ENST00000372517.6|ENST00000470938.1|ENST00000372514.7|ENST00000328249.3,-0.264953109743526,2.81354896571964,-5.51031911743123,2.30680113921802e-07,0.0015612014992499,6.73069758242287,0.048083079055327,04
ENSG00000197629.5,4442,ENSG00000197629.5,ENSG00000197629,protein_coding,MPEG1,219972.0,InGen,0.521079047288296,1,ENST00000361050.3,-0.847825329403299,1.9611289758747,-5.46964668490925,2.76575844678675e-07,0.0015612014992499,6.4859056391784,0.155005501862204,04
ENSG00000128815.18,11146,ENSG00000128815.18,ENSG00000128815,protein_coding,WDFY4,,InGen,0.0400941638022126,6,ENST00000360890.6|ENST00000374161.7|ENST00000265453.7|ENST00000465910.5|ENST00000497480.1|ENST00000490507.1,-0.615275122077567,-0.220932771237394,-4.97025012264242,2.41782049354429e-06,0.0104842538237636,4.18897135388951,0.123791581287756,04
ENSG00000168329.13,3655,ENSG00000168329.13,ENSG00000168329,protein_coding,CX3CR1,1524.0,InGen,3.15725644770071,6,ENST00000399220.2|ENST00000542107.5|ENST00000541347.5|ENST00000358309.3|ENST00000435290.1|ENST00000412814.1,-1.01889815167172,4.18692591026243,-4.88374394189729,3.47829080919977e-06,0.0104842538237636,4.21313767971423,0.208630543245863,04
ENSG00000095585.16,3655,ENSG00000095585.16,ENSG00000095585,protein_coding,BLNK,29760.0,InGen,0.58055513715628,9,ENST00000224337.9|ENST00000371176.6|ENST00000413476.6|ENST00000427367.6|ENST00000485193.1|ENST00000467799.6|ENST00000468252.1|ENST00000472763.1|ENST00000495266.1,-0.734413615487693,2.05584387103465,-4.87986614529398,3.53515417439844e-06,0.0104842538237636,4.18623608041544,0.150498721403648,04
ENSG00000197943.9,13416,ENSG00000197943.9,ENSG00000197943,protein_coding,PLCG2,5336.0,InGen,0.249866338918172,17,ENST00000565054.5|ENST00000564138.5|ENST00000569929.5|ENST00000567980.5|ENST00000359376.7|ENST00000565400.5|ENST00000569523.1|ENST00000565020.1|ENST00000563193.1|ENST00000562605.5|ENST00000563375.1|ENST00000570198.1|ENST00000570196.1|ENST00000563269.1|ENST00000567373.5|ENST00000563834.1|ENST00000567356.1,-0.447132945603306,2.73744689660642,-4.79982366196483,4.93223227156606e-06,0.0104842538237636,3.90439755487921,0.0931561192854883,04
ENSG00000173391.8,3057,ENSG00000173391.8,ENSG00000173391,protein_coding,OLR1,4973.0,InGen,1.44064545886787,11,ENST00000309539.7|ENST00000544577.5|ENST00000543993.5|ENST00000545927.5|ENST00000432556.6|ENST00000536989.1|ENST00000539518.5|ENST00000538745.5|ENST00000339968.6|ENST00000538873.1|ENST00000543414.1,-0.946663824080086,2.72425245232421,-4.79687126936647,4.99288557299352e-06,0.0104842538237636,3.89163446616183,0.19735026664685,04
ENSG00000163219.11,5452,ENSG00000163219.11,ENSG00000163219,protein_coding,ARHGAP25,9938.0,InGen,0.296589880225415,17,ENST00000463483.5|ENST00000481684.5|ENST00000491237.5|ENST00000409202.7|ENST00000456116.6|ENST00000467265.5|ENST00000485573.5|ENST00000488795.1|ENST00000463061.1|ENST00000485700.5|ENST00000496266.1|ENST00000409030.7|ENST00000409220.5|ENST00000473986.1|ENST00000497079.5|ENST00000497259.5|ENST00000479844.1,-0.493675081227073,1.64816427646817,-4.79304251865593,5.07262132963042e-06,0.0104842538237636,3.83795871017557,0.102998268700005,04
ENSG00000110934.10,4010,ENSG00000110934.10,ENSG00000110934,protein_coding,BIN2,51411.0,InGen,0.401411172784461,10,ENST00000604560.5|ENST00000452142.6|ENST00000605039.5|ENST00000615107.4|ENST00000544402.5|ENST00000603177.5|ENST00000605819.1|ENST00000605423.1|ENST00000603260.1|ENST00000604702.1,-0.649781713818759,1.59047845404166,-4.77920496668177,5.37122783993137e-06,0.0104842538237636,3.78089741545029,0.135960210610073,04
ENSG00000136250.11,3510,ENSG00000136250.11,ENSG00000136250,protein_coding,AOAH,313.0,InGen,0.661128247211593,12,ENST00000612871.4|ENST00000617537.4|ENST00000621510.1|ENST00000617267.4|ENST00000614254.1|ENST00000491444.5|ENST00000487014.5|ENST00000495942.5|ENST00000480201.1|ENST00000543742.1|ENST00000435386.1|ENST00000414637.1,-0.477663713929497,2.1920856388668,-4.76968614799384,5.58646556647014e-06,0.0104842538237636,3.77933210103418,0.100145732676857,04
ENSG00000269386.5,1156,ENSG00000269386.5,ENSG00000269386,antisense,RAB11B-AS1,100507567.0,InGen,0.750850168020325,3,ENST00000597785.1|ENST00000593581.5|ENST00000597407.1,-0.432092946981119,0.755426784349761,-4.73570390928811,6.42524598615724e-06,0.0104842538237636,3.54363576534145,0.0912415461899247,04
ENSG00000140678.16,7074,ENSG00000140678.16,ENSG00000140678,protein_coding,ITGAX,3687.0,InGen,0.787451692904894,7,ENST00000564308.1|ENST00000268296.8|ENST00000562918.5|ENST00000567409.1|ENST00000562522.2|ENST00000571644.1|ENST00000562138.1,-0.706213041469591,3.35981568134471,-4.71531632510077,6.98577072739054e-06,0.0104842538237636,3.57969060235826,0.149770024486003,04
ENSG00000138449.10,4330,ENSG00000138449.10,ENSG00000138449,protein_coding,SLC40A1,30061.0,InGen,1.29709660069059,7,ENST00000261024.6|ENST00000427241.5|ENST00000479598.5|ENST00000418714.1|ENST00000455320.5|ENST00000427419.5|ENST00000440626.1,-0.353240248778441,3.37749766067096,-4.70921229791859,7.16261683770675e-06,0.0104842538237636,3.55414474290656,0.0750104744554771,04
ENSG00000271605.5,1816,ENSG00000271605.5,ENSG00000271605,protein_coding,MILR1,284021.0,InGen,0.569172740790359,7,ENST00000615220.4|ENST00000619286.4|ENST00000617071.4|ENST00000612535.4|ENST00000616498.4|ENST00000620304.4|ENST00000605096.1,-0.658140332696497,0.933972427281244,-4.70027543928762,7.4293839931006e-06,0.0104842538237636,3.43203386962277,0.1400216521771,04
ENSG00000159618.15,5852,ENSG00000159618.15,ENSG00000159618,protein_coding,ADGRG5,221188.0,InGen,0.0414774543383113,7,ENST00000349457.7|ENST00000564983.5|ENST00000394361.8|ENST00000564607.1|ENST00000615867.4|ENST00000340339.4|ENST00000569839.1,-0.77200093963656,-1.19651869158,-4.64698833208202,9.23145897135069e-06,0.0119512756902541,2.77678283677082,0.166129304501756,04
ENSG00000066294.14,9255,ENSG00000066294.14,ENSG00000066294,protein_coding,CD84,8832.0,InGen,0.393144129995258,8,ENST00000534968.5|ENST00000368054.7|ENST00000466767.1|ENST00000311224.8|ENST00000368048.7|ENST00000368051.3|ENST00000360056.7|ENST00000368047.3,-0.705648009335637,2.67043564643508,-4.62901044833684,9.92990338187351e-06,0.0119512756902541,3.26297703774577,0.152440357871556,04
ENSG00000140749.8,3532,ENSG00000140749.8,ENSG00000140749,protein_coding,IGSF6,10261.0,InGen,0.398234902611107,3,ENST00000268389.5|ENST00000569602.1|ENST00000565499.1,-0.80087816197735,1.26007879959886,-4.62587416139642,1.00568775461636e-05,0.0119512756902541,3.19411849227454,0.17313012287727,04
ENSG00000134955.11,6371,ENSG00000134955.11,ENSG00000134955,protein_coding,SLC37A2,219855.0,InGen,0.139849211814215,6,ENST00000403796.6|ENST00000532000.5|ENST00000526405.5|ENST00000308074.4|ENST00000525837.5|ENST00000354617.5,-0.636577098801979,0.716558270764412,-4.60215391673008,1.106941042242e-05,0.0121256281758375,3.05684002376254,0.13832155775752,04
ENSG00000184060.10,3750,ENSG00000184060.10,ENSG00000184060,protein_coding,ADAP2,55803.0,InGen,0.787056991826996,11,ENST00000583688.1|ENST00000585130.5|ENST00000330889.7|ENST00000581548.5|ENST00000580525.5|ENST00000581285.5|ENST00000580526.1|ENST00000584828.5|ENST00000584989.1|ENST00000480980.1|ENST00000470962.1,-0.45255468940686,2.49698657234657,-4.59753674179717,1.1277655861313e-05,0.0121256281758375,3.14644840878781,0.0984341648197372,04
ENSG00000009790.14,7750,ENSG00000009790.14,ENSG00000009790,protein_coding,TRAF3IP3,80342.0,InGen,0.114563360242284,16,ENST00000400959.7|ENST00000367025.7|ENST00000478359.5|ENST00000479796.5|ENST00000468672.5|ENST00000367026.7|ENST00000367024.5|ENST00000367023.5|ENST00000476050.5|ENST00000487271.5|ENST00000474496.5|ENST00000477431.1|ENST00000488702.1|ENST00000471368.1|ENST00000460314.1|ENST00000467830.1,-0.570466276686695,0.77200551619979,-4.56645069861053,1.27816558043152e-05,0.0126044287034822,2.93921552060568,0.124925530644681,04
ENSG00000163106.10,2111,ENSG00000163106.10,ENSG00000163106,protein_coding,HPGDS,27306.0,InGen,0.288262817490883,3,ENST00000295256.9|ENST00000514774.1|ENST00000506331.1,-0.816465601393899,-0.007064669538512,-4.56532810142816,1.28394463962128e-05,0.0126044287034822,2.81535462340602,0.178840508996163,04
ENSG00000169413.2,1061,ENSG00000169413.2,ENSG00000169413,protein_coding,RNASE6,6039.0,InGen,0.798457935788581,1,ENST00000304677.2,-0.672361896340941,0.54117078294745,-4.49209853308309,1.72072206563023e-05,0.0158041029561093,2.65376225769202,0.149676569066591,04
ENSG00000280560.1,415,ENSG00000280560.1,ENSG00000280560,lincRNA,LINC01374,,InGen,0.393725234715974,1,ENST00000629067.1,-0.659106373615735,-1.63868755647652,-4.48787574782415,1.74986746048422e-05,0.0158041029561093,2.14447145498413,0.146863774901809,04
ENSG00000228058.1,654,ENSG00000228058.1,ENSG00000228058,lincRNA,,101927532.0,InGen,0.834834666123978,1,ENST00000445339.1,-0.811998233785689,-0.0847444935392453,-4.4457441398335,2.06800286730837e-05,0.0179590141311368,2.40425348608408,0.182646191108987,04
ENSG00000181631.6,2764,ENSG00000181631.6,ENSG00000181631,protein_coding,P2RY13,53829.0,InGen,0.993705757560621,1,ENST00000325602.5,-0.848300540183733,2.15198883156317,-4.41607082838014,2.32482742028265e-05,0.0194415845639118,2.48716880729339,0.192093961612227,04
ENSG00000110876.9,2494,ENSG00000110876.9,ENSG00000110876,protein_coding,SELPLG,6404.0,InGen,1.44450738179548,3,ENST00000550948.1|ENST00000388962.4|ENST00000228463.6,-0.622447157562542,2.71776872222499,-4.38649627224534,2.61126032084596e-05,0.0210570167087075,2.37930555356411,0.141900760636901,04
ENSG00000164691.16,4089,ENSG00000164691.16,ENSG00000164691,protein_coding,TAGAP,117289.0,InGen,0.273008004913612,3,ENST00000367066.7|ENST00000326965.6|ENST00000338313.5,-0.682326541561559,1.05485348279291,-4.37208966804027,2.7628271219026e-05,0.0215109908915306,2.28736360484546,0.156064169165909,04
ENSG00000247774.6,3092,ENSG00000247774.6,ENSG00000247774,processed_transcript,PCED1B-AS1,100233209.0,InGen,0.157591838721758,11,ENST00000547626.5|ENST00000550426.5|ENST00000552269.5|ENST00000547600.5|ENST00000551432.5|ENST00000551898.1|ENST00000552990.5|ENST00000548222.5|ENST00000552975.5|ENST00000547851.1|ENST00000500365.2,-0.664123759298276,-0.142581841438681,-4.33205522006206,3.2298406378104e-05,0.024308857253707,2.02527150492893,0.15330454612459,04
ENSG00000186818.12,6328,ENSG00000186818.12,ENSG00000186818,protein_coding,LILRB4,11006.0,InGen,0.302972393908577,10,ENST00000461839.1|ENST00000270452.6|ENST00000391736.5|ENST00000494796.5|ENST00000430952.6|ENST00000391734.7|ENST00000391733.7|ENST00000434286.1|ENST00000470943.1|ENST00000461262.1,-0.715927305093574,1.78647148964574,-4.30134281439775,3.6387199460132e-05,0.0265027927938813,2.07839938514073,0.166442744971913,04
ENSG00000166428.12,6874,ENSG00000166428.12,ENSG00000166428,protein_coding,PLD4,122618.0,InGen,0.241325485895303,6,ENST00000540372.5|ENST00000392593.8|ENST00000557573.1|ENST00000472901.1|ENST00000472702.1|ENST00000553861.1,-0.688013159232299,1.51907525967956,-4.28506440911874,3.8751857505835e-05,0.0273430684570078,2.0154142312958,0.160560750911512,04
ENSG00000205784.2,1638,ENSG00000205784.2,ENSG00000205784,protein_coding,ARRDC5,645432.0,InGen,0.0948643947646474,1,ENST00000381781.2,-0.775903506913043,-1.8109227410397,-4.26372331907022,4.20766430459399e-05,0.0282363080427436,1.39907691364011,0.181977921372778,04
ENSG00000187912.11,2238,ENSG00000187912.11,ENSG00000187912,protein_coding,CLEC17A,388512.0,InGen,0.110076490510678,4,ENST00000547437.5|ENST00000339847.9|ENST00000417570.5|ENST00000551730.1,-0.905154100859592,-1.22371453528343,-4.25302628999333,4.38447025197522e-05,0.0282363080427436,1.52732637447772,0.212825888941545,04
ENSG00000159733.13,9624,ENSG00000159733.13,ENSG00000159733,protein_coding,ZFYVE28,57732.0,InGen,0.819641514681461,11,ENST00000508471.5|ENST00000290974.6|ENST00000511071.5|ENST00000515312.5|ENST00000514248.1|ENST00000515169.5|ENST00000509171.5|ENST00000503000.1|ENST00000508184.5|ENST00000504743.1|ENST00000505421.1,0.297026995080959,3.97137518243892,4.24684178991962,4.48992588062183e-05,0.0282363080427436,1.82724100860198,0.0699406782202218,04
ENSG00000053108.16,6734,ENSG00000053108.16,ENSG00000053108,protein_coding,FSTL4,23105.0,InGen,0.503851262323588,7,ENST00000265342.11|ENST00000509525.5|ENST00000621681.4|ENST00000511375.1|ENST00000507112.1|ENST00000514998.1|ENST00000510685.1,0.882336825869579,2.36750840756665,4.24035366276326,4.60317738177175e-05,0.0282363080427436,1.86440640013594,0.208080951741794,04
ENSG00000095015.5,7716,ENSG00000095015.5,ENSG00000095015,protein_coding,MAP3K1,4214.0,InGen,1.30423671613997,2,ENST00000399503.3|ENST00000469188.1,-0.215441086768302,4.24651631826792,-4.23900516052933,4.62705787493473e-05,0.0282363080427436,1.79317442581052,0.0508235018853808,04
ENSG00000265996.1,88,ENSG00000265996.1,ENSG00000265996,miRNA,MIR3671,100500854.0,InGen,2.7422557817618,1,ENST00000580455.1,-0.741289840140575,-1.36747435718088,-4.23006504605453,4.7884145432171e-05,0.0284520031503418,1.43969502755664,0.175243130323017,04
ENSG00000100055.20,6161,ENSG00000100055.20,ENSG00000100055,protein_coding,CYTH4,27128.0,InGen,0.470940519262433,11,ENST00000457992.5|ENST00000248901.10|ENST00000402997.5|ENST00000405206.3|ENST00000469886.5|ENST00000462927.5|ENST00000480510.5|ENST00000439667.1|ENST00000467664.1|ENST00000447919.1|ENST00000446506.1,-0.521781594768379,2.42838066986083,-4.21172786097657,5.13645596036248e-05,0.0292695829452641,1.76953698592942,0.123887775276961,04
ENSG00000122966.14,13230,ENSG00000122966.14,ENSG00000122966,protein_coding,CIT,11113.0,InGen,3.23668127706769,20,ENST00000392521.6|ENST00000261833.11|ENST00000545913.5|ENST00000612548.4|ENST00000392520.2|ENST00000537607.5|ENST00000544872.1|ENST00000469414.1|ENST00000538073.5|ENST00000543324.1|ENST00000544800.1|ENST00000543239.1|ENST00000536008.1|ENST00000408396.1|ENST00000544588.1|ENST00000536325.1|ENST00000546026.1|ENST00000541841.1|ENST00000488203.1|ENST00000539413.1,0.39658823676501,6.37789636511465,4.20925172105272,5.18527533464973e-05,0.0292695829452641,1.66709374313835,0.0942182276202346,04
ENSG00000042980.12,9351,ENSG00000042980.12,ENSG00000042980,protein_coding,ADAM28,10863.0,InGen,0.690309738527581,12,ENST00000265769.8|ENST00000523379.5|ENST00000520448.5|ENST00000437154.6|ENST00000523440.1|ENST00000518516.5|ENST00000521110.1|ENST00000521629.5|ENST00000523236.5|ENST00000518326.1|ENST00000520665.1|ENST00000518737.1,-0.667263265315464,3.52736161990549,-4.20062205762193,5.35892335071338e-05,0.0295119830087213,1.69452884529434,0.158848679115211,04
ENSG00000138185.17,6975,ENSG00000138185.17,ENSG00000138185,protein_coding,ENTPD1,953.0,InGen,0.628956610558326,12,ENST00000453258.6|ENST00000371207.8|ENST00000635677.1|ENST00000543964.6|ENST00000371205.4|ENST00000483213.6|ENST00000635076.1|ENST00000371206.6|ENST00000490659.5|ENST00000494070.1|ENST00000461927.1|ENST00000422161.2,-0.374935121998101,3.08112347623877,-4.17652225590733,5.87393566279434e-05,0.0315779984119603,1.62594503554708,0.0897720876424848,04
ENSG00000169313.9,1859,ENSG00000169313.9,ENSG00000169313,protein_coding,P2RY12,64805.0,InGen,5.22459104940202,2,ENST00000302632.3|ENST00000468596.1,-0.891837786924779,3.88310860774682,-4.15952948742023,6.26527543231878e-05,0.0328985241828665,1.53783068069922,0.214408333832465,04
ENSG00000232591.1,557,ENSG00000232591.1,ENSG00000232591,lincRNA,,,InGen,0.270879612066973,1,ENST00000420395.1,-1.12187685026132,-2.21478596296318,-4.14703614877057,6.56882139090493e-05,0.0331866841086981,0.974138966830698,0.270524974949618,04
ENSG00000283652.1,9555,ENSG00000283652.1,ENSG00000283652,protein_coding,WDFY4,57705.0,InGen,0.11590281349528,1,ENST00000325239.10,-0.512022861368836,1.06357407110199,-4.14521964585348,6.61411393281995e-05,0.0331866841086981,1.52645219020569,0.123521285990483,04
ENSG00000139679.15,4348,ENSG00000139679.15,ENSG00000139679,protein_coding,LPAR6,10161.0,InGen,1.10845054679685,9,ENST00000465365.6|ENST00000464486.5|ENST00000481832.5|ENST00000462781.5|ENST00000470937.1|ENST00000378434.8|ENST00000620633.4|ENST00000345941.2|ENST00000482024.1,-0.499489705219,3.217744693175,-4.12504768378581,7.13763448901338e-05,0.0346638499835533,1.44306278487519,0.121087013656188,04
ENSG00000171659.13,1928,ENSG00000171659.13,ENSG00000171659,protein_coding,GPR34,2857.0,InGen,1.95799475983986,3,ENST00000378142.8|ENST00000378138.5|ENST00000620846.1,-0.740084978892598,2.64527854482203,-4.1169607257633,7.35847695005525e-05,0.0346638499835533,1.43988696204046,0.179764886815961,04
ENSG00000087253.12,7439,ENSG00000087253.12,ENSG00000087253,protein_coding,LPCAT2,54947.0,InGen,0.968662557067325,8,ENST00000262134.9|ENST00000566911.1|ENST00000564084.1|ENST00000566915.5|ENST00000563095.5|ENST00000566375.1|ENST00000565056.1|ENST00000562299.1,-0.493819699049413,3.86012359690177,-4.11323289207042,7.46246962121993e-05,0.0346638499835533,1.37326767396016,0.120056343029204,04
ENSG00000075884.12,7743,ENSG00000075884.12,ENSG00000075884,protein_coding,ARHGAP15,55843.0,InGen,0.166622036366918,14,ENST00000409869.5|ENST00000295095.10|ENST00000552641.5|ENST00000460776.5|ENST00000474474.5|ENST00000469117.5|ENST00000548800.1|ENST00000548242.5|ENST00000548929.1|ENST00000552289.1|ENST00000549436.5|ENST00000419455.1|ENST00000473426.1|ENST00000549060.1,-0.467989303610195,1.29798837370179,-4.11109991969624,7.52260352183052e-05,0.0346638499835533,1.42156637139523,0.113835545900518,04
ENSG00000059377.15,6271,ENSG00000059377.15,ENSG00000059377,protein_coding,TBXAS1,6916.0,InGen,0.36538898626349,22,ENST00000493340.5|ENST00000462053.5|ENST00000473948.6|ENST00000425687.5|ENST00000263552.10|ENST00000416849.6|ENST00000474763.5|ENST00000481440.5|ENST00000438104.5|ENST00000336425.9|ENST00000414508.6|ENST00000448866.5|ENST00000422328.5|ENST00000492560.6|ENST00000455353.5|ENST00000458722.5|ENST00000411653.5|ENST00000476637.5|ENST00000462275.5|ENST00000414041.1|ENST00000469630.1|ENST00000494876.1,-0.47491467700928,2.13335174603069,-4.09586383068487,7.96585191300474e-05,0.0346973424467454,1.37802823646477,0.115949820756094,04
ENSG00000038002.8,2675,ENSG00000038002.8,ENSG00000038002,protein_coding,AGA,175.0,InGen,1.42988465090831,6,ENST00000264595.6|ENST00000502310.5|ENST00000506853.5|ENST00000510635.1|ENST00000510955.5|ENST00000511231.1,-0.352349743136105,2.8923462152139,-4.09559486161478,7.97389711343126e-05,0.0346973424467454,1.35501062422789,0.0860313959367512,04
ENSG00000077420.15,3981,ENSG00000077420.15,ENSG00000077420,protein_coding,APBB1IP,54518.0,InGen,0.949093840107178,3,ENST00000376236.8|ENST00000356785.4|ENST00000493857.1,-0.627937929958907,2.80668709878928,-4.08680992722555,8.24098563276342e-05,0.0346973424467454,1.33030760399341,0.153649898365888,04
ENSG00000141837.19,43159,ENSG00000141837.19,ENSG00000141837,protein_coding,CACNA1A,773.0,InGen,0.786667673954015,59,ENST00000614285.4|ENST00000360228.10|ENST00000637769.1|ENST00000635895.1|ENST00000638009.1|ENST00000587525.5|ENST00000637736.1|ENST00000636389.1|ENST00000585802.6|ENST00000637432.1|ENST00000638029.1|ENST00000635727.1|ENST00000636012.1|ENST00000573710.7|ENST00000637276.1|ENST00000637927.1|ENST00000636473.1|ENST00000636549.1|ENST00000636610.1|ENST00000636768.1|ENST00000637819.1|ENST00000636074.1|ENST00000635988.1|ENST00000638114.1|ENST00000586190.1|ENST00000636670.1|ENST00000637832.1|ENST00000637777.1|ENST00000574822.6|ENST00000635742.1|ENST00000637809.1|ENST00000573891.6|ENST00000636058.1|ENST00000637297.1|ENST00000593267.2|ENST00000637475.1|ENST00000637004.1|ENST00000637692.1|ENST00000635917.1|ENST00000636816.1|ENST00000637168.1|ENST00000636984.1|ENST00000590205.2|ENST00000637485.1|ENST00000635786.1|ENST00000637774.1|ENST00000637966.1|ENST00000637117.1|ENST00000636974.1|ENST00000636022.1|ENST00000637625.1|ENST00000593160.2|ENST00000636966.1|ENST00000637952.1|ENST00000637981.1|ENST00000574974.2|ENST00000637616.1|ENST00000592864.2|ENST00000587451.2,0.308723192210516,5.98157439622785,4.08665434487933,8.24579215357135e-05,0.0346973424467454,1.23391446313596,0.0755442389193872,04
ENSG00000172243.17,4190,ENSG00000172243.17,ENSG00000172243,protein_coding,CLEC7A,64581.0,InGen,0.496222242599575,13,ENST00000353231.9|ENST00000534609.5|ENST00000529761.5|ENST00000298523.9|ENST00000396484.6|ENST00000304084.12|ENST00000349926.9|ENST00000465100.5|ENST00000533022.5|ENST00000531192.5|ENST00000528799.1|ENST00000310002.4|ENST00000525605.1,-0.812793062568115,1.82026539510963,-4.08496272562491,8.29822619303003e-05,0.0346973424467454,1.3430875337222,0.19897196551378,04
