"","module"
"TSPAN6|ENSG00000000003.15","salmon"
"RABEP1|ENSG00000029725.17","red"
"HMGB3|ENSG00000029993.15","midnightblue"
"NUP160|ENSG00000030066.14","yellow"
"BAK1|ENSG00000030110.14","royalblue"
"MUSK|ENSG00000030304.15","purple"
"IKZF2|ENSG00000030419.17","yellow"
"GRN|ENSG00000030582.18","royalblue"
"FAM13B|ENSG00000031003.11","red"
"ARHGAP31|ENSG00000031081.11","lightyellow"
"CENPQ|ENSG00000031691.7","greenyellow"
"SARS1|ENSG00000031698.13","turquoise"
"RANBP3|ENSG00000031823.14","turquoise"
"ARID4A|ENSG00000032219.19","midnightblue"
"EIPR1|ENSG00000032389.13","turquoise"
"PNPLA6|ENSG00000032444.17","magenta"
"IFT88|ENSG00000032742.18","yellow"
"ALG1|ENSG00000033011.14","darkturquoise"
"ZCCHC8|ENSG00000033030.15","yellow"
"ABCF2|ENSG00000033050.9","turquoise"
"CHPF2|ENSG00000033100.17","turquoise"
"LRRC7|ENSG00000033122.21","green"
"FUT8|ENSG00000033170.17","blue"
"UBA6|ENSG00000033178.13","greenyellow"
"GAB2|ENSG00000033327.13","blue"
"ATP6V0A1|ENSG00000033627.17","turquoise"
"PIAS1|ENSG00000033800.14","darkgrey"
"SLC4A7|ENSG00000033867.17","tan"
"APBA2|ENSG00000034053.15","turquoise"
"MAP2K3|ENSG00000034152.19","lightgreen"
"CLXN|ENSG00000034239.11","purple"
"TMSB10|ENSG00000034510.6","red"
"ASTE1|ENSG00000034533.12","yellow"
"RNF19A|ENSG00000034677.13","lightyellow"
"PEX3|ENSG00000034693.15","greenyellow"
"GABARAPL2|ENSG00000034713.8","darkgreen"
"SH3YL1|ENSG00000035115.22","grey"
"FAM136A|ENSG00000035141.8","red"
"VCL|ENSG00000035403.18","white"
"DEPDC1B|ENSG00000035499.13","midnightblue"
"DAPK2|ENSG00000035664.11","blue"
"NSMAF|ENSG00000035681.9","grey"
"ADSS2|ENSG00000035687.10","midnightblue"
"STAP1|ENSG00000035720.8","green"
"TIMP2|ENSG00000035862.12","brown"
"RFC1|ENSG00000035928.17","greenyellow"
"TBC1D23|ENSG00000036054.13","greenyellow"
"CUL3|ENSG00000036257.14","red"
"MYOM2|ENSG00000036448.10","darkgrey"
"OTC|ENSG00000036473.8","grey"
"CYP46A1|ENSG00000036530.9","darkorange"
"ZZZ3|ENSG00000036549.13","midnightblue"
"USP2|ENSG00000036672.16","darkturquoise"
"CASR|ENSG00000036828.17","saddlebrown"
"TUBG2|ENSG00000037042.9","turquoise"
"RPL26L1|ENSG00000037241.7","darkred"
"FLT4|ENSG00000037280.16","salmon"
"NSUN2|ENSG00000037474.15","grey"
"FBXO42|ENSG00000037637.11","turquoise"
"MFAP3|ENSG00000037749.13","pink"
"MRI1|ENSG00000037757.14","magenta"
"METTL1|ENSG00000037897.17","green"
"AGA|ENSG00000038002.9","pink"
"PI4K2B|ENSG00000038210.14","yellow"
"BOD1L1|ENSG00000038219.13","midnightblue"
"MAT2B|ENSG00000038274.18","darkred"
"TLL1|ENSG00000038295.8","tan"
"EDC4|ENSG00000038358.15","magenta"
"TRIO|ENSG00000038382.22","turquoise"
"VCAN|ENSG00000038427.16","lightyellow"
"CLEC16A|ENSG00000038532.17","magenta"
"MSR1|ENSG00000038945.15","pink"
"CDH1|ENSG00000039068.20","yellow"
"MTREX|ENSG00000039123.16","greenyellow"
"DNAH5|ENSG00000039139.11","purple"
"ZFYVE16|ENSG00000039319.17","blue"
"RIPOR1|ENSG00000039523.20","turquoise"
"C6|ENSG00000039537.15","salmon"
"RAI14|ENSG00000039560.14","yellow"
"SOX30|ENSG00000039600.11","grey"
"PNKP|ENSG00000039650.12","darkturquoise"
"PHLPP2|ENSG00000040199.18","darkgrey"
"SPDL1|ENSG00000040275.17","midnightblue"
"STAU2|ENSG00000040341.18","red"
"SLC66A1|ENSG00000040487.13","magenta"
"CTNS|ENSG00000040531.16","royalblue"
"RTN4R|ENSG00000040608.14","turquoise"
"PHF23|ENSG00000040633.13","lightcyan"
"CDH10|ENSG00000040731.10","red"
"INPP4A|ENSG00000040933.16","turquoise"
"RAB27B|ENSG00000041353.10","red"
"PSMA4|ENSG00000041357.16","darkred"
"MYO16|ENSG00000041515.16","darkorange"
"LSG1|ENSG00000041802.11","grey"
"PARP3|ENSG00000041880.15","darkturquoise"
"TNC|ENSG00000041982.16","lightyellow"
"THAP3|ENSG00000041988.16","magenta"
"RIPOR3|ENSG00000042062.13","royalblue"
"TDP1|ENSG00000042088.14","brown"
"AIFM2|ENSG00000042286.15","darkturquoise"
"C2orf83|ENSG00000042304.13","grey"
"SPATA7|ENSG00000042317.17","red"
"MED17|ENSG00000042429.12","greenyellow"
"RETSAT|ENSG00000042445.14","lightcyan"
"CAPG|ENSG00000042493.16","cyan"
"AP2S1|ENSG00000042753.12","turquoise"
"USH2A|ENSG00000042781.14","tan"
"TG|ENSG00000042832.12","green"
"ADAM28|ENSG00000042980.14","cyan"
"BARX2|ENSG00000043039.7","purple"
"DCUN1D1|ENSG00000043093.15","greenyellow"
"JADE2|ENSG00000043143.22","brown"
"ZIC2|ENSG00000043355.12","salmon"
"LCP2|ENSG00000043462.13","cyan"
"TRIT1|ENSG00000043514.17","tan"
"ADRB1|ENSG00000043591.6","brown"
"CUL7|ENSG00000044090.13","turquoise"
"CTNNA1|ENSG00000044115.21","yellow"
"PHKA2|ENSG00000044446.12","grey"
"CNTLN|ENSG00000044459.15","pink"
"EPHA3|ENSG00000044524.11","brown"
"HSPA5|ENSG00000044574.9","pink"
"DSG2|ENSG00000046604.14","salmon"
"GEMIN8|ENSG00000046647.14","yellow"
"OFD1|ENSG00000046651.16","yellow"
"GPM6B|ENSG00000046653.15","lightyellow"
"PREX2|ENSG00000046889.19","lightyellow"
"WDR37|ENSG00000047056.17","turquoise"
"YTHDC2|ENSG00000047188.16","darkgreen"
"CTPS2|ENSG00000047230.15","yellow"
"ATP6V1H|ENSG00000047249.18","grey60"
"POLR2B|ENSG00000047315.17","darkred"
"FAM214A|ENSG00000047346.13","yellow"
"ARAP2|ENSG00000047365.13","blue"
"TPR|ENSG00000047410.14","greenyellow"
"CP|ENSG00000047457.14","salmon"
"KATNIP|ENSG00000047578.14","darkturquoise"
"DTNBP1|ENSG00000047579.20","red"
"XK|ENSG00000047597.7","red"
"ANO2|ENSG00000047617.17","white"
"C12orf4|ENSG00000047621.12","red"
"SCML1|ENSG00000047634.15","greenyellow"
"WWC3|ENSG00000047644.20","yellow"
"ARHGAP6|ENSG00000047648.23","darkgrey"
"FAM184B|ENSG00000047662.5","black"
"MAP4|ENSG00000047849.22","grey"
"GOPC|ENSG00000047932.14","red"
"ROS1|ENSG00000047936.11","brown"
"USP28|ENSG00000048028.12","darkgrey"
"HDAC9|ENSG00000048052.24","brown"
"TSPAN17|ENSG00000048140.18","turquoise"
"NOP16|ENSG00000048162.22","grey60"
"CC2D2A|ENSG00000048342.18","purple"
"RRM2B|ENSG00000048392.13","orange"
"ZNF800|ENSG00000048405.11","greenyellow"
"SNX29|ENSG00000048471.14","blue"
"LMO3|ENSG00000048540.16","red"
"MRPS10|ENSG00000048544.6","darkred"
"GUCA1A|ENSG00000048545.18","darkorange"
"RSF1|ENSG00000048649.14","midnightblue"
"VPS13D|ENSG00000048707.15","turquoise"
"CELF2|ENSG00000048740.19","green"
"FAM120A|ENSG00000048828.18","saddlebrown"
"R3HDM1|ENSG00000048991.17","brown"
"COL9A2|ENSG00000049089.15","blue"
