RNum	BrNum
R13411	Br1898
R13412	Br1905
R13037	Br1909
R13413	Br1912
R13414	Br1918
R13003	Br1927
R13415	Br1941
R13416	Br1946
R12967	Br1958
R13417	Br1960
R13418	Br1965
R13503	Br1980
R12986	Br1987
R13421	Br1988
R12968	Br1989
R12987	Br1994
R13422	Br1995
R13504	Br1998
R13423	Br2001
R13424	Br2003
R13425	Br2009
R13426	Br2015
R12988	Br2020
R13427	Br2026
R13428	Br2027
R12989	Br2038
R13429	Br2039
R13430	Br2044
R13039	Br2046
R13431	Br2052
R13044	Br2053
R13045	Br2063
R13018	Br2064
R13432	Br2073
R13046	Br2074
R13433	Br2075
R13047	Br2076
R13048	Br2080
R13434	Br2084
R13435	Br2242
R13436	Br2257
R12991	Br2261
R13051	Br2267
R13437	Br2271
R13053	Br2285
R13438	Br2287
R13054	Br2288
R13439	Br2291
R13440	Br2292
R13441	Br2295
R13442	Br2298
R13443	Br2301
R13444	Br2304
R13445	Br2305
R13446	Br2313
R13447	Br2322
R13449	Br2333
R13450	Br2337
R13451	Br2343
R13452	Br2345
R13453	Br2346
R13454	Br2348
R13456	Br2351
R12992	Br2353
R13458	Br2371
R13460	Br2377
R13004	Br2378
R13005	Br2393
R13463	Br2405
R13464	Br2421
R13465	Br2423
R13466	Br2425
R13470	Br2453
R13471	Br2454
R13006	Br2464
R12969	Br2470
R13055	Br2474
R13056	Br2476
R12970	Br2481
R13007	Br2494
R12994	Br2509
R13058	Br2513
R13059	Br2521
R13060	Br2533
R13061	Br2534
R13063	Br2539
R13068	Br2542
R13069	Br2543
R13064	Br2557
R13065	Br2573
R13070	Br2582
R12995	Br2585
R13066	Br2587
R13071	Br5005
R13074	Br5024
R13075	Br5026
R13076	Br5053
R13077	Br5062
R13078	Br5066
R13019	Br5073
R13079	Br5135
R13081	Br5154
R13082	Br5155
R13083	Br5161
R13084	Br5165
R13086	Br5168
R13020	Br5179
R13087	Br5182
R13088	Br5190
R13089	Br5200
R13090	Br5205
R13091	Br5207
R13106	Br5212
R13021	Br5217
R13022	Br5224
R13109	Br5228
R13110	Br5232
R13023	Br5234
R13111	Br5235
R13112	Br5237
R13113	Br5239
R13145	Br5242
R13114	Br5243
R13115	Br5250
R13116	Br5253
R13117	Br5259
R13118	Br5262
R13119	Br5264
R13121	Br5276
R13122	Br5280
R13024	Br5282
R13123	Br5286
R13124	Br5287
R13125	Br5292
R13025	Br5295
R13126	Br5310
R13127	Br5314
R13067	Br5315
R13026	Br5319
R13128	Br5323
R13129	Br5324
R13130	Br5330
R13131	Br5338
R13132	Br5347
R13133	Br5348
R13027	Br5355
R13028	Br5359
R13134	Br5367
R13136	Br5370
R13029	Br5372
R13030	Br5373
R13031	Br5398
R13137	Br5401
R13146	Br5417
R13138	Br5422
R13139	Br5426
R13148	Br5460
R13041	Br5467
R13042	Br5475
R13149	Br5488
R13150	Br5529
R13140	Br5551
R13151	Br5555
R13152	Br5556
R13141	Br5584
R13153	Br5590
