Gene name	Gene ID	Chr	Start position	End position	Transcript type	Combined XCI status
CXorf23	ENSG00000173681.12	X	19930978	19988416	protein_coding	inactive
MAP7D2	ENSG00000184368.11	X	20024831	20135035	protein_coding	inactive
EIF1AX	ENSG00000173674.6	X	20142636	20159962	protein_coding	escape
RPS6KA3	ENSG00000177189.8	X	20168029	20285523	protein_coding	inactive
CNKSR2	ENSG00000149970.10	X	21392536	21672813	protein_coding	variable
SMPX	ENSG00000091482.5	X	21724090	21776281	protein_coding	inactive
MBTPS2	ENSG00000012174.7	X	21857754	21903542	protein_coding	inactive
SMS	ENSG00000102172.11	X	21958691	22025798	protein_coding	inactive
PHEX	ENSG00000102174.7	X	22050559	22269427	protein_coding	variable
PHEX-AS1	ENSG00000224204.1	X	22180850	22191100	antisense	inactive
PTCHD1	ENSG00000165186.9	X	23352133	23422489	protein_coding	variable
PRDX4	ENSG00000123131.8	X	23682379	23704516	protein_coding	inactive
ACOT9	ENSG00000123130.12	X	23720370	23784592	protein_coding	inactive
SAT1	ENSG00000130066.12	X	23801290	23804343	protein_coding	inactive
APOO	ENSG00000184831.9	X	23851470	23926057	protein_coding	inactive
CXorf58	ENSG00000165182.6	X	23925918	23957624	protein_coding	inactive
KLHL15	ENSG00000174010.9	X	24001837	24045303	protein_coding	inactive
EIF2S3	ENSG00000130741.6	X	24072833	24096088	protein_coding	escape
ZFX	ENSG00000005889.11	X	24167290	24234372	protein_coding	escape
PDK3	ENSG00000067992.8	X	24483338	24557954	protein_coding	inactive
PCYT1B	ENSG00000102230.9	X	24576204	24690794	protein_coding	inactive
POLA1	ENSG00000101868.6	X	24712036	25015103	protein_coding	inactive
MAGEB18	ENSG00000176774.5	X	26156460	26158852	protein_coding	escape
VENTXP1	ENSG00000259849.1	X	26576454	26579169	lincRNA	escape
RP11-268G12.3	ENSG00000242021.2	X	27061024	27194415	lincRNA	escape
SMEK3P	ENSG00000224960.3	X	27478921	27481413	pseudogene	escape
IL1RAPL1	ENSG00000169306.5	X	28605516	29974840	protein_coding	variable
MAGEB3	ENSG00000198798.4	X	30248553	30255607	protein_coding	escape
NR0B1	ENSG00000169297.6	X	30322323	30327715	protein_coding	escape
CXorf21	ENSG00000120280.5	X	30576941	30595961	protein_coding	variable
GK	ENSG00000198814.8	X	30671476	30748725	protein_coding	inactive
TAB3	ENSG00000157625.11	X	30845559	30993201	protein_coding	inactive
DMD	ENSG00000198947.10	X	31115794	33357558	protein_coding	inactive
MAGEB16	ENSG00000189023.6	X	35816459	35821852	protein_coding	inactive
CXorf22	ENSG00000165164.8	X	35937851	36008269	protein_coding	escape
CXorf30	ENSG00000205081.4	X	36246735	36403431	protein_coding	variable
PRRG1	ENSG00000130962.13	X	37208528	37316548	protein_coding	inactive
LANCL3	ENSG00000147036.7	X	37430822	37543716	protein_coding	variable
XK	ENSG00000047597.5	X	37545012	37591383	protein_coding	variable
CYBB	ENSG00000165168.6	X	37639264	37672714	protein_coding	inactive
DYNLT3	ENSG00000165169.6	X	37696010	37706890	protein_coding	inactive
SYTL5	ENSG00000147041.7	X	37865835	37988072	protein_coding	inactive
SRPX	ENSG00000101955.10	X	38008589	38080696	protein_coding	variable
RPGR	ENSG00000156313.8	X	38128416	38186817	protein_coding	inactive
OTC	ENSG00000036473.6	X	38211798	38280703	protein_coding	variable
TSPAN7	ENSG00000156298.8	X	38420623	38548169	protein_coding	inactive
MID1IP1	ENSG00000165175.11	X	38660685	38665790	protein_coding	inactive
BCOR	ENSG00000183337.12	X	39909068	40036582	protein_coding	inactive
ATP6AP2	ENSG00000182220.9	X	40440146	40465889	protein_coding	inactive
MPC1L	ENSG00000238205.1	X	40482836	40483112	pseudogene	escape
CXorf38	ENSG00000185753.8	X	40488285	40506819	protein_coding	escape
MED14	ENSG00000180182.6	X	40507558	40595110	protein_coding	escape
USP9X	ENSG00000124486.8	X	40944888	41095832	protein_coding	escape
DDX3X	ENSG00000215301.5	X	41192651	41223725	protein_coding	escape
NYX	ENSG00000188937.5	X	41306687	41334963	protein_coding	inactive
CASK	ENSG00000147044.16	X	41374187	41782716	protein_coding	inactive
GPR34	ENSG00000171659.9	X	41548226	41556526	protein_coding	inactive
MAOA	ENSG00000189221.5	X	43515467	43606068	protein_coding	escape
MAOB	ENSG00000069535.12	X	43625858	43741693	protein_coding	inactive
NDP	ENSG00000124479.8	X	43808022	43832750	protein_coding	variable
EFHC2	ENSG00000183690.12	X	44007128	44202918	protein_coding	variable
FUNDC1	ENSG00000069509.5	X	44382885	44402247	protein_coding	escape
KDM6A	ENSG00000147050.10	X	44732757	44971847	protein_coding	escape
CXorf36	ENSG00000147113.12	X	45007619	45060146	protein_coding	inactive
RP6-99M1.2	ENSG00000270069.1	X	45604639	45629677	lincRNA	escape
KRBOX4	ENSG00000147121.11	X	46306292	46356857	protein_coding	inactive
ZNF674	ENSG00000251192.3	X	46357162	46404892	protein_coding	inactive
ZNF674-AS1	ENSG00000230844.2	X	46404928	46407843	lincRNA	inactive
CHST7	ENSG00000147119.3	X	46433219	46457843	protein_coding	inactive
SLC9A7	ENSG00000065923.5	X	46464753	46618490	protein_coding	inactive
RP2	ENSG00000102218.5	X	46696375	46741793	protein_coding	inactive
PHF16	ENSG00000102221.9	X	46771711	46920641	protein_coding	inactive
RGN	ENSG00000130988.8	X	46937775	46952712	protein_coding	inactive
NDUFB11	ENSG00000147123.10	X	47001615	47004903	protein_coding	inactive
RBM10	ENSG00000182872.11	X	47004268	47046212	protein_coding	inactive
UBA1	ENSG00000130985.12	X	47050260	47074527	protein_coding	escape
CDK16	ENSG00000102225.11	X	47077259	47089396	protein_coding	escape
USP11	ENSG00000102226.5	X	47092089	47107727	protein_coding	inactive
ZNF157	ENSG00000147117.7	X	47229982	47273704	protein_coding	variable
ZNF41	ENSG00000147124.8	X	47305278	47342345	protein_coding	inactive
CXorf24	ENSG00000196741.3	X	47342970	47344207	protein_coding	inactive
ARAF	ENSG00000078061.8	X	47420516	47431307	protein_coding	inactive
SYN1	ENSG00000008056.8	X	47431303	47479252	protein_coding	inactive
TIMP1	ENSG00000102265.7	X	47441712	47446188	protein_coding	variable
CFP	ENSG00000126759.8	X	47483612	47489704	protein_coding	inactive
ELK1	ENSG00000126767.13	X	47494920	47510003	protein_coding	inactive
UXT	ENSG00000126756.7	X	47511197	47518560	protein_coding	inactive
ZNF81	ENSG00000197779.9	X	47696301	47861960	protein_coding	inactive
ZNF182	ENSG00000147118.6	X	47834250	47863377	protein_coding	inactive
ZNF630	ENSG00000221994.6	X	47842756	47931025	protein_coding	inactive
SLC38A5	ENSG00000017483.10	X	48316920	48328644	protein_coding	inactive
FTSJ1	ENSG00000068438.10	X	48334541	48344752	protein_coding	inactive
PORCN	ENSG00000102312.16	X	48367350	48379202	protein_coding	inactive
TBC1D25	ENSG00000068354.11	X	48397845	48420997	protein_coding	inactive
RBM3	ENSG00000102317.13	X	48432837	48437454	protein_coding	variable
RP11-1148L6.5	ENSG00000228343.1	X	48438162	48439545	antisense	inactive
WDR13	ENSG00000101940.13	X	48448430	48463581	protein_coding	inactive
WAS	ENSG00000015285.6	X	48534985	48549818	protein_coding	variable
SUV39H1	ENSG00000101945.12	X	48553945	48567403	protein_coding	inactive
GATA1	ENSG00000102145.9	X	48644962	48652716	protein_coding	inactive
HDAC6	ENSG00000094631.14	X	48659784	48683392	protein_coding	inactive
TIMM17B	ENSG00000126768.8	X	48750730	48755426	protein_coding	inactive
PQBP1	ENSG00000102103.11	X	48755195	48760420	protein_coding	variable
SLC35A2	ENSG00000102100.10	X	48760459	48769235	protein_coding	inactive
PIM2	ENSG00000102096.9	X	48770459	48776301	protein_coding	inactive
OTUD5	ENSG00000068308.9	X	48779305	48815648	protein_coding	inactive
KCND1	ENSG00000102057.5	X	48818639	48827976	protein_coding	inactive
GRIPAP1	ENSG00000068400.9	X	48830134	48858675	protein_coding	inactive
TFE3	ENSG00000068323.12	X	48886242	48901012	protein_coding	inactive
CCDC120	ENSG00000147144.8	X	48911101	48927509	protein_coding	inactive
PRAF2	ENSG00000243279.2	X	48928813	48931730	protein_coding	inactive
WDR45	ENSG00000196998.11	X	48929385	48958108	protein_coding	inactive
GPKOW	ENSG00000068394.9	X	48970334	48980151	protein_coding	inactive
MAGIX	ENSG00000017621.11	X	49019061	49024822	protein_coding	inactive
PLP2	ENSG00000102007.6	X	49028273	49031588	protein_coding	inactive
PRICKLE3	ENSG00000012211.8	X	49031151	49042845	protein_coding	inactive
SYP	ENSG00000102003.6	X	49044269	49056718	protein_coding	inactive
CACNA1F	ENSG00000102001.8	X	49061523	49089833	protein_coding	inactive
CCDC22	ENSG00000101997.8	X	49091927	49106987	protein_coding	inactive
FOXP3	ENSG00000049768.10	X	49106897	49121288	protein_coding	inactive
PPP1R3F	ENSG00000049769.8	X	49126306	49157929	protein_coding	inactive
USP27X-AS1	ENSG00000234390.4	X	49641327	49643844	lincRNA	inactive
CLCN5	ENSG00000171365.11	X	49687225	49863892	protein_coding	inactive
AKAP4	ENSG00000147081.10	X	49955406	49965664	protein_coding	inactive
CCNB3	ENSG00000147082.13	X	49967364	50094909	protein_coding	inactive
DGKK	ENSG00000204466.5	X	50108408	50213737	processed_transcript	inactive
SHROOM4	ENSG00000158352.11	X	50334647	50557302	protein_coding	inactive
NUDT10	ENSG00000122824.6	X	51075083	51080377	protein_coding	inactive
CXorf67	ENSG00000187690.2	X	51149767	51151687	protein_coding	inactive
NUDT11	ENSG00000196368.4	X	51232863	51239448	protein_coding	inactive
GSPT2	ENSG00000189369.7	X	51486481	51489324	protein_coding	inactive
MAGED1	ENSG00000179222.13	X	51546103	51645453	protein_coding	inactive
SSX8	ENSG00000157965.10	X	52651985	52662998	pseudogene	inactive
FAM156A	ENSG00000182646.12	X	52976462	53024651	protein_coding	inactive
GPR173	ENSG00000184194.5	X	53078273	53109797	protein_coding	inactive
TSPYL2	ENSG00000184205.10	X	53111549	53117722	protein_coding	inactive
RP11-258C19.5	ENSG00000232593.2	X	53123327	53196196	lincRNA	inactive
RP11-258C19.7	ENSG00000270189.1	X	53198279	53200096	lincRNA	inactive
KDM5C	ENSG00000126012.7	X	53220503	53254604	protein_coding	escape
IQSEC2	ENSG00000124313.8	X	53262058	53350522	protein_coding	escape
SMC1A	ENSG00000072501.13	X	53401070	53449677	protein_coding	escape
RIBC1	ENSG00000158423.12	X	53449639	53458059	protein_coding	escape
HSD17B10	ENSG00000072506.8	X	53458206	53461320	protein_coding	inactive
HUWE1	ENSG00000086758.11	X	53559057	53713673	protein_coding	inactive
PHF8	ENSG00000172943.14	X	53963109	54075391	protein_coding	inactive
FAM120C	ENSG00000184083.7	X	54094757	54209714	protein_coding	inactive
WNK3	ENSG00000196632.6	X	54219256	54385075	protein_coding	inactive
TSR2	ENSG00000158526.7	X	54466834	54471920	protein_coding	inactive
FGD1	ENSG00000102302.7	X	54471887	54522599	protein_coding	inactive
GNL3L	ENSG00000130119.11	X	54556644	54587504	protein_coding	inactive
MAGED2	ENSG00000102316.12	X	54834032	54842445	protein_coding	inactive
TRO	ENSG00000067445.16	X	54946895	54957864	protein_coding	inactive
PFKFB1	ENSG00000158571.6	X	54959394	55024967	protein_coding	inactive
APEX2	ENSG00000169188.4	X	55026790	55035490	protein_coding	inactive
ALAS2	ENSG00000158578.14	X	55035488	55057497	protein_coding	inactive
FAM104B	ENSG00000182518.9	X	55169535	55187743	protein_coding	inactive
MAGEH1	ENSG00000187601.3	X	55478538	55479998	protein_coding	inactive
RRAGB	ENSG00000083750.8	X	55744172	55785207	protein_coding	inactive
KLF8	ENSG00000102349.10	X	56258854	56314322	protein_coding	inactive
UBQLN2	ENSG00000188021.7	X	56590026	56593443	protein_coding	inactive
RP11-622K12.1	ENSG00000204272.6	X	56755692	56844813	processed_transcript	inactive
SPIN3	ENSG00000204271.6	X	57002803	57021970	protein_coding	inactive
SPIN2A	ENSG00000147059.7	X	57160963	57164058	protein_coding	inactive
FAAH2	ENSG00000165591.6	X	57313139	57515629	protein_coding	inactive
RP11-357C3.3	ENSG00000235437.3	X	62563106	62780951	processed_transcript	inactive
SPIN4	ENSG00000186767.5	X	62567107	62571223	protein_coding	inactive
ARHGEF9	ENSG00000131089.9	X	62854847	63005426	protein_coding	inactive
AMER1	ENSG00000184675.5	X	63404997	63425624	protein_coding	inactive
ASB12	ENSG00000198881.8	X	63444076	63450511	protein_coding	inactive
MTMR8	ENSG00000102043.11	X	63444187	63615333	protein_coding	inactive
ZC4H2	ENSG00000126970.11	X	64136250	64254593	protein_coding	inactive
ZC3H12B	ENSG00000102053.11	X	64708615	64727767	protein_coding	inactive
LAS1L	ENSG00000001497.12	X	64732462	64754655	protein_coding	inactive
MSN	ENSG00000147065.12	X	64808257	64961791	protein_coding	inactive
VSIG4	ENSG00000155659.10	X	65241580	65259967	protein_coding	variable
HEPH	ENSG00000089472.12	X	65382391	65488709	protein_coding	inactive
EDA2R	ENSG00000131080.10	X	65815479	65859108	protein_coding	inactive
AR	ENSG00000169083.11	X	66764465	66950461	protein_coding	inactive
OPHN1	ENSG00000079482.11	X	67262186	67653755	protein_coding	inactive
YIPF6	ENSG00000181704.7	X	67718165	67757127	protein_coding	inactive
STARD8	ENSG00000130052.9	X	67867508	67945684	protein_coding	inactive
EFNB1	ENSG00000090776.5	X	68048840	68061990	protein_coding	inactive
PJA1	ENSG00000181191.11	X	68380694	68385636	protein_coding	inactive
EDA	ENSG00000158813.13	X	68835911	69259319	protein_coding	inactive
IGBP1	ENSG00000089289.11	X	69353299	69386174	protein_coding	inactive
DGAT2L6	ENSG00000184210.5	X	69397333	69425395	protein_coding	variable
AWAT1	ENSG00000204195.3	X	69454505	69460477	protein_coding	inactive
P2RY4	ENSG00000186912.5	X	69478016	69479654	protein_coding	inactive
ARR3	ENSG00000120500.13	X	69488155	69501690	protein_coding	inactive
RAB41	ENSG00000147127.4	X	69501943	69504852	protein_coding	inactive
KIF4A	ENSG00000090889.10	X	69509879	69640682	protein_coding	inactive
DLG3	ENSG00000082458.7	X	69664711	69725337	protein_coding	inactive
SNX12	ENSG00000147164.7	X	70279094	70288273	protein_coding	inactive
FOXO4	ENSG00000184481.12	X	70316047	70323385	protein_coding	variable
CXorf65	ENSG00000204165.5	X	70323739	70326638	protein_coding	variable
MED12	ENSG00000184634.11	X	70338406	70362303	protein_coding	inactive
NLGN3	ENSG00000196338.8	X	70364681	70391051	protein_coding	inactive
ZMYM3	ENSG00000147130.10	X	70459474	70474996	protein_coding	inactive
NONO	ENSG00000147140.11	X	70503042	70521018	protein_coding	inactive
ITGB1BP2	ENSG00000147166.6	X	70521584	70525221	protein_coding	inactive
TAF1	ENSG00000147133.11	X	70586114	70752224	protein_coding	inactive
OGT	ENSG00000147162.9	X	70752933	70795747	protein_coding	inactive
ACRC	ENSG00000147174.7	X	70798261	70833433	protein_coding	inactive
CXCR3	ENSG00000186810.7	X	70835766	70838367	protein_coding	inactive
NHSL2	ENSG00000204131.6	X	71130938	71363424	protein_coding	variable
RGAG4	ENSG00000242732.3	X	71346958	71351758	protein_coding	inactive
RP11-262D11.2	ENSG00000225471.2	X	71364034	71381600	pseudogene	variable
PIN4	ENSG00000102309.8	X	71401203	71522776	protein_coding	inactive
ERCC6L	ENSG00000186871.5	X	71424510	71458897	protein_coding	inactive
RPS4X	ENSG00000198034.6	X	71475529	71497150	protein_coding	escape
CITED1	ENSG00000125931.6	X	71521488	71527037	protein_coding	inactive
HDAC8	ENSG00000147099.15	X	71549366	71792953	protein_coding	inactive
PHKA1	ENSG00000067177.10	X	71798664	71934167	protein_coding	inactive
NAP1L2	ENSG00000186462.7	X	72432135	72434684	protein_coding	inactive
MAP2K4P1	ENSG00000269904.2	X	72744111	72782921	pseudogene	inactive
CHIC1	ENSG00000204116.7	X	72783036	72906937	protein_coding	inactive
XIST	ENSG00000229807.5	X	73040486	73072588	lincRNA	escape
JPX	ENSG00000225470.2	X	73164159	73290243	lincRNA	escape
FTX	ENSG00000230590.3	X	73183790	73513409	lincRNA	inactive
RP3-368A4.5	ENSG00000271430.1	X	73420064	73461983	sense_intronic	inactive
RP3-368A4.6	ENSG00000271533.1	X	73429811	73433495	sense_intronic	inactive
SLC16A2	ENSG00000147100.5	X	73641085	73753752	protein_coding	inactive
RLIM	ENSG00000131263.8	X	73805052	73834452	protein_coding	inactive
KIAA2022	ENSG00000050030.9	X	73952684	74145282	protein_coding	inactive
ABCB7	ENSG00000131269.11	X	74273115	74376567	protein_coding	inactive
UPRT	ENSG00000094841.9	X	74493920	74524435	protein_coding	inactive
ZDHHC15	ENSG00000102383.9	X	74588262	74743337	protein_coding	inactive
TTC3P1	ENSG00000215105.3	X	74960541	74966749	pseudogene	inactive
PBDC1	ENSG00000102390.6	X	75392771	75398039	protein_coding	inactive
MAGEE1	ENSG00000198934.3	X	75648046	75651744	protein_coding	variable
ATRX	ENSG00000085224.16	X	76760356	77041702	protein_coding	inactive
MAGT1	ENSG00000102158.15	X	77081861	77151090	protein_coding	inactive
COX7B	ENSG00000131174.4	X	77154935	77162870	protein_coding	variable
ATP7A	ENSG00000165240.13	X	77166194	77305892	protein_coding	variable
PGK1	ENSG00000102144.9	X	77320685	77384793	protein_coding	inactive
CYSLTR1	ENSG00000173198.4	X	77526961	77583048	protein_coding	inactive
LPAR4	ENSG00000147145.8	X	78003206	78012591	protein_coding	inactive
P2RY10	ENSG00000078589.8	X	78200829	78217451	protein_coding	variable
GPR174	ENSG00000147138.1	X	78426469	78427726	protein_coding	variable
ITM2A	ENSG00000078596.6	X	78615881	78623164	protein_coding	inactive
BRWD3	ENSG00000165288.10	X	79926353	80065187	protein_coding	inactive
HMGN5	ENSG00000198157.6	X	80369200	80457441	protein_coding	variable
SH3BGRL	ENSG00000131171.8	X	80457442	80554046	protein_coding	variable
CYLC1	ENSG00000183035.8	X	83116154	83141705	protein_coding	inactive
RPS6KA6	ENSG00000072133.6	X	83318984	83442933	protein_coding	inactive
HDX	ENSG00000165259.9	X	83572882	83757487	protein_coding	inactive
APOOL	ENSG00000155008.9	X	84258832	84343069	protein_coding	inactive
SATL1	ENSG00000184788.8	X	84347293	84364054	protein_coding	inactive
ZNF711	ENSG00000147180.12	X	84498997	84528368	protein_coding	variable
POF1B	ENSG00000124429.13	X	84532402	84634748	protein_coding	variable
CHM	ENSG00000188419.9	X	85116185	85302566	protein_coding	inactive
DACH2	ENSG00000126733.16	X	85403462	86087607	protein_coding	variable
KLHL4	ENSG00000102271.9	X	86772752	86925050	protein_coding	inactive
CPXCR1	ENSG00000147183.5	X	88002226	88009786	protein_coding	escape
PCDH11X	ENSG00000102290.17	X	91034260	91878229	protein_coding	variable
NAP1L3	ENSG00000186310.9	X	92925929	92928567	protein_coding	escape
FAM133A	ENSG00000179083.5	X	92929012	92967273	protein_coding	inactive
DIAPH2	ENSG00000147202.13	X	95939662	96859996	protein_coding	inactive
DIAPH2-AS1	ENSG00000236256.5	X	96686285	96897588	antisense	variable
XRCC6P5	ENSG00000215070.3	X	98716600	98976156	pseudogene	inactive
PCDH19	ENSG00000165194.10	X	99546642	99665271	protein_coding	escape
TSPAN6	ENSG00000000003.10	X	99883667	99894988	protein_coding	variable
SRPX2	ENSG00000102359.5	X	99899215	99926296	protein_coding	variable
SYTL4	ENSG00000102362.11	X	99929488	99987110	protein_coding	escape
CSTF2	ENSG00000101811.9	X	100075384	100095921	protein_coding	inactive
NOX1	ENSG00000007952.13	X	100098313	100129334	protein_coding	escape
XKRX	ENSG00000182489.7	X	100168431	100184422	protein_coding	variable
ARL13A	ENSG00000174225.10	X	100224697	100245818	protein_coding	inactive
TRMT2B	ENSG00000188917.10	X	100264335	100307105	protein_coding	inactive
TMEM35	ENSG00000126950.7	X	100333709	100351353	protein_coding	inactive
CENPI	ENSG00000102384.9	X	100353178	100418670	protein_coding	inactive
DRP2	ENSG00000102385.8	X	100474758	100519486	protein_coding	inactive
TAF7L	ENSG00000102387.11	X	100523241	100548059	protein_coding	escape
TIMM8A	ENSG00000126953.5	X	100600649	100604184	protein_coding	inactive
BTK	ENSG00000010671.11	X	100604435	100641183	protein_coding	inactive
RPL36A	ENSG00000241343.5	X	100645812	100651105	protein_coding	inactive
RPL36A-HNRNPH2	ENSG00000257529.1	X	100645999	100667285	protein_coding	inactive
GLA	ENSG00000102393.5	X	100652791	100662913	protein_coding	inactive
HNRNPH2	ENSG00000126945.8	X	100663283	100669121	protein_coding	inactive
ARMCX4	ENSG00000196440.7	X	100673275	100788446	protein_coding	inactive
ARMCX1	ENSG00000126947.7	X	100805514	100809683	protein_coding	inactive
ARMCX6	ENSG00000198960.6	X	100870110	100872991	protein_coding	inactive
ARMCX3	ENSG00000102401.15	X	100877787	100882833	protein_coding	inactive
RP4-545K15.5	ENSG00000261101.1	X	100882858	100883508	sense_overlapping	inactive
ARMCX2	ENSG00000184867.9	X	100910267	100914876	protein_coding	inactive
NXF5	ENSG00000126952.12	X	101087085	101112549	protein_coding	escape
ZMAT1	ENSG00000166432.10	X	101137262	101187004	protein_coding	variable
TCEAL2	ENSG00000184905.4	X	101380660	101382683	protein_coding	inactive
TMSB15A	ENSG00000158164.6	X	101768604	101771712	protein_coding	inactive
