module,medianRank.pres,medianRank.qual,Zsummary.pres,Zsummary.qual,region,diagnosis
brown,8,22.5,110.0,46.0,Hippocampus,CTL
cyan,12,27.0,69.0,51.0,Hippocampus,CTL
darkgreen,8,10.0,58.0,58.0,Hippocampus,CTL
darkgrey,26,24.0,29.0,36.0,Hippocampus,CTL
darkmagenta,22,2.0,26.0,47.0,Hippocampus,CTL
darkolivegreen,14,15.5,36.0,40.0,Hippocampus,CTL
darkorange,17,2.5,43.0,68.0,Hippocampus,CTL
darkred,27,6.0,37.0,59.0,Hippocampus,CTL
darkturquoise,25,12.5,37.0,59.0,Hippocampus,CTL
gold,36,36.0,38.0,1.9,Hippocampus,CTL
green,23,28.5,56.0,41.0,Hippocampus,CTL
greenyellow,2,19.5,110.0,77.0,Hippocampus,CTL
grey,37,37.0,32.0,-23.0,Hippocampus,CTL
grey60,18,22.0,53.0,29.0,Hippocampus,CTL
lightcyan,4,8.5,78.0,80.0,Hippocampus,CTL
lightgreen,19,28.5,46.0,39.0,Hippocampus,CTL
lightyellow,30,31.0,35.0,42.0,Hippocampus,CTL
magenta,8,28.5,80.0,49.0,Hippocampus,CTL
midnightblue,23,20.5,52.0,61.0,Hippocampus,CTL
orange,16,19.0,43.0,49.0,Hippocampus,CTL
paleturquoise,20,12.0,36.0,47.0,Hippocampus,CTL
pink,29,33.0,43.0,31.0,Hippocampus,CTL
purple,34,27.5,31.0,47.0,Hippocampus,CTL
red,10,20.0,78.0,72.0,Hippocampus,CTL
royalblue,4,7.0,67.0,67.0,Hippocampus,CTL
saddlebrown,15,5.5,43.0,55.0,Hippocampus,CTL
salmon,21,23.0,61.0,69.0,Hippocampus,CTL
sienna3,31,15.5,20.0,33.0,Hippocampus,CTL
skyblue,2,1.0,57.0,66.0,Hippocampus,CTL
steelblue,6,12.0,55.0,49.0,Hippocampus,CTL
tan,10,6.0,77.0,93.0,Hippocampus,CTL
turquoise,33,34.5,60.0,52.0,Hippocampus,CTL
violet,35,33.5,18.0,23.0,Hippocampus,CTL
white,6,26.5,53.0,38.0,Hippocampus,CTL
yellow,31,18.0,51.0,85.0,Hippocampus,CTL
black,19,14.0,79.0,83.0,Hippocampus,SZ
blue,19,26.0,73.0,48.0,Hippocampus,SZ
brown,29,24.0,46.0,69.0,Hippocampus,SZ
cyan,14,11.0,56.0,61.0,Hippocampus,SZ
darkgreen,18,12.0,37.0,50.0,Hippocampus,SZ
darkgrey,5,9.0,49.0,39.0,Hippocampus,SZ
darkorange,8,14.0,36.0,38.0,Hippocampus,SZ
darkred,1,16.5,80.0,39.0,Hippocampus,SZ
darkturquoise,12,10.0,57.0,49.0,Hippocampus,SZ
gold,30,30.0,35.0,2.1,Hippocampus,SZ
green,11,17.0,130.0,100.0,Hippocampus,SZ
greenyellow,16,18.0,64.0,64.0,Hippocampus,SZ
grey,31,31.0,15.0,-21.0,Hippocampus,SZ
grey60,6,2.0,72.0,50.0,Hippocampus,SZ
lightcyan,9,21.0,65.0,43.0,Hippocampus,SZ
lightgreen,11,3.5,60.0,67.0,Hippocampus,SZ
lightyellow,3,5.0,80.0,48.0,Hippocampus,SZ
magenta,14,9.0,78.0,98.0,Hippocampus,SZ
midnightblue,17,21.5,50.0,35.0,Hippocampus,SZ
orange,10,8.5,38.0,36.0,Hippocampus,SZ
pink,27,28.0,42.0,29.0,Hippocampus,SZ
purple,4,20.0,95.0,57.0,Hippocampus,SZ
red,26,26.0,59.0,54.0,Hippocampus,SZ
royalblue,24,7.0,31.0,56.0,Hippocampus,SZ
saddlebrown,3,1.0,40.0,31.0,Hippocampus,SZ
salmon,23,26.0,43.0,32.0,Hippocampus,SZ
skyblue,21,6.5,24.0,37.0,Hippocampus,SZ
tan,25,19.0,43.0,62.0,Hippocampus,SZ
turquoise,26,26.0,60.0,59.0,Hippocampus,SZ
white,15,5.0,27.0,33.0,Hippocampus,SZ
yellow,15,25.5,87.0,41.0,Hippocampus,SZ
