external_gene_name,ensembl_gene_id,entrezgene,Chromosome,description,Caudate,DLPFC,Hippocampus,CRBL (N=128),FCTX (N=122),HIPP (N=114),HYPO (N=13),MEDU (N=109),OCTX (N=125),PUTM (N=121),SNIG (N=96),TCTX (N=114),THAL (N=107),WHMT (N=120)
HDHD1A,,,X,,,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
KBTBD4,,,11,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDM5C,ENSG00000126012,8242.0,X,lysine demethylase 5C [Source:HGNC Symbol;Acc:HGNC:11114],1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KDM5D,ENSG00000012817,8284.0,Y,lysine demethylase 5D [Source:HGNC Symbol;Acc:HGNC:11115],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KDM6A,ENSG00000147050,7403.0,X,lysine demethylase 6A [Source:HGNC Symbol;Acc:HGNC:12637],1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
JPX,ENSG00000225470,,X,"JPX transcript, XIST activator (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:37191]",1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
MAP3K2,,,2,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT1X,,,16,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NLGN4Y,ENSG00000165246,22829.0,Y,neuroligin 4 Y-linked [Source:HGNC Symbol;Acc:HGNC:15529],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NOX5,ENSG00000255346,79400.0,15,NADPH oxidase 5 [Source:HGNC Symbol;Acc:HGNC:14874],1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORC3L,,,6,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PNPLA4,ENSG00000006757,8228.0,X,patatin like phospholipase domain containing 4 [Source:HGNC Symbol;Acc:HGNC:24887],1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PRKY,ENSG00000099725,5616.0,Y,protein kinase Y-linked (pseudogene) [Source:HGNC Symbol;Acc:HGNC:9444],1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
RHCG,ENSG00000140519,51458.0,15,Rh family C glycoprotein [Source:HGNC Symbol;Acc:HGNC:18140],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RLBP1,ENSG00000140522,6017.0,15,retinaldehyde binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10024],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPS4X,ENSG00000198034,6191.0,X,ribosomal protein S4 X-linked [Source:HGNC Symbol;Acc:HGNC:10424],1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPS4Y1,ENSG00000129824,6192.0,Y,ribosomal protein S4 Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:10425],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RSPO1,,,1,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SESN1,,,6,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH3RF1,,,4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMC1A,ENSG00000072501,8243.0,X,structural maintenance of chromosomes 1A [Source:HGNC Symbol;Acc:HGNC:11111],1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
STS,ENSG00000101846,412.0,X,steroid sulfatase [Source:HGNC Symbol;Acc:HGNC:11425],1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMSB4Y,ENSG00000154620,9087.0,Y,thymosin beta 4 Y-linked [Source:HGNC Symbol;Acc:HGNC:11882],1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TSIX,ENSG00000270641,9383.0,X,"TSIX transcript, XIST antisense RNA [Source:HGNC Symbol;Acc:HGNC:12377]",1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TTTY14,ENSG00000176728,,Y,"testis-specific transcript, Y-linked 14 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:18495]",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TXLNG,ENSG00000086712,55787.0,X,taxilin gamma [Source:HGNC Symbol;Acc:HGNC:18578],1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBA1,ENSG00000130985,7317.0,X,ubiquitin like modifier activating enzyme 1 [Source:HGNC Symbol;Acc:HGNC:12469],1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USP9X,ENSG00000124486,8239.0,X,ubiquitin specific peptidase 9 X-linked [Source:HGNC Symbol;Acc:HGNC:12632],1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USP9Y,ENSG00000114374,8287.0,Y,ubiquitin specific peptidase 9 Y-linked [Source:HGNC Symbol;Acc:HGNC:12633],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UTY,ENSG00000183878,7404.0,Y,"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked [Source:HGNC Symbol;Acc:HGNC:12638]",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XIST,ENSG00000229807,7503.0,X,X inactive specific transcript (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:12810],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZBED1,,,X,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZFX,ENSG00000005889,7543.0,X,zinc finger protein X-linked [Source:HGNC Symbol;Acc:HGNC:12869],1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZFY,ENSG00000067646,7544.0,Y,zinc finger protein Y-linked [Source:HGNC Symbol;Acc:HGNC:12870],1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZRSR2,ENSG00000169249,8233.0,X,"zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2 [Source:HGNC Symbol;Acc:HGNC:23019]",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
