,gene_id,ensemblID,gene_name,seqname,gene_type,Caudate,DLPFC,Hippocampus,CMC DLPFC
35940,ENSG00000117305.14,ENSG00000117305,HMGCL,chr1,protein_coding,1,0,0,0
36565,ENSG00000158055.15,ENSG00000158055,GRHL3,chr1,protein_coding,1,0,0,0
43315,ENSG00000181773.6,ENSG00000181773,GPR3,chr1,protein_coding,0,0,0,1
44540,ENSG00000169403.11,ENSG00000169403,PTAFR,chr1,protein_coding,0,1,0,0
45529,ENSG00000198492.15,ENSG00000198492,YTHDF2,chr1,protein_coding,1,0,0,0
46816,ENSG00000134644.15,ENSG00000134644,PUM1,chr1,protein_coding,1,0,0,0
50024,ENSG00000160050.14,ENSG00000160050,CCDC28B,chr1,protein_coding,1,0,0,0
51167,ENSG00000160062.14,ENSG00000160062,ZBTB8A,chr1,protein_coding,1,0,0,0
51913,ENSG00000116497.17,ENSG00000116497,S100PBP,chr1,protein_coding,1,0,0,0
52042,ENSG00000160097.15,ENSG00000160097,FNDC5,chr1,protein_coding,1,0,0,0
52116,ENSG00000121900.18,ENSG00000121900,TMEM54,chr1,protein_coding,1,0,0,0
55455,ENSG00000126070.19,ENSG00000126070,AGO3,chr1,protein_coding,1,0,0,0
55880,ENSG00000116871.15,ENSG00000116871,MAP7D1,chr1,protein_coding,1,0,0,0
58002,ENSG00000204084.12,ENSG00000204084,INPP5B,chr1,protein_coding,1,0,0,0
61116,ENSG00000043514.15,ENSG00000043514,TRIT1,chr1,protein_coding,1,0,0,0
62615,ENSG00000279667.1,ENSG00000279667,RP11-656D10.7,chr1,TEC,1,0,0,0
64207,ENSG00000198815.8,ENSG00000198815,FOXJ3,chr1,protein_coding,1,0,0,0
64447,ENSG00000066185.12,ENSG00000066185,ZMYND12,chr1,protein_coding,1,0,0,1
64975,ENSG00000065978.18,ENSG00000065978,YBX1,chr1,protein_coding,0,0,0,1
65395,ENSG00000177868.11,ENSG00000177868,SVBP,chr1,protein_coding,0,1,0,0
65422,ENSG00000164010.13,ENSG00000164010,ERMAP,chr1,protein_coding,0,0,1,0
69148,ENSG00000117411.16,ENSG00000117411,B4GALT2,chr1,protein_coding,1,0,0,0
69980,ENSG00000117419.14,ENSG00000117419,ERI3,chr1,protein_coding,1,0,0,0
73809,ENSG00000086015.20,ENSG00000086015,MAST2,chr1,protein_coding,1,0,0,0
74875,ENSG00000117481.10,ENSG00000117481,NSUN4,chr1,protein_coding,1,0,0,0
77602,ENSG00000186094.16,ENSG00000186094,AGBL4,chr1,protein_coding,0,0,0,1
78247,ENSG00000085831.15,ENSG00000085831,TTC39A,chr1,protein_coding,0,0,0,1
78863,ENSG00000117859.18,ENSG00000117859,OSBPL9,chr1,protein_coding,1,0,0,0
79617,ENSG00000078618.20,ENSG00000078618,NRDC,chr1,protein_coding,1,0,0,0
80120,ENSG00000134717.17,ENSG00000134717,BTF3L4,chr1,protein_coding,1,0,0,0
81238,ENSG00000162378.12,ENSG00000162378,ZYG11B,chr1,protein_coding,1,0,0,0
83017,ENSG00000058799.13,ENSG00000058799,YIPF1,chr1,protein_coding,1,0,0,0
84969,ENSG00000271723.5,ENSG00000271723,MROH7-TTC4,chr1,protein_coding,0,0,0,1
85255,ENSG00000006555.10,ENSG00000006555,TTC22,chr1,protein_coding,1,0,0,0
90914,ENSG00000158966.13,ENSG00000158966,CACHD1,chr1,protein_coding,0,1,0,0
91261,ENSG00000265996.1,ENSG00000265996,MIR3671,chr1,miRNA,0,0,1,0
91913,ENSG00000184588.17,ENSG00000184588,PDE4B,chr1,protein_coding,1,0,0,0
94694,ENSG00000197568.13,ENSG00000197568,HHLA3,chr1,protein_coding,1,0,0,0
94902,ENSG00000050628.20,ENSG00000050628,PTGER3,chr1,protein_coding,1,0,0,0
95456,ENSG00000172260.14,ENSG00000172260,NEGR1,chr1,protein_coding,1,0,0,0
97156,ENSG00000184005.10,ENSG00000184005,ST6GALNAC3,chr1,protein_coding,1,0,0,0
97251,ENSG00000142892.14,ENSG00000142892,PIGK,chr1,protein_coding,1,0,0,0
98772,ENSG00000162618.12,ENSG00000162618,ADGRL4,chr1,protein_coding,0,0,1,0
100812,ENSG00000117155.16,ENSG00000117155,SSX2IP,chr1,protein_coding,1,0,0,0
101157,ENSG00000162643.12,ENSG00000162643,WDR63,chr1,protein_coding,1,0,0,0
101758,ENSG00000117174.10,ENSG00000117174,ZNHIT6,chr1,protein_coding,1,0,0,0
103938,ENSG00000197147.12,ENSG00000197147,LRRC8B,chr1,protein_coding,1,0,0,0
104025,ENSG00000171488.14,ENSG00000171488,LRRC8C,chr1,protein_coding,0,1,0,1
104157,ENSG00000162664.16,ENSG00000162664,ZNF326,chr1,protein_coding,1,0,0,0
104644,ENSG00000097046.12,ENSG00000097046,CDC7,chr1,protein_coding,1,0,0,0
105623,ENSG00000273487.1,ENSG00000273487,RP4-621B10.8,chr1,lincRNA,0,1,0,0
106225,ENSG00000143033.17,ENSG00000143033,MTF2,chr1,protein_coding,1,0,0,0
106451,ENSG00000117500.12,ENSG00000117500,TMED5,chr1,protein_coding,1,0,0,0
107406,ENSG00000023909.9,ENSG00000023909,GCLM,chr1,protein_coding,1,0,0,0
108005,ENSG00000224081.8,ENSG00000224081,LINC01057,chr1,transcribed_processed_pseudogene,0,0,1,0
108600,ENSG00000231992.1,ENSG00000231992,RP11-57H12.2,chr1,sense_intronic,1,0,0,0
110208,ENSG00000156875.13,ENSG00000156875,MFSD14A,chr1,protein_coding,1,0,0,0
110812,ENSG00000181656.6,ENSG00000181656,GPR88,chr1,protein_coding,1,0,0,0
113512,ENSG00000085491.15,ENSG00000085491,SLC25A24,chr1,protein_coding,1,0,0,0
113869,ENSG00000162636.15,ENSG00000162636,FAM102B,chr1,protein_coding,1,0,0,0
116167,ENSG00000181754.6,ENSG00000181754,AMIGO1,chr1,protein_coding,1,0,0,0
118079,ENSG00000197106.6,ENSG00000197106,SLC6A17,chr1,protein_coding,1,0,0,0
120141,ENSG00000143110.11,ENSG00000143110,C1orf162,chr1,protein_coding,1,0,0,0
120596,ENSG00000143079.14,ENSG00000143079,CTTNBP2NL,chr1,protein_coding,1,0,0,0
123240,ENSG00000118655.4,ENSG00000118655,DCLRE1B,chr1,protein_coding,0,0,0,1
123806,ENSG00000197323.11,ENSG00000197323,TRIM33,chr1,protein_coding,1,0,0,0
125263,ENSG00000173218.14,ENSG00000173218,VANGL1,chr1,protein_coding,0,1,0,0
125516,ENSG00000163399.15,ENSG00000163399,ATP1A1,chr1,protein_coding,1,0,0,0
126580,ENSG00000065183.15,ENSG00000065183,WDR3,chr1,protein_coding,1,0,0,0
128230,ENSG00000226067.6,ENSG00000226067,LINC00623,chr1,lincRNA,1,0,0,0
128379,ENSG00000233029.3,ENSG00000233029,RP11-439A17.9,chr1,antisense,1,0,0,0
128562,ENSG00000231752.5,ENSG00000231752,EMBP1,chr1,transcribed_unprocessed_pseudogene,0,1,0,1
131037,ENSG00000211451.11,ENSG00000211451,GNRHR2,chr1,unitary_pseudogene,0,0,0,1
134892,ENSG00000178104.19,ENSG00000178104,PDE4DIP,chr1,protein_coding,1,0,0,0
136972,ENSG00000183598.3,ENSG00000183598,HIST2H3D,chr1,protein_coding,0,0,0,1
137109,ENSG00000178096.8,ENSG00000178096,BOLA1,chr1,protein_coding,1,0,0,0
137937,ENSG00000117362.12,ENSG00000117362,APH1A,chr1,protein_coding,1,0,0,0
140774,ENSG00000143458.11,ENSG00000143458,GABPB2,chr1,protein_coding,1,0,0,0
140848,ENSG00000261168.1,ENSG00000261168,RP11-68I18.10,chr1,sense_overlapping,1,0,0,0
141362,ENSG00000143398.19,ENSG00000143398,PIP5K1A,chr1,protein_coding,1,0,0,0
142423,ENSG00000237976.1,ENSG00000237976,RP11-126K1.6,chr1,antisense,1,0,0,0
143277,ENSG00000143367.15,ENSG00000143367,TUFT1,chr1,protein_coding,1,0,0,0
143543,ENSG00000159409.14,ENSG00000159409,CELF3,chr1,protein_coding,1,0,0,0
145457,ENSG00000196154.11,ENSG00000196154,S100A4,chr1,protein_coding,1,0,0,0
145650,ENSG00000189334.8,ENSG00000189334,S100A14,chr1,protein_coding,1,0,0,0
145938,ENSG00000143553.10,ENSG00000143553,SNAPIN,chr1,protein_coding,1,0,0,0
146508,ENSG00000143554.13,ENSG00000143554,SLC27A3,chr1,protein_coding,0,1,0,0
146839,ENSG00000198837.9,ENSG00000198837,DENND4B,chr1,protein_coding,1,0,0,0
149476,ENSG00000160710.15,ENSG00000160710,ADAR,chr1,protein_coding,1,0,0,0
151413,ENSG00000169242.11,ENSG00000169242,EFNA1,chr1,protein_coding,1,0,0,0
155407,ENSG00000203761.5,ENSG00000203761,MSTO2P,chr1,unprocessed_pseudogene,1,0,0,0
157600,ENSG00000160783.19,ENSG00000160783,PMF1,chr1,protein_coding,1,0,0,0
160507,ENSG00000027644.4,ENSG00000027644,INSRR,chr1,protein_coding,1,0,0,0
161736,ENSG00000183853.17,ENSG00000183853,KIRREL,chr1,protein_coding,1,0,0,0
162638,ENSG00000163565.18,ENSG00000163565,IFI16,chr1,protein_coding,1,0,0,0
163947,ENSG00000260766.1,ENSG00000260766,RP11-226L15.5,chr1,sense_overlapping,1,0,0,0
165430,ENSG00000066294.14,ENSG00000066294,CD84,chr1,protein_coding,0,0,1,0
166154,ENSG00000158769.17,ENSG00000158769,F11R,chr1,protein_coding,1,0,0,0
166739,ENSG00000162755.13,ENSG00000162755,KLHDC9,chr1,protein_coding,1,0,0,0
168661,ENSG00000248485.1,ENSG00000248485,PCP4L1,chr1,protein_coding,1,0,0,0
169261,ENSG00000162747.9,ENSG00000162747,FCGR3B,chr1,protein_coding,1,1,0,0
169776,ENSG00000118217.5,ENSG00000118217,ATF6,chr1,protein_coding,1,0,0,0
169820,ENSG00000229808.1,ENSG00000229808,RP11-456P18.2,chr1,transcribed_processed_pseudogene,1,0,0,0
171491,ENSG00000143171.12,ENSG00000143171,RXRG,chr1,protein_coding,1,0,0,0
174046,ENSG00000143155.12,ENSG00000143155,TIPRL,chr1,protein_coding,1,0,0,0
174285,ENSG00000143196.4,ENSG00000143196,DPT,chr1,protein_coding,0,0,0,1
174328,ENSG00000143153.12,ENSG00000143153,ATP1B1,chr1,protein_coding,0,1,0,0
174376,ENSG00000143156.13,ENSG00000143156,NME7,chr1,protein_coding,1,0,0,0
175762,ENSG00000075945.12,ENSG00000075945,KIFAP3,chr1,protein_coding,1,0,0,0
176624,ENSG00000117523.15,ENSG00000117523,PRRC2C,chr1,protein_coding,1,0,0,0
177448,ENSG00000233540.1,ENSG00000233540,DNM3-IT1,chr1,sense_intronic,1,0,0,0
177578,ENSG00000094975.13,ENSG00000094975,SUCO,chr1,protein_coding,1,0,0,0
178112,ENSG00000076321.10,ENSG00000076321,KLHL20,chr1,protein_coding,1,0,0,0
178837,ENSG00000152061.23,ENSG00000152061,RABGAP1L,chr1,protein_coding,1,0,0,0
179261,ENSG00000203737.3,ENSG00000203737,GPR52,chr1,protein_coding,1,0,0,0
179538,ENSG00000235750.9,ENSG00000235750,KIAA0040,chr1,protein_coding,1,0,1,0
180296,ENSG00000198797.6,ENSG00000198797,BRINP2,chr1,protein_coding,1,0,0,0
181195,ENSG00000116199.11,ENSG00000116199,FAM20B,chr1,protein_coding,1,0,0,0
182910,ENSG00000143324.13,ENSG00000143324,XPR1,chr1,protein_coding,1,0,0,0
184641,ENSG00000135828.11,ENSG00000135828,RNASEL,chr1,protein_coding,0,0,0,1
184681,ENSG00000143333.6,ENSG00000143333,RGS16,chr1,protein_coding,1,0,0,0
184700,ENSG00000135824.12,ENSG00000135824,RGS8,chr1,protein_coding,1,0,0,0
185490,ENSG00000116698.20,ENSG00000116698,SMG7,chr1,protein_coding,1,0,0,0
186526,ENSG00000135842.16,ENSG00000135842,FAM129A,chr1,protein_coding,1,0,0,0
186838,ENSG00000116679.15,ENSG00000116679,IVNS1ABP,chr1,protein_coding,1,0,0,0
187842,ENSG00000273129.1,ENSG00000273129,PACERR,chr1,lincRNA,0,1,0,0
188207,ENSG00000127074.14,ENSG00000127074,RGS13,chr1,protein_coding,1,0,0,0
188300,ENSG00000234473.1,ENSG00000234473,ZNF101P2,chr1,processed_pseudogene,1,0,0,0
189248,ENSG00000000971.15,ENSG00000000971,CFH,chr1,protein_coding,1,0,0,0
191525,ENSG00000118200.14,ENSG00000118200,CAMSAP2,chr1,protein_coding,1,0,0,0
195607,ENSG00000143858.11,ENSG00000143858,SYT2,chr1,protein_coding,1,0,0,0
195662,ENSG00000117139.16,ENSG00000117139,KDM5B,chr1,protein_coding,1,0,0,0
195933,ENSG00000183155.4,ENSG00000183155,RABIF,chr1,protein_coding,0,1,0,0
195943,ENSG00000117153.15,ENSG00000117153,KLHL12,chr1,protein_coding,1,0,0,0
196011,ENSG00000159346.12,ENSG00000159346,ADIPOR1,chr1,protein_coding,1,0,0,0
196204,ENSG00000143847.15,ENSG00000143847,PPFIA4,chr1,protein_coding,1,0,0,0
197038,ENSG00000058668.14,ENSG00000058668,ATP2B4,chr1,protein_coding,0,1,0,0
197257,ENSG00000058673.15,ENSG00000058673,ZC3H11A,chr1,protein_coding,1,0,0,0
199663,ENSG00000117222.13,ENSG00000117222,RBBP5,chr1,protein_coding,1,0,0,0
199740,ENSG00000133059.16,ENSG00000133059,DSTYK,chr1,protein_coding,1,0,0,0
201425,ENSG00000196550.10,ENSG00000196550,FAM72A,chr1,protein_coding,1,0,0,0
203031,ENSG00000180667.10,ENSG00000180667,YOD1,chr1,protein_coding,1,0,0,0
204699,ENSG00000076356.6,ENSG00000076356,PLXNA2,chr1,protein_coding,1,0,0,0
205264,ENSG00000009790.14,ENSG00000009790,TRAF3IP3,chr1,protein_coding,1,0,1,0
205868,ENSG00000082497.11,ENSG00000082497,SERTAD4,chr1,protein_coding,0,1,0,0
206712,ENSG00000123684.12,ENSG00000123684,LPGAT1,chr1,protein_coding,1,0,0,0
207078,ENSG00000143476.17,ENSG00000143476,DTL,chr1,protein_coding,0,0,0,1
209993,ENSG00000092978.10,ENSG00000092978,GPATCH2,chr1,protein_coding,1,0,0,0
210424,ENSG00000136628.17,ENSG00000136628,EPRS,chr1,protein_coding,1,0,0,0
210771,ENSG00000067704.9,ENSG00000067704,IARS2,chr1,protein_coding,1,0,0,0
211725,ENSG00000154305.16,ENSG00000154305,MIA3,chr1,protein_coding,1,0,0,0
213125,ENSG00000185495.10,ENSG00000185495,RP11-504P24.3,chr1,transcribed_unprocessed_pseudogene,1,0,0,0
213162,ENSG00000143756.11,ENSG00000143756,FBXO28,chr1,protein_coding,1,0,0,0
213755,ENSG00000143771.11,ENSG00000143771,CNIH4,chr1,protein_coding,1,0,0,0
215365,ENSG00000243709.1,ENSG00000243709,LEFTY1,chr1,protein_coding,0,1,0,0
216418,ENSG00000143776.18,ENSG00000143776,CDC42BPA,chr1,protein_coding,1,0,0,0
217042,ENSG00000181450.17,ENSG00000181450,ZNF678,chr1,protein_coding,1,0,0,0
219678,ENSG00000154370.14,ENSG00000154370,TRIM11,chr1,protein_coding,1,0,0,0
220438,ENSG00000228058.1,ENSG00000228058,RP11-552D4.1,chr1,lincRNA,0,0,1,0
221584,ENSG00000116903.7,ENSG00000116903,EXOC8,chr1,protein_coding,1,0,0,0
222579,ENSG00000135778.11,ENSG00000135778,NTPCR,chr1,protein_coding,0,0,0,1
223469,ENSG00000173726.10,ENSG00000173726,TOMM20,chr1,protein_coding,1,0,0,0
224873,ENSG00000086619.13,ENSG00000086619,ERO1B,chr1,protein_coding,1,0,0,0
225020,ENSG00000116977.18,ENSG00000116977,LGALS8,chr1,protein_coding,1,0,0,0
225475,ENSG00000119285.10,ENSG00000119285,HEATR1,chr1,protein_coding,1,0,0,0
227475,ENSG00000203668.2,ENSG00000203668,CHML,chr1,protein_coding,1,0,0,0
228883,ENSG00000226766.1,ENSG00000226766,FABP7P1,chr1,processed_pseudogene,1,0,0,0
229692,ENSG00000162849.15,ENSG00000162849,KIF26B,chr1,protein_coding,0,0,0,1
230848,ENSG00000162711.16,ENSG00000162711,NLRP3,chr1,protein_coding,0,0,1,0
231319,ENSG00000238243.3,ENSG00000238243,OR2W3,chr1,protein_coding,1,0,0,0
232105,ENSG00000185220.11,ENSG00000185220,PGBD2,chr1,protein_coding,0,1,0,0
233131,ENSG00000172554.11,ENSG00000172554,SNTG2,chr2,protein_coding,0,1,0,0
233623,ENSG00000130508.10,ENSG00000130508,PXDN,chr2,protein_coding,1,0,0,0
235131,ENSG00000176887.6,ENSG00000176887,SOX11,chr2,protein_coding,0,0,0,1
235625,ENSG00000225964.5,ENSG00000225964,NRIR,chr2,antisense,1,0,0,0
235635,ENSG00000134326.11,ENSG00000134326,CMPK2,chr2,protein_coding,0,0,0,1
235758,ENSG00000151692.14,ENSG00000151692,RNF144A,chr2,protein_coding,1,0,0,0
235927,ENSG00000236790.5,ENSG00000236790,LINC00299,chr2,lincRNA,1,0,0,0
235986,ENSG00000235092.5,ENSG00000235092,ID2-AS1,chr2,antisense,1,0,0,0
236057,ENSG00000134313.14,ENSG00000134313,KIDINS220,chr2,protein_coding,1,0,0,0
238133,ENSG00000115758.12,ENSG00000115758,ODC1,chr2,protein_coding,1,0,0,0
238411,ENSG00000143882.10,ENSG00000143882,ATP6V1C2,chr2,protein_coding,0,1,0,0
242781,ENSG00000143869.6,ENSG00000143869,GDF7,chr2,protein_coding,1,0,0,0
244130,ENSG00000198399.14,ENSG00000198399,ITSN2,chr2,protein_coding,1,0,0,0
244905,ENSG00000184924.5,ENSG00000184924,PTRHD1,chr2,protein_coding,1,0,0,0
248269,ENSG00000084764.10,ENSG00000084764,MAPRE3,chr2,protein_coding,1,0,0,0
248605,ENSG00000084693.15,ENSG00000084693,AGBL5,chr2,protein_coding,1,0,0,0
250174,ENSG00000163794.6,ENSG00000163794,UCN,chr2,protein_coding,1,0,0,0
251013,ENSG00000115234.10,ENSG00000115234,SNX17,chr2,protein_coding,1,0,0,0
251960,ENSG00000084734.8,ENSG00000084734,GCKR,chr2,protein_coding,1,0,1,0
253825,ENSG00000213639.9,ENSG00000213639,PPP1CB,chr2,protein_coding,1,0,0,0
255622,ENSG00000013016.15,ENSG00000013016,EHD3,chr2,protein_coding,1,0,0,0
256770,ENSG00000276334.1,ENSG00000276334,AL133243.1,chr2,sense_intronic,1,0,0,0
258227,ENSG00000205221.12,ENSG00000205221,VIT,chr2,protein_coding,1,0,0,0
258462,ENSG00000279519.1,ENSG00000279519,RP11-288C18.1,chr2,TEC,1,0,0,0
258924,ENSG00000218739.9,ENSG00000218739,CEBPZOS,chr2,protein_coding,1,0,0,0
260066,ENSG00000119787.13,ENSG00000119787,ATL2,chr2,protein_coding,1,0,0,0
260362,ENSG00000231367.5,ENSG00000231367,AC016995.3,chr2,lincRNA,1,0,0,0
261698,ENSG00000011566.14,ENSG00000011566,MAP4K3,chr2,protein_coding,1,0,0,0
263086,ENSG00000171126.7,ENSG00000171126,KCNG3,chr2,protein_coding,1,0,0,0
264215,ENSG00000152527.13,ENSG00000152527,PLEKHH2,chr2,protein_coding,1,0,0,0
265255,ENSG00000138078.15,ENSG00000138078,PREPL,chr2,protein_coding,1,0,0,0
265990,ENSG00000171132.13,ENSG00000171132,PRKCE,chr2,protein_coding,1,0,0,0
266395,ENSG00000151665.12,ENSG00000151665,PIGF,chr2,protein_coding,1,0,0,0
266496,ENSG00000171150.7,ENSG00000171150,SOCS5,chr2,protein_coding,0,1,0,0
273675,ENSG00000222030.1,ENSG00000222030,AC007131.1,chr2,lincRNA,1,0,0,0
273892,ENSG00000115421.12,ENSG00000115421,PAPOLG,chr2,protein_coding,1,0,0,0
274104,ENSG00000162924.13,ENSG00000162924,REL,chr2,protein_coding,1,0,0,0
276008,ENSG00000170340.10,ENSG00000170340,B3GNT2,chr2,protein_coding,1,0,0,0
277779,ENSG00000119862.12,ENSG00000119862,LGALSL,chr2,protein_coding,1,0,0,0
277855,ENSG00000119844.15,ENSG00000119844,AFTPH,chr2,protein_coding,1,0,0,0
278276,ENSG00000138071.13,ENSG00000138071,ACTR2,chr2,protein_coding,1,0,0,0
279337,ENSG00000119865.8,ENSG00000119865,CNRIP1,chr2,protein_coding,1,0,0,0
280043,ENSG00000198380.12,ENSG00000198380,GFPT1,chr2,protein_coding,1,0,0,0
285961,ENSG00000116096.5,ENSG00000116096,SPR,chr2,protein_coding,0,0,0,1
286022,ENSG00000144040.12,ENSG00000144040,SFXN5,chr2,protein_coding,1,0,0,0
286682,ENSG00000163013.11,ENSG00000163013,FBXO41,chr2,protein_coding,1,0,0,0
286782,ENSG00000135625.7,ENSG00000135625,EGR4,chr2,protein_coding,1,0,0,0
297580,ENSG00000231351.2,ENSG00000231351,AC111200.7,chr2,processed_pseudogene,1,0,0,0
297824,ENSG00000125551.18,ENSG00000125551,PLGLB2,chr2,protein_coding,1,0,0,0
299977,ENSG00000115042.9,ENSG00000115042,FAHD2A,chr2,protein_coding,0,0,0,1
301072,ENSG00000135956.8,ENSG00000135956,TMEM127,chr2,protein_coding,1,0,0,0
301110,ENSG00000144021.2,ENSG00000144021,CIAO1,chr2,protein_coding,0,1,0,0
301682,ENSG00000114982.17,ENSG00000114982,KANSL3,chr2,protein_coding,1,0,0,0
303259,ENSG00000144199.11,ENSG00000144199,FAHD2B,chr2,protein_coding,0,0,0,1
304954,ENSG00000075568.16,ENSG00000075568,TMEM131,chr2,protein_coding,1,0,0,0
305116,ENSG00000168658.18,ENSG00000168658,VWA3B,chr2,protein_coding,1,0,0,0
307930,ENSG00000170500.12,ENSG00000170500,LONRF2,chr2,protein_coding,1,0,0,0
310199,ENSG00000115602.16,ENSG00000115602,IL1RL1,chr2,protein_coding,0,0,1,0
310338,ENSG00000115604.10,ENSG00000115604,IL18R1,chr2,protein_coding,1,0,0,0
315565,ENSG00000172965.14,ENSG00000172965,MIR4435-2HG,chr2,lincRNA,0,0,0,1
316242,ENSG00000153214.9,ENSG00000153214,TMEM87B,chr2,protein_coding,1,0,0,0
316437,ENSG00000278962.1,ENSG00000278962,RP11-399B17.1,chr2,TEC,1,0,0,0
316538,ENSG00000188177.13,ENSG00000188177,ZC3H6,chr2,protein_coding,1,0,0,0
318397,ENSG00000136682.14,ENSG00000136682,CBWD2,chr2,protein_coding,1,0,0,0
318637,ENSG00000225398.3,ENSG00000225398,PGM5P4,chr2,unprocessed_pseudogene,1,0,0,0
319127,ENSG00000115091.11,ENSG00000115091,ACTR3,chr2,protein_coding,1,0,0,0
319965,ENSG00000125629.14,ENSG00000125629,INSIG2,chr2,protein_coding,1,0,0,0
320565,ENSG00000163075.12,ENSG00000163075,CFAP221,chr2,protein_coding,1,0,0,0
323665,ENSG00000169967.16,ENSG00000169967,MAP3K2,chr2,protein_coding,1,0,0,0
325240,ENSG00000136731.12,ENSG00000136731,UGGT1,chr2,protein_coding,1,0,0,0
326318,ENSG00000152082.13,ENSG00000152082,MZT2B,chr2,protein_coding,1,0,0,0
327345,ENSG00000233221.6,ENSG00000233221,AC133785.1,chr2,antisense,1,0,0,0
327352,ENSG00000136002.17,ENSG00000136002,ARHGEF4,chr2,protein_coding,1,0,0,0
328452,ENSG00000274353.1,ENSG00000274353,RP11-788A1.1,chr2,unprocessed_pseudogene,1,0,0,0
328456,ENSG00000229203.1,ENSG00000229203,AC103564.7,chr2,lincRNA,1,0,0,0
328902,ENSG00000152127.8,ENSG00000152127,MGAT5,chr2,protein_coding,1,0,0,0
329115,ENSG00000082258.12,ENSG00000082258,CCNT2,chr2,protein_coding,1,0,0,0
329494,ENSG00000115839.17,ENSG00000115839,RAB3GAP1,chr2,protein_coding,1,0,0,0
331136,ENSG00000150540.13,ENSG00000150540,HNMT,chr2,protein_coding,1,0,0,0
335334,ENSG00000080345.17,ENSG00000080345,RIF1,chr2,protein_coding,1,0,0,0
338762,ENSG00000182389.19,ENSG00000182389,CACNB4,chr2,protein_coding,1,0,0,0
340585,ENSG00000196504.15,ENSG00000196504,PRPF40A,chr2,protein_coding,1,0,0,0
341965,ENSG00000115170.13,ENSG00000115170,ACVR1,chr2,protein_coding,1,0,0,1
342890,ENSG00000115183.13,ENSG00000115183,TANC1,chr2,protein_coding,1,0,0,0
343138,ENSG00000123636.17,ENSG00000123636,BAZ2B,chr2,protein_coding,1,0,0,0
343498,ENSG00000136536.14,ENSG00000136536,MARCH7,chr2,protein_coding,1,0,0,0
345042,ENSG00000144290.16,ENSG00000144290,SLC4A10,chr2,protein_coding,1,0,0,0
