Feature	seqnames	start	end	width	gencodeID	ensemblID	Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	SE	B	Type	Direction	Tissue	Chrom_Type
chr21:8215939-8216572:-	chr21	8215939	8216572	634				4.23069874761658	-3.83917010280671	5.90349962099805	8.43588352828884e-09	0.0001447336101064	0.239957984883877	5.7131577933891	Junction	1.0	DLPFC	Autosome
chr21:8218426-8401464:-	chr21	8218426	8401464	183039				5.20743434498893	-3.31126638869379	5.81528283930968	1.36814066595651e-08	0.0002133913871977	0.294101155429885	6.02884629904692	Junction	1.0	DLPFC	Autosome
chr21:8401549-8445428:-	chr21	8401549	8445428	43880				-5.63849666221292	-4.11113837513742	-5.77216395704541	1.72936751445624e-08	0.0002472548792397	0.106813708014344	4.79718430701243	Junction	-1.0	DLPFC	Autosome
chr21:8254148-8255171:-	chr21	8254148	8255171	1024				5.59383775579715	-2.82943011025767	5.62366717485917	3.83553865795138e-08	0.0005061996400046	0.23656169516498	6.89105239770647	Junction	1.0	DLPFC	Autosome
chr21:8214342-8258382:+	chr21	8214342	8258382	44041				4.99176848904609	-3.29167989263882	5.59253258721906	4.52342602144129e-08	0.000554342627909	0.126018277117225	6.42512027979192	Junction	1.0	DLPFC	Autosome
chr21:8399019-8399192:-	chr21	8399019	8399192	174				-5.302130171267	-3.90958787689394	-5.57871242353007	4.86595890280483e-08	0.0005565651353302	0.221050880710324	4.76406989242302	Junction	-1.0	DLPFC	Autosome
chr21:8393333-8437545:-	chr21	8393333	8437545	44213				3.35809169860476	-3.45677087262339	5.4681429230717	8.68127333428971e-08	0.0009308983654317	0.266159796634971	4.96891572579483	Junction	1.0	DLPFC	Autosome
chr21:8437354-8438397:-	chr21	8437354	8438397	1044				4.11878485811937	-3.40936223081028	5.44076256613866	1.00053317496155e-07	0.0009696112037604	0.213917921305727	5.16365337855183	Junction	1.0	DLPFC	Autosome
chr21:8399243-8443480:+	chr21	8399243	8443480	44238				-4.41621700320053	-3.35888279846007	-5.43755778362209	1.01725845972686e-07	0.0009696112037604	0.188901903663553	4.8058780425681	Junction	-1.0	DLPFC	Autosome
chr21:8218515-8401363:-	chr21	8218515	8401363	182849				5.41196761831528	-4.03624603762591	5.39639080404293	1.25782356204476e-07	0.0011358080564024	0.18355994699266	3.59010729182077	Junction	1.0	DLPFC	Autosome
chr21:8394224-8438432:-	chr21	8394224	8438432	44209				8.10829619761031	-2.22464931352893	5.33627766008379	1.71097620833813e-07	0.0014677523854418	0.206077214290811	6.18276830055484	Junction	1.0	DLPFC	Autosome
chr21:8442842-8443489:-	chr21	8442842	8443489	648				4.81090439905426	-4.10664950356306	5.29557364991223	2.10403508926517e-07	0.0017189866487149	0.190979614199024	3.31472572777015	Junction	1.0	DLPFC	Autosome
chr21:8393656-8394016:-	chr21	8393656	8394016	361				-5.17551761752092	-3.81354858784177	-5.23017070909929	2.92561766050163e-07	0.0022665894787594	0.157142932736899	3.34787398437489	Junction	-1.0	DLPFC	Autosome
chr21:8401276-8445510:-	chr21	8401276	8445510	44235				4.92271547494173	-3.56245137706353	5.22261684958142	3.03851849759958e-07	0.0022665894787594	0.14926216626758	4.00341048114501	Junction	1.0	DLPFC	Autosome
chr21:8399297-8443534:-	chr21	8399297	8443534	44238				3.57999504124987	-4.17180154083675	5.2090927023094	3.25129291438849e-07	0.0023005508323103	0.267410891018222	2.93002762981201	Junction	1.0	DLPFC	Autosome
chr21:8400687-8444922:+	chr21	8400687	8444922	44236				7.09361941246515	-2.60089980747228	5.20297491150333	3.35222393368028e-07	0.0023005508323103	0.131735983368773	5.57787221398379	Junction	1.0	DLPFC	Autosome
chr21:8437287-8438071:-	chr21	8437287	8438071	785				3.62375934922542	-3.69399935397352	5.15030164197086	4.35644930933833e-07	0.002874737121361	0.223265626470457	3.45658191948888	Junction	1.0	DLPFC	Autosome
chr21:8214279-8258487:-	chr21	8214279	8258487	44209				3.56727242864422	-4.13657102789415	5.1290652004748	4.83897307739968e-07	0.0030748806367273	0.166599292018968	2.44124256901198	Junction	1.0	DLPFC	Autosome
chr12:49128081-49185063:-	chr12	49128081	49185063	56983				-4.01058973998911	-2.28823535883109	-5.12032045970545	5.05237107238402e-07	0.0030958223304209	0.167698112557502	4.97822456635078	Junction	-1.0	DLPFC	Autosome
chr21:8214317-8258421:-	chr21	8214317	8258421	44105				4.1193444523892	-2.99314065152695	5.09667502368321	5.67604009718623e-07	0.0033580431842556	0.198987475276179	3.88129538379316	Junction	1.0	DLPFC	Autosome
chr21:8210193-8254400:+	chr21	8210193	8254400	44208				4.61794781289604	-3.85650650330194	5.08546381488717	5.99719428741998e-07	0.0034297754223278	0.116559675973965	2.97401225301487	Junction	1.0	DLPFC	Autosome
chr21:8398493-8398655:-	chr21	8398493	8398655	163				6.04150305996352	-3.79937706906568	5.06007514458568	6.79082411101571e-07	0.0037583706512995	0.134563824278702	3.63685210788745	Junction	1.0	DLPFC	Autosome
chr21:8441630-8441822:+	chr21	8441630	8441822	193				-5.06515006573828	-3.90247812177449	-5.01436700128377	8.48302798738491e-07	0.0045482019648988	0.115716656521159	2.47655346702934	Junction	-1.0	DLPFC	Autosome
chr21:8401487-8445715:-	chr21	8401487	8445715	44229				5.25100708146978	-3.4190137188253	4.98144573995237	9.94748602078255e-07	0.0051717582699989	0.126737172226208	3.7538270084373	Junction	1.0	DLPFC	Autosome
chr21:8443095-8443198:-	chr21	8443095	8443198	104				-3.58765262014145	-4.1944060873072	-4.93784575508573	1.22672976214042e-06	0.0061902587811961	0.124327906897358	1.84852066102005	Junction	-1.0	DLPFC	Autosome
chr21:8399853-8400488:-	chr21	8399853	8400488	636				4.3061946853263	-3.97341839856397	4.8520853629888	1.84476369534122e-06	0.0090429789270285	0.113272813305352	2.33732511168099	Junction	1.0	DLPFC	Autosome
chr21:8210821-8255029:-	chr21	8210821	8255029	44209				3.30485153905253	-2.60505328823623	4.75259794596697	2.94012004683331e-06	0.0140120404531985	0.126980525344614	3.3833255987101	Junction	1.0	DLPFC	Autosome
chr21:8214307-8258456:+	chr21	8214307	8258456	44150				5.17539344293988	-3.27347729609679	4.73886563653756	3.13357863887195e-06	0.0145304041484492	0.120265949288644	2.9595667814475	Junction	1.0	DLPFC	Autosome
chr21:8218641-8218999:-	chr21	8218641	8218999	359				-3.29003727090372	-4.15113599965404	-4.72851209869573	3.28748693047972e-06	0.014842916978302	0.123554411134082	1.01012312853692	Junction	-1.0	DLPFC	Autosome
chr21:8401242-8445286:+	chr21	8401242	8445286	44045				2.85172388226759	-2.96331836651758	4.71701440460793	3.46693444477067e-06	0.0152517557885861	0.134356225499987	2.07360661798728	Junction	1.0	DLPFC	Autosome
chr21:8400884-8444806:-	chr21	8400884	8444806	43923				4.91970502273925	-2.3250768584168	4.69885681297129	3.76968170395107e-06	0.0157974093697071	0.122912585666582	3.36553358704197	Junction	1.0	DLPFC	Autosome
chr21:8400762-8444771:-	chr21	8400762	8444771	44010				4.16215868361626	-3.48447613746133	4.69854358156533	3.77512128740035e-06	0.0157974093697071	0.101124890918343	2.53472427908801	Junction	1.0	DLPFC	Autosome
chr21:8254246-8255126:-	chr21	8254246	8255126	881				-3.16338507100203	-3.85181107190617	-4.66748300275994	4.3537295199594e-06	0.0175101734537719	0.113425799400508	1.48710556816546	Junction	-1.0	DLPFC	Autosome
chr21:8442794-8443503:-	chr21	8442794	8443503	710				-4.03688571109666	-3.83447996876781	-4.66022504635084	4.50075145597185e-06	0.0175101734537719	0.15014206454832	2.18282551999844	Junction	-1.0	DLPFC	Autosome
chr21:8214342-8258410:-	chr21	8214342	8258410	44069				-2.5938247619991	-4.07879571697826	-4.6540022107926	4.63059837590473e-06	0.0175101734537719	0.16374142709535	1.00321063747597	Junction	-1.0	DLPFC	Autosome
chr21:8436922-8437784:-	chr21	8436922	8437784	863				2.80413439628611	-3.46436074615917	4.65359006109032	4.63932444781581e-06	0.0175101734537719	0.149146696019102	1.98723439764498	Junction	1.0	DLPFC	Autosome
chr21:8216514-8216597:-	chr21	8216514	8216597	84				-3.90872495848303	-4.09177758580264	-4.65099100335943	4.6947174540477e-06	0.0175101734537719	0.138992402293938	1.15077602193912	Junction	-1.0	DLPFC	Autosome
chr21:8393998-8438106:-	chr21	8393998	8438106	44109				3.3551099942357	-4.05879956618728	4.63134236091953	5.13456172709413e-06	0.018426210663245	0.170677187092172	1.58653204454601	Junction	1.0	DLPFC	Autosome
chr21:8401981-8446219:-	chr21	8401981	8446219	44239				3.96983531869301	-2.64672277938076	4.63046426026984	5.15511608644777e-06	0.018426210663245	0.122173747736771	2.7920655722315	Junction	1.0	DLPFC	Autosome
chr21:8254202-8255275:-	chr21	8254202	8255275	1074				3.418212919119	-3.33908048520302	4.61496376269552	5.53124211536572e-06	0.0193671362957384	0.115553469895482	2.13590626629591	Junction	1.0	DLPFC	Autosome
chr21:8398679-8442912:-	chr21	8398679	8442912	44234				4.51613091139832	-3.09450530533391	4.60818596505264	5.70387476349473e-06	0.0195721617859605	0.107793991189246	2.06396876158774	Junction	1.0	DLPFC	Autosome
chr21:8258322-8258456:+	chr21	8258322	8258456	135				-6.1616896309784	-1.68377252516414	-4.58374425924917	6.37045656986722e-06	0.021430840455599	0.123173180784768	3.42353845720046	Junction	-1.0	DLPFC	Autosome
chr21:8397294-8441518:+	chr21	8397294	8441518	44225				-5.41436080880465	-3.41251924938598	-4.55927182155711	7.11253769901483e-06	0.0232459949068139	0.1221384477495	2.30989438630921	Junction	-1.0	DLPFC	Autosome
chr21:8398489-8398606:-	chr21	8398489	8398606	118				4.51357550352735	-3.71950386377202	4.55646364118065	7.20281916648127e-06	0.0232459949068139	0.161029320602367	1.82734331559393	Junction	1.0	DLPFC	Autosome
chr21:8214366-8258388:-	chr21	8214366	8258388	44023				3.9221727813586	-4.05308347941285	4.54889609824878	7.45162437744463e-06	0.0232459949068139	0.100570956572663	1.58381361482719	Junction	1.0	DLPFC	Autosome
chr21:8214361-8258364:+	chr21	8214361	8258364	44004				4.07066554084605	-3.62899123509236	4.54888528848245	7.451985614387e-06	0.0232459949068139	0.149499191438659	2.45811273719163	Junction	1.0	DLPFC	Autosome
chr21:8398732-8442972:-	chr21	8398732	8442972	44241				-3.27242805482379	-3.84021072048576	-4.52418727672158	8.32277130166355e-06	0.0252305134081057	0.128662792592218	1.47313248773858	Junction	-1.0	DLPFC	Autosome
chr21:8442718-8442835:-	chr21	8442718	8442835	118				4.1025944663958	-3.32197841853225	4.52192514758612	8.40723927447841e-06	0.0252305134081057	0.191645211652012	2.24733376947636	Junction	1.0	DLPFC	Autosome
chr21:8401675-8401760:-	chr21	8401675	8401760	86				-3.7572519133926	-4.04424525383332	-4.51869352911181	8.52933675471753e-06	0.0252305134081057	0.185807220303738	0.896129209490289	Junction	-1.0	DLPFC	Autosome
chr21:8400992-8401089:-	chr21	8400992	8401089	98				-6.17928787649828	-3.35765675138009	-4.49744471010863	9.37558608741872e-06	0.0272637276174973	0.183451233407541	2.1531248241673	Junction	-1.0	DLPFC	Autosome
chr21:8393993-8438096:-	chr21	8393993	8438096	44104				4.99219622791974	-3.84414519420981	4.47780457491875	1.02289661263237e-05	0.0287918312309042	0.106058857838677	1.68711363875346	Junction	1.0	DLPFC	Autosome
chr21:8437217-8437811:-	chr21	8437217	8437811	595				-2.79448454326304	-4.09529356452296	-4.47763370493924	1.0236707709931e-05	0.0287918312309042	0.187808470850522	1.16315970247585	Junction	-1.0	DLPFC	Autosome
chr21:37150171-37150819:-	chr21	37150171	37150819	649				1.20008835597248	-2.12387361176714	4.46304836576467	1.09186439871196e-05	0.0299025988863217	0.314534880369399	2.58318232655947	Junction	1.0	DLPFC	Autosome
chr21:8401584-8445528:-	chr21	8401584	8445528	43945				5.18432444374962	-3.69054065463355	4.46177488749062	1.09802104683146e-05	0.0299025988863217	0.205156670198603	1.70720080070146	Junction	1.0	DLPFC	Autosome
chr21:8437492-8437726:-	chr21	8437492	8437726	235				2.97230987945732	-3.11596935634278	4.45819093778648	1.11552687422535e-05	0.0299046609818702	0.304937604900693	2.10000941311988	Junction	1.0	DLPFC	Autosome
chr21:8442519-8442623:-	chr21	8442519	8442623	105				2.7952129488611	-2.66186572426407	4.43535967161995	1.23349023072697e-05	0.0316263167283597	0.146503441639053	1.97932400611142	Junction	1.0	DLPFC	Autosome
chr21:8218941-8401754:-	chr21	8218941	8401754	182814				-3.54607591508211	-3.7475781393503	-4.43474748841428	1.23681221934602e-05	0.0316263167283597	0.166031814205571	0.98051129250381	Junction	-1.0	DLPFC	Autosome
chr21:8399728-8400511:-	chr21	8399728	8400511	784				-4.15146486531567	-3.6658451053338	-4.43170040203139	1.25347506784735e-05	0.0316263167283597	0.177128376071637	1.45848713557075	Junction	-1.0	DLPFC	Autosome
chr21:8441382-8441575:-	chr21	8441382	8441575	194				-3.35113488743967	-4.2306439236219	-4.43169882422951	1.25348375145187e-05	0.0316263167283597	0.165602622003032	0.57668315746824	Junction	-1.0	DLPFC	Autosome
chr21:8398353-8442045:+	chr21	8398353	8442045	43693				5.65504010313362	-2.9946955012857	4.40907867581719	1.38408390042612e-05	0.0344153464800303	0.134750449269108	1.88077121581834	Junction	1.0	DLPFC	Autosome
chr21:8442574-8442663:-	chr21	8442574	8442663	90				-3.02659415535045	-4.20519659650095	-4.40024606500637	1.43853817770658e-05	0.0346526553031227	0.150698070725932	0.656658569174098	Junction	-1.0	DLPFC	Autosome
chr21:8442971-8443226:-	chr21	8442971	8443226	256				-4.02818331416451	-3.81039995722784	-4.3983805923104	1.45029866436029e-05	0.0346526553031227	0.16053344403161	0.922669585008039	Junction	-1.0	DLPFC	Autosome
chr21:8401584-8445544:-	chr21	8401584	8445544	43961				-3.01986992170015	-4.04076902312681	-4.39725055909965	1.4574674493817e-05	0.0346526553031227	0.147341868734351	0.499199594470775	Junction	-1.0	DLPFC	Autosome
chr21:8216488-8216611:-	chr21	8216488	8216611	124				4.02333447920276	-3.42594985030552	4.39188027575874	1.49200220862199e-05	0.0346526553031227	0.144486913584463	1.62338475011288	Junction	1.0	DLPFC	Autosome
chr21:8399632-8399718:-	chr21	8399632	8399718	87				-6.4182873462629	-3.29888711668313	-4.39147879155996	1.49461528156665e-05	0.0346526553031227	0.147000722392676	1.56209958865694	Junction	-1.0	DLPFC	Autosome
chr21:8399844-8400481:-	chr21	8399844	8400481	638				-3.84081797859764	-3.21302794175554	-4.38049806451803	1.56780664219133e-05	0.0356144442426777	0.132052701554562	1.80309121323521	Junction	-1.0	DLPFC	Autosome
chr21:8214318-8258538:+	chr21	8214318	8258538	44221				-7.70814202849103	0.896072173034789	-4.37906403381021	1.57761469871801e-05	0.0356144442426777	0.134262210370608	2.70800145500101	Junction	-1.0	DLPFC	Autosome
chr21:8210667-8254875:-	chr21	8210667	8254875	44209				2.77587797347329	-3.11556631084724	4.36400022791843	1.68425688857979e-05	0.0375280870281488	0.158484770729655	1.84582970607065	Junction	1.0	DLPFC	Autosome
chr21:8398531-8442685:-	chr21	8398531	8442685	44155				4.96002684235612	-2.46900757004868	4.35901311289128	1.72105812164822e-05	0.0378564385734696	0.216306753500976	1.87813999796405	Junction	1.0	DLPFC	Autosome
chr21:8393692-8437904:-	chr21	8393692	8437904	44213				3.70269831683234	-3.64008274368947	4.34409098462016	1.83582488817186e-05	0.0398697012960452	0.13651233624903	1.06967117950798	Junction	1.0	DLPFC	Autosome
chr21:8216488-8216611:+	chr21	8216488	8216611	124				5.50758375479087	-3.03428120280496	4.33396192114902	1.91786151139307e-05	0.0411306977060248	0.132943644772463	1.8940164991272	Junction	1.0	DLPFC	Autosome
chr21:8399813-8443944:-	chr21	8399813	8443944	44132				-5.93994791113001	-3.54498212216055	-4.32385469561518	2.00320963089768e-05	0.0424307003905536	0.109776432075346	0.610859999204446	Junction	-1.0	DLPFC	Autosome
chr21:8437233-8438587:-	chr21	8437233	8438587	1355				2.61465678999833	-3.58106260676341	4.31768054722464	2.05712027023226e-05	0.0426715232694578	0.110995214190298	0.685638907135061	Junction	1.0	DLPFC	Autosome
chr21:8209934-8211010:-	chr21	8209934	8211010	1077				4.7625892354974	-4.02168566240523	4.31686751913198	2.06432189461092e-05	0.0426715232694578	0.112726001770648	0.628467420773335	Junction	1.0	DLPFC	Autosome
chr21:8437179-8438456:-	chr21	8437179	8438456	1278				6.27765676280479	-2.47893639338019	4.2956294337852	2.2612141164508e-05	0.0460827180701388	0.133850899887162	2.12004255388736	Junction	1.0	DLPFC	Autosome
chr21:8437345-8438390:-	chr21	8437345	8438390	1046				3.19579559870914	-2.4511160428222	4.29338250627227	2.28306456059183e-05	0.0460827180701388	0.175414083505297	2.07290642342789	Junction	1.0	DLPFC	Autosome
chr21:8209835-8254041:-	chr21	8209835	8254041	44207				4.46293935163573	-3.51540062266587	4.28448950398827	2.37154155848576e-05	0.0468602950676124	0.15165107998446	0.904889505329	Junction	1.0	DLPFC	Autosome
chr21:8399752-8400778:-	chr21	8399752	8400778	1027				-4.7762332960131	-3.52511618208022	-4.28402878153763	2.37621345982216e-05	0.0468602950676124	0.147980603497095	1.21786636584102	Junction	-1.0	DLPFC	Autosome
chr21:8214283-8258507:+	chr21	8214283	8258507	44225				6.28339654572288	-2.34739093190675	4.27201449153325	2.50119437730207e-05	0.048764479331743	0.272731419617787	1.65145721492977	Junction	1.0	DLPFC	Autosome
chr21:8437335-8438154:-	chr21	8437335	8438154	820				2.94447072892915	-4.04458160174112	4.26683503095816	2.5569903472764e-05	0.0492921659429061	0.185671431334289	0.422869983412852	Junction	1.0	DLPFC	Autosome
chr21:8399438-8443396:-	chr21	8399438	8443396	43959				-5.00980319826419	-3.49701373599426	-6.80966802438987	4.07046415631287e-11	6.90786260575389e-06	0.224894662990903	8.47220281087798	Junction	-1.0	Hippocampus	Autosome
chr21:8437298-8438184:+	chr21	8437298	8438184	887				3.5865602128194	-2.61400615701699	6.04262913105402	3.76143672407812e-09	0.0003191710710665	0.279531270917635	7.68076802665316	Junction	1.0	Hippocampus	Autosome
chr21:8216567-8216703:+	chr21	8216567	8216703	137				6.242378097397	-2.96896674545901	5.79119839560565	1.51526486392492e-08	0.0008571701808736	0.324821096881673	6.75543535487668	Junction	1.0	Hippocampus	Autosome
chr21:8218942-8401986:-	chr21	8218942	8401986	183045				-3.70351304389467	-3.18575161746608	-5.66728815090721	2.96031126912979e-08	0.0012559638613755	0.262046977156487	5.01465013854391	Junction	-1.0	Hippocampus	Autosome
chr21:8258363-8260874:-	chr21	8258363	8260874	2512				4.49208580551149	-3.55504099582151	5.60690326151453	4.08591547070821e-08	0.0013868169135749	0.286325188242844	5.4427078139237	Junction	1.0	Hippocampus	Autosome
chrX:140784327-140784456:+	chrX	140784327	140784456	130	ENSG00000223972.5	ENSG00000223972	DDX11L1	3.46090854707885	-2.34769974660262	5.50476130841203	7.00379966394907e-08	0.0018871472694662	0.295207905998536	6.47914809819433	Junction	1.0	Hippocampus	Allosome
chr21:8219273-8402302:-	chr21	8219273	8402302	183030				-4.28247139911044	-2.88764204564966	-5.48456714197959	7.7840223952246e-08	0.0018871472694662	0.22500877731307	4.88037517315834	Junction	-1.0	Hippocampus	Autosome
chr21:8393143-8394235:+	chr21	8393143	8394235	1093				-5.97355111071889	-3.35402156610175	-5.37544715326497	1.37011500534069e-07	0.0026343539094177	0.279231380127164	4.30641553104608	Junction	-1.0	Hippocampus	Autosome
chrM:2579-2793:+	chrM	2579	2793	215				-6.80708284361753	-2.89598626598757	-5.37165648638074	1.39706583610337e-07	0.0026343539094177	0.324959460828416	4.87126224377717	Junction	-1.0	Hippocampus	Mitochondria
chrM:2526-2828:+	chrM	2526	2828	303				-8.0536437230518	-2.77615763669234	-5.24284345953599	2.69074896902649e-07	0.0045663893528657	0.262268050666385	4.88765921555193	Junction	-1.0	Hippocampus	Mitochondria
chr21:8436269-8442566:+	chr21	8436269	8442566	6298				-4.19591300926156	-3.40499809264483	-5.13945390737148	4.51186169595882e-07	0.0069057232381192	0.286435258563883	3.64087588749496	Junction	-1.0	Hippocampus	Autosome
chr21:8399438-8443396:+	chr21	8399438	8443396	43959				-6.20425651668442	-2.61864724911863	-5.11350651488284	5.13017194871153e-07	0.0069057232381192	0.291856584792826	4.44586557169092	Junction	-1.0	Hippocampus	Autosome
chr21:8254292-8255366:-	chr21	8254292	8255366	1075				-4.61899450763311	-2.96184360188148	-5.09862684169352	5.52096540044729e-07	0.0069057232381192	0.641411185999553	3.47527518643683	Junction	-1.0	Hippocampus	Autosome
chr21:8214283-8258507:+	chr21	8214283	8258507	44225				-5.37413272053269	-3.01545641845692	-5.09225871221491	5.69688494485611e-07	0.0069057232381192	0.561420582853271	3.9023441163377	Junction	-1.0	Hippocampus	Autosome
chrM:2070-2224:+	chrM	2070	2224	155				-7.16117600940828	-1.49490146076439	-5.05433152745174	6.86256914047191e-07	0.0077641734741471	0.139421611180021	5.4567395814688	Junction	-1.0	Hippocampus	Mitochondria
chr21:8399858-8400545:-	chr21	8399858	8400545	688				-3.84765082137637	-3.79325571557197	-5.03325317703303	7.60693393915217e-07	0.0078583086547115	0.133040927630432	2.27961441991114	Junction	-1.0	Hippocampus	Autosome
chr21:8397311-8399288:+	chr21	8397311	8399288	1978				-8.83663501551895	-3.16177278349474	-5.02622974439051	7.8718760646347e-07	0.0078583086547115	0.265184059032947	4.28707054262766	Junction	-1.0	Hippocampus	Autosome
chr21:8401646-8443413:+	chr21	8401646	8443413	41768				-3.8424999214785	-2.21807131816095	-4.92950387419778	1.25645445242368e-06	0.0118460619865259	0.233876998542357	4.08609789466127	Junction	-1.0	Hippocampus	Autosome
chr21:8392913-8437007:-	chr21	8392913	8437007	44095				-3.43346050948051	-3.19508083797226	-4.91530291785819	1.3449091606551e-06	0.0120126578382786	0.317121485905104	2.69357118533874	Junction	-1.0	Hippocampus	Autosome
chr21:8216771-8217495:-	chr21	8216771	8217495	725				-4.20570389061475	-3.00918849926393	-4.89064896607787	1.51294863435681e-06	0.0123785600632135	0.339872622917095	2.5393504896664	Junction	-1.0	Hippocampus	Autosome
chr21:8393052-8394218:+	chr21	8393052	8394218	1167				-3.31628438175801	-3.5836282061342	-4.88805607989975	1.53175627008599e-06	0.0123785600632135	0.119553489390591	2.21362375847288	Junction	-1.0	Hippocampus	Autosome
chr21:8437233-8438587:-	chr21	8437233	8438587	1355				2.86422945403001	-1.72441987421231	4.85401508183341	1.80060312216921e-06	0.0138897706388168	0.121457918367121	3.93394974796153	Junction	1.0	Hippocampus	Autosome
chr21:8437534-8438391:-	chr21	8437534	8438391	858				3.54400015717322	-2.18167633432738	4.83873832142544	1.93555669079549e-06	0.0140866452478477	0.250048637748353	3.81924517957764	Junction	1.0	Hippocampus	Autosome
chr21:8216832-8217119:-	chr21	8216832	8217119	288				-2.72300867706622	-3.77425658138422	-4.83263718512477	1.99213636413551e-06	0.0140866452478477	0.222426206010279	1.38232861824429	Junction	-1.0	Hippocampus	Autosome
chr21:8397294-8441518:+	chr21	8397294	8441518	44225				-3.83061942277364	-3.82525048624661	-4.7925117510148	2.40600514523699e-06	0.0151328697854097	0.24579105964779	1.39776192194999	Junction	-1.0	Hippocampus	Autosome
chr21:8398919-8443145:+	chr21	8398919	8443145	44227				-4.59967888508756	-3.13754520500135	-4.79040616393708	2.42987015742779e-06	0.0151328697854097	0.206214578960343	2.8710896296162	Junction	-1.0	Hippocampus	Autosome
chr21:8216795-8260376:+	chr21	8216795	8260376	43582				-3.65781210081312	-3.54024578618185	-4.78859502515717	2.4505802637028e-06	0.0151328697854097	0.141712458475545	2.05785797503509	Junction	-1.0	Hippocampus	Autosome
